videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,stock_price_before,stock_date_before,stock_price_after,stock_date_after
b36aZQe0Nt4,HOW TO SETUP APPLE AIRPODS! Best Wireless Headphones for iPhone!,UC55Jb99LT3IINRY_g5V6rtA,Andru Edwards,2016-12-20,1624711,9146,1206,546,65554267,227000,1187,27.392711639404297,2016-12-19,27.36452674865723,2016-12-23
p5aaOtJ0PyU,Galaxy Buds Live vs Apple AirPods Showdown,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-08-13,1601052,32848,1309,3153,3919176638,17600000,1874,112.81536865234376,2020-08-12,115.50821685791016,2020-08-19
entaNxaezRo,The $99 Apple AirPods Killers,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-03-06,1567958,34991,1447,2472,3919176638,17600000,1874,72.1843032836914,2020-03-05,61.17134094238281,2020-03-12
BJ2TxY7puEM,My Apple AirPods Confession,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2019-03-13,1510228,46934,2748,4807,3919176638,17600000,1874,44.00568008422852,2019-03-12,45.37272262573242,2019-03-19
cYuL6pHfbTU,Powerbeats Pro sound better than Apple&#39;s AirPods,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2019-04-03,1552434,18230,737,1951,1291833565,2900000,19967,47.19464111328125,2019-04-02,48.527626037597656,2019-04-09
mdOSPBrqc7E,AirPods Max: Everything we know,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-12-09,135477,2675,170,702,1291833565,2900000,19967,,,,
HTeFoIUlAkA,AirPods Max hands-on: New noise-canceling king,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-12-10,131561,3127,390,772,1291833565,2900000,19967,,,,
Cd4N5v-O3uk,Airpods 2 with Wireless Charging Unboxing &amp; First Look - Truly Magical🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-04-11,1536258,38379,2223,2326,2390693892,20300000,3456,48.8000602722168,2019-04-10,49.41061019897461,2019-04-17
I2-M9nvbsio,2000₹ Fake Apple AirPods Pro Unboxing &amp; First Look - 100% Fake But 100% Same🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-12-30,1259688,52700,2396,3507,2390693892,20300000,3456,71.24635314941406,2019-12-27,73.12215423583984,2020-01-03
1DSCo47MMbE,Airpods Pro Unboxing &amp; First Look - Airpods Pro Vs Airpods? Noise Cancelling &quot;PRO&quot;🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-10-30,1166973,45559,2021,3642,2390693892,20300000,3456,59.63299179077149,2019-10-29,63.02532577514648,2019-11-05
6r33bTc265I,"Apple AirPods Max Are Here - ₹59,900 Apple Headphones🎧🔥🔥🔥",UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-12-09,744688,68867,3186,7741,2390693892,20300000,3456,,,,
gOK5SQJ1QB0,Beats Powerbeats Pro Unboxing &amp; First Look - Better than Apple Airpods???🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-10-23,367117,25560,763,2165,2390693892,20300000,3456,58.81677627563477,2019-10-22,59.63299179077149,2019-10-29
V4NWwUuVIrM,КУПИЛ ПОДДЕЛЬНЫЕ Apple AirPods!,UCWulcHbwtGVFehAMY4wnzQA,F.ua — О девайсах понятным языком,2019-01-11,1505799,25088,2966,1889,181304801,654000,1703,37.25151062011719,2019-01-10,37.75045394897461,2019-01-17
ps0rWwQAJHg,Apple AirPods unboxing preview en español | 4K UHD,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2017-01-03,1493033,25056,1306,1478,403557137,2350000,1985,27.20013427734375,2016-12-30,27.944602966308594,2017-01-09
Bn4bgouatjI,Apple AIRPODS 2 unboxing -ADIÓS AirPower-,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2019-04-09,646056,12007,451,683,403557137,2350000,1985,48.67356872558594,2019-04-08,48.46194839477539,2019-04-15
1LBuf09MvgY,Apple AirPods PRO -RUIDO a discreción!!!-,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2019-12-15,350496,8220,254,476,403557137,2350000,1985,67.64470672607422,2019-12-13,68.69938659667969,2019-12-20
