videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
Kb_kIq5tMGQ,"iPad Air 2020 (4G) - классный, но зачем? Но зеленый и голубой... распаковываем и разбираемся...",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-10-21,1120896,128564,1778,149380,2190719748,9790000,2503,11,1,442,117.3076171875,2020-10-20,116.39917755126952,2020-10-27
mUCKuK_ytWo,"Самый дешевый iPad 2020 (8G) и iPadOS 14 - распаковка, звонок бабушке и что там нового...",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-09-22,745339,56192,2916,36988,2190719748,9790000,2503,7,2,178,109.89041137695312,2020-09-21,114.7620086669922,2020-09-28
J01OpHiAoE4,Apple iPad 2 в 2020 году — Есть ли смысл обновлять?,UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-07-02,277420,14352,1770,1524,2190719748,9790000,2503,29,9,1011,90.7071762084961,2020-07-01,95.00699615478516,2020-07-08
tfPaRryXJMc,Apple&#39;s New iPad Air 2020 : iPad Pro Killer ?,UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,2020-10-29,1047276,87833,1604,4451,440349274,4400000,644,224,89,773,111.00847625732422,2020-10-28,114.75202178955078,2020-11-04
ceoL5Ne-a-4,History of the iPad,UCfw2hvuj40AChU7n-N-PRHA,Apple Explained,2020-03-19,1022338,14484,500,1658,152093685,623000,237,82,13,130,60.78691101074219,2020-03-18,60.5035171508789,2020-03-25
pOwoz2Z7Sq4,History of the iPad,UCfw2hvuj40AChU7n-N-PRHA,Apple Explained,2020-09-15,562605,9970,294,991,152093685,623000,237,138,25,207,115.16131591796876,2020-09-14,109.89041137695312,2020-09-21
eM9eL4R0R-I,【iPad Pro 测评】学生/博主3个月的使用体验 | 值得购买吗？能替代电脑吗? | iPad最常用APPS | iPad Pro 和 Macbook Pro对比,UCFjqAKR9UVS28ucTNuVTexA,ElenaLin_青青,2019-11-25,939054,15031,450,1350,16728709,322000,129,8,0,414,64.35772705078125,2019-11-22,65.7025146484375,2019-11-29
GdQRjzcq8rA,أرخص ايباد | فتح صندوق وتجربة iPad 10.2 2019,UCyQeVh82-EwLZJnZM0fQ-oA,Ahmed Medhat احمد مدحت,2019-10-14,918062,37488,1449,1843,50236479,829000,246,5,2,444,57.89760971069336,2019-10-11,57.946632385253906,2019-10-18
2yghiSE-FG0,"พรีวิว iPad 8 เครื่องแรกๆในไทย คุ้มไหมกับราคา 10,900 บาท ( เทียบกับ iPad  7 )",UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-10-01,880298,14995,278,897,358929974,1730000,1222,5,7,568,115.61054229736328,2020-09-30,114.88180541992188,2020-10-07
yoERIuz1ssA,iPad vs Tablet Android เลือกอะไรดี ?,UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-06-23,461051,6682,177,720,358929974,1730000,1222,6,3,284,89.40178680419922,2020-06-22,90.1267318725586,2020-06-29
J5P1v-DG1nU,"พรีวิว iPad Air 4 จากคนใช้ Air 3 มาก่อน คุ้มไหมกับราคา 19,900 บาท ?",UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-10-26,379839,8183,132,598,358929974,1730000,1222,4,1,438,114.84187316894531,2020-10-23,108.67251586914062,2020-10-30
1e2-mWK2qLw,"รีวิว iPad 8 vs iPad Air 3 ห่างกัน 6,000 บาท เลือกรุ่นไหนดี ?",UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-10-21,241186,4598,68,313,358929974,1730000,1222,2,1,195,117.3076171875,2020-10-20,116.39917755126952,2020-10-27
JFVMuRlKzuU,iPAD PRO 2020 11&quot; UNBOXING 🍎 some accessories and decorating,UCv6TMyLhY9sKusmWIlnCDoQ,justinebujo,2020-08-30,856770,29905,442,1972,23519092,381000,104,364,74,303,124.5925521850586,2020-08-28,120.75167083740234,2020-09-04
Tbinchz6Vrs,Which iPad should you buy in 2020?,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-04-03,848006,16780,509,1756,110123329,498000,480,241,39,167,60.35811996459961,2020-04-02,66.04080200195311,2020-04-09
qV2SQ2SXOHQ,2020 iPad Air 4 vs 2020 iPad Pro - Full Comparison!,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-10-24,495879,9455,346,1358,110123329,498000,480,410,81,261,114.84187316894531,2020-10-23,108.67251586914062,2020-10-30
A7yoAuRTAy0,2020 iPad Air 4 vs Galaxy Tab S7 - Full Comparison,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-10-27,185426,4387,270,1163,110123329,498000,480,268,59,159,114.8518524169922,2020-10-26,108.5826644897461,2020-11-02
sN0Yc6HTamE,iPad Air 3 vs iPad Air 4 - Is it REALLY Worth Upgrading?,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-11-04,71162,1788,85,408,110123329,498000,480,119,21,75,110.24979400634766,2020-11-03,115.97000122070312,2020-11-10
9qkIjitNOBQ,NUEVO iPad Pro 2020 - Review en español,UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2020-03-29,845009,24016,867,1557,84231340,654000,436,53,27,794,61.05059432983398,2020-03-27,59.49069213867188,2020-04-03
VEWQxNWkgaM,"7 días SOLO con el iPad Pro, ¿sirve para trabajar?",UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2020-06-17,601448,21815,860,1133,84231340,654000,436,53,17,627,87.71025848388672,2020-06-16,91.31005096435548,2020-06-23
XThtCfgLb3Y,Nuevo iPad 2019 | Review en español,UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2019-10-21,564116,13589,415,983,84231340,654000,436,22,5,270,57.946632385253906,2019-10-18,60.43940734863281,2019-10-25
s10t0XUeL8Q,Bayar sampai RM7000 tapi ini yang aku dapat ?! 😰| Unboxing IPAD PRO 2020 1Tb | Penang vlog ✨,UCpLCJhBGDn9AHzQvd7OHO8w,Bella Khann,2020-06-21,803915,41141,727,2724,65931775,1060000,94,169,35,723,87.1223373413086,2020-06-19,88.09640502929688,2020-06-26
