videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
FrGVTcppj40,iPhone 12 PRO ALDIM (25.000 TL) - Çekiliş Var!,UCG0HA4uyuuzPzeq_US_ywVg,Enes Batur,2020-10-28,3013594,190444,9203,26307,7589537050,14100000,1892,35,9,1005,116.39917755126952,2020-10-27,110.24979400634766,2020-11-03
xXndis-y_Mg,iPhone 12 Pro MAX Unboxing,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-11-09,2972632,79111,2640,6832,3907549382,17600000,1869,409,103,588,118.69000244140624,2020-11-06,119.26000213623048,2020-11-13
sZair-jvvgY,Why do I like the iPhone 12 Mini?,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-11-18,1611386,46065,1606,4614,3907549382,17600000,1869,423,143,534,119.38999938964844,2020-11-17,115.16999816894531,2020-11-24
Fm4gV3OgCAA,Best iPhone 2020 || ما هو أفضل ايفون تشترية ؟؟,UCVJMlu9ObMGjDBkpTZkwpRg,Yehia Radwan يحيى رضوان,2020-02-07,2893146,112457,3158,5869,114393395,1530000,333,5,0,106,79.95177459716797,2020-02-06,80.0577392578125,2020-02-13
8I6lDGIK_Lc,iPhone 12 Pro Max - iPhone 12 Pro - iPhone 12 - iPhone 12 Mini || الحبايب كلهم متجمعين,UCVJMlu9ObMGjDBkpTZkwpRg,Yehia Radwan يحيى رضوان,2020-11-14,426264,24364,863,1135,114393395,1530000,333,18,3,874,119.26000213623048,2020-11-13,117.33999633789062,2020-11-20
Yhze-aRR6o0,iPhone 12 Mini Review: Tiny Tradeoffs!,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,2020-11-09,2909865,121909,1725,6306,2254982011,13000000,1300,463,153,484,118.69000244140624,2020-11-06,119.26000213623048,2020-11-13
NNcf-RMeDsI,MEWAH BANGET! Kesan pertama saya soal iPhone 12.,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-10-14,2822282,104860,3027,11438,1139344208,6410000,911,73,38,984,120.89143371582031,2020-10-13,117.3076171875,2020-10-20
eeDIOHbOGMo,Beli iPhone 7 Plus di tahun 2020? Masih LAYAK banget!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-02-08,2699276,61778,973,6610,1139344208,6410000,911,19,15,189,78.86502075195312,2020-02-07,80.07746124267578,2020-02-14
k1LVY4AfYlQ,"iPhone idaman, harga IMPIAN - Review iPhone SE 2020 Indonesia.",UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-05-19,2687918,83710,1270,7527,1139344208,6410000,911,92,35,544,78.4629135131836,2020-05-18,79.44196319580078,2020-05-22
mgmi9tLw6no,Mencari HP TERKENCANG! RoG Phone 3 vs iPhone 12 Pro Speed test!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-11-16,1363098,46681,1277,9469,1139344208,6410000,911,88,56,955,119.26000213623048,2020-11-13,117.33999633789062,2020-11-20
1BDJE52DrzI,Review iPhone 12 Indonesia - Calon paling LARIS.,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-11-11,1269123,46884,899,6243,1139344208,6410000,911,77,40,983,115.97000122070312,2020-11-10,119.38999938964844,2020-11-17
b2mdzXj5ueI,CUTE BANGET! UNBOXING IPHONE 12 mini!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-11-26,1194882,42287,878,5411,1139344208,6410000,911,102,29,969,116.02999877929688,2020-11-25,123.08000183105469,2020-12-02
yFCZQe4coe0,UNBOXING &amp; BUKTIIN KECANGGIHAN sensor kamera iPhone 12 Pro Max yang 47% lebih besar.,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-11-24,626798,23871,490,2876,1139344208,6410000,911,78,23,997,113.8499984741211,2020-11-23,119.0500030517578,2020-11-30
CT9snaIDWvg,iPhone 12 Pro Max Rp2 juta vs Rp25 juta....,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-12-02,577136,24863,654,3670,1139344208,6410000,911,73,35,992,122.72000122070312,2020-12-01,,
vpw_z9vBPAE,Apple iPhone 12 event in under 12 minutes,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-10-13,2664668,33079,3575,5961,872539478,3070000,3947,424,166,504,124.18575286865234,2020-10-12,115.7802505493164,2020-10-19
j2ToG0VTSug,iPhone 12 mini vs 12 vs 12 Pro Max size comparison,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-11-05,1547697,24297,1603,1887,872539478,3070000,3947,410,137,469,114.75202178955078,2020-11-04,119.48999786376952,2020-11-11
mrepi7s66Jg,iPhone 12 mini review: the favorite,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-11-09,1262411,23798,765,1682,872539478,3070000,3947,502,143,455,118.69000244140624,2020-11-06,119.26000213623048,2020-11-13
1nUgZNDGuBQ,Fake iPhone 11 Pro Max за 5000 рублей,UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-09-11,2520717,131917,7408,6059,2190609475,9790000,2503,10,4,731,113.29454040527344,2020-09-10,110.14996337890624,2020-09-17
5QY2_S9d4c4,"Распаковал iPhone 12 Mini и сравнил с iPhone SE, iPhone 12 Pro, iPhone 12 Pro Max",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-11-11,2112170,268238,5269,282457,2190609475,9790000,2503,28,2,1070,115.97000122070312,2020-11-10,119.38999938964844,2020-11-17
-Tdr33qY_C4,"Распаковка iPhone 12 Pro Max в золоте. Самый большой, самый дорогой, самый золотой iPhone в истории",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-11-09,2087717,219501,5367,182680,2190609475,9790000,2503,17,2,1081,118.69000244140624,2020-11-06,119.26000213623048,2020-11-13
VhJoJCgT19Y,"iPhone 11 против iPhone 12 - главный вопрос 2020, что брать?",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-11-18,991132,96133,1977,86067,2190609475,9790000,2503,25,2,1073,119.38999938964844,2020-11-17,115.16999816894531,2020-11-24
8JjpmnO-NVU,Презентация iPhone 12 Pro,UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-10-13,886580,36405,1364,2152,2190609475,9790000,2503,12,3,1082,124.18575286865234,2020-10-12,115.7802505493164,2020-10-19
hGjKRKl05Bo,Apple iPhone 12 Mini hands-on,UC-6OW5aJYBFM33zXQlBKPNA,Engadget,2020-11-05,2492730,30746,1894,1814,379631551,1170000,5292,423,181,484,114.75202178955078,2020-11-04,119.48999786376952,2020-11-11
Y0gbKUu52cw,iPHONE 12 ES UN BOCHORNO!!!!!!! Llegó la hora...,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2020-10-23,2441563,111763,4150,12790,720802061,6240000,1214,38,27,1017,115.55064392089844,2020-10-22,115.1213836669922,2020-10-29
iwR81Y_oehA,Este es el nuevo iPHONE 12 !!!!!!!,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2020-10-13,892155,38876,1899,2552,720802061,6240000,1214,46,39,996,124.18575286865234,2020-10-12,115.7802505493164,2020-10-19
a2ZCqooJNyc,iPhone 13xS,UC8ZzDv6zN_GgZu8OLGhCtFw,IJustWantToBeCool,2018-08-18,2370838,35947,1483,1914,430096262,937000,282,150,11,664,52.5162582397461,2018-08-17,52.17352294921875,2018-08-24
clLM0GT31x0,FINGI ENCONTRAR IPHONE 11 PRA VER QUANTOS MENTIROSOS LIGAM!,UCxRql7KwEurNrmFCGaXX8RQ,Carol Bresolin,2020-09-27,2286291,219461,3889,8636,185633149,3000000,283,42,8,815,112.0866241455078,2020-09-25,112.82534790039062,2020-10-02
fLIZjgiwVz0,iPhone 12 Pro Hammer &amp; Knife Scratch Test!,UCmlsu3V3SzIm2Jmo0S0qiMg,TechRax,2020-10-23,1990491,62615,11818,7827,1738067803,7270000,521,238,119,569,115.55064392089844,2020-10-22,115.1213836669922,2020-10-29
IyWJ4zms-m0,¡ME COMPRO un iPhone 12 Pro SOLAMENTE PARA JUGAR FREE FIRE y LLEGAR A HEROICO! *sorprendido,UCXH1p4gixwXwrUGSx-WvLNQ,Yair17,2020-10-27,1974105,388874,11879,14236,869372949,9370000,750,105,45,929,114.8518524169922,2020-10-26,108.5826644897461,2020-11-02
slDvnFMaYPs,iPhone 12 Buyer&#39;s Guide - DON&#39;T Make these 12 Mistakes!,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-10-15,1966201,37544,2699,4133,110067162,498000,480,502,102,428,120.98127746582031,2020-10-14,116.6687240600586,2020-10-21
rtUAQvh3NbU,iPhone 12 Pro Max Unboxing &amp; First Look - Max x100!!! 12x GIVEAWAY🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-11-10,1962007,285257,4136,100685,2372456884,20200000,3438,481,54,565,116.31999969482422,2020-11-09,120.3000030517578,2020-11-16
lWM5Ygz1Y1I,History of the iPhone,UCfw2hvuj40AChU7n-N-PRHA,Apple Explained,2020-10-13,1873714,34105,1100,1568,152082202,623000,237,223,67,441,124.18575286865234,2020-10-12,115.7802505493164,2020-10-19
5zgi0e88Jhs,충격고백..갤럭시에서 갈아탈까? 애플 iPhone 12 Pro 언빡싱 &amp; 11 Pro 와 달라진점 6가지 살펴보기,UCdUcjkyZtf-1WJyPPiETF1g,ITSub잇섭,2020-10-27,1836663,18371,794,4400,417490438,1570000,675,5,0,1081,114.8518524169922,2020-10-26,108.5826644897461,2020-11-02
KPk0oGpCVDg,BINASAG NI TYRONIA ANG IPHONE 12 NI MOMMY ONI,UCFxmja7gSSq0fMmo4SoaCWw,MOMMY TONI FOWLER,2020-11-15,1772276,93308,3521,1177,432643685,4290000,252,219,23,593,119.26000213623048,2020-11-13,117.33999633789062,2020-11-20
ZZXEMrzzsTU,Cadê o Carregador? - iPhone 12 Pro e Magsafe Unboxing,UCuxfOdbKQy0tgGXcm9sjHiw,Coisa de Nerd,2020-10-30,1721610,181227,2457,4910,3131403888,10700000,1928,58,27,998,115.1213836669922,2020-10-29,118.8249969482422,2020-11-05
RuhvdaDabpU,Rico Nasty - IPHONE [Official Music Video],UCINBvWZluLuV4VxNH32OO_Q,Rico Nasty,2020-08-13,1691508,93468,2838,6097,97237653,494000,107,283,93,406,112.81536865234376,2020-08-12,115.50821685791016,2020-08-19
LiJCdFsuBoA,What is IPhone With Full Information? – [Hindi] –Quick Support,UCN3-BVMnr44LIUheSuppw1A,Quick Support,2019-09-30,1593873,49153,2139,1624,149593559,3840000,380,105,23,252,53.6351318359375,2019-09-27,55.6425895690918,2019-10-04
59o-h3xvva8,САМЫЙ СКУЧНЫЙ iPhone,UC6bTF68IAV1okfRfwXIP1Cg,itpedia,2020-11-01,1442441,125660,6376,7830,600072115,2510000,319,16,4,1078,108.67251586914062,2020-10-30,118.69000244140624,2020-11-06
_C6mJNDZNPs,"พรีวิว iPhone SE (2020) คุ้มแค่ไหนกับเงิน 15,000 บาท (ซื้อใช้เอง)",UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-05-30,1331092,24406,788,2717,358910057,1730000,1222,5,1,929,79.2052993774414,2020-05-29,82.5833740234375,2020-06-05
EFH8QMojJUI,แนะนำก่อนซื้อ iPhone 12 ทุกรุ่นแบบสั้นๆ รุ่นไหนคุ้ม และ เหมาะกับเรามากที่สุด ?,UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-11-22,413688,8622,143,779,358910057,1730000,1222,0,0,613,117.33999633789062,2020-11-20,116.58999633789062,2020-11-27
Mjp6eTkpaJQ,พรีวิว iPhone 12 Mini โทรศัพท์ 5G ที่เล็กที่สุด บางที่สุด และเบาที่สุดในโลก,UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-11-20,335734,8313,179,672,358910057,1730000,1222,2,0,543,118.63999938964844,2020-11-19,116.02999877929688,2020-11-25
JWJS_9kbvWc,พรีวิว iPhone 12 Pro Max ใหญ่ ยาว ราวสัตว์ป่า ( เทียบกับ 11 Pro Max และ 12 Pro ),UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-11-17,300542,6409,153,601,358910057,1730000,1222,3,2,535,120.3000030517578,2020-11-16,113.8499984741211,2020-11-23
I9t-_YP9nwI,รีวิว iPhone 12 vs iPhone 11 Pro Max ราคาเท่ากัน เลือกรุ่นไหนดี ?,UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-11-29,264544,4238,78,447,358910057,1730000,1222,1,0,296,116.58999633789062,2020-11-27,123.08000183105469,2020-12-02
62wvqaj_ymg,รีวิว iPhone 12 mini vs iPhone 11 ใช้ดีทั้งคู่ แต่เลือกรุ่นไหนดี ?,UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-11-30,156039,3029,50,343,358910057,1730000,1222,6,0,222,116.58999633789062,2020-11-27,123.08000183105469,2020-12-02
ehVLOtHQ-7A,iPhone 最新 iOS 14 必知新功能展示！背面輕敲截圖、前鏡頭相片自動翻轉 多個隱藏功能一次帶你看,UCAr4MVsPBKjhg5eLDDpbDFg,電獺少女-女孩的科技日常,2020-09-07,1325289,19968,434,1558,129586460,809000,1850,4,3,955,120.75167083740234,2020-09-04,111.8071060180664,2020-09-11
FDTblqs8rtQ,iPhone 12、iPhone 12 Pro 該選哪支？拍照、手感、外型等使用體驗一次告訴你,UCAr4MVsPBKjhg5eLDDpbDFg,電獺少女-女孩的科技日常,2020-10-29,406499,4527,184,446,129586460,809000,1850,3,0,256,111.00847625732422,2020-10-28,114.75202178955078,2020-11-04
