videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
CmMOJTs7Pu8,M1 MacBook Air vs M1 MacBook Pro - Full Comparison!,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-11-21,535473,13748,351,1809,110092289,498000,480,630,106,364,117.33999633789062,2020-11-20,116.58999633789062,2020-11-27
PP1_4wek4nI,8GB vs 16GB M1 MacBook Pro - How much RAM do you NEED?!,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-11-23,386517,11732,423,2187,110092289,498000,480,650,104,346,117.33999633789062,2020-11-20,116.58999633789062,2020-11-27
S-dOB326mlY,"Apple M1 MacBook Air - Thermals, Benchmarks &amp; x86 Apps!",UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-11-17,320773,11119,313,1832,110092289,498000,480,542,140,418,120.3000030517578,2020-11-16,113.8499984741211,2020-11-23
_MUTS7xvKhQ,M1 13&quot; MacBook Pro vs 16&quot; MacBook Pro: I&#39;m dumbfounded..,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-11-27,294650,7675,264,1511,110092289,498000,480,486,153,359,116.02999877929688,2020-11-25,123.08000183105469,2020-12-02
rvrYVIQSsJs,Apple Silicon MacBook Air/Pro &amp; Mac mini Buyer&#39;s Guide!,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-11-11,199691,8218,297,1797,110092289,498000,480,602,153,345,115.97000122070312,2020-11-10,119.38999938964844,2020-11-17
1ndmrB5mpiU,Should you upgrade to Apple&#39;s M1 chip MacBook Air/Pro?,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-11-12,202745,5415,354,1113,110092289,498000,480,332,80,201,119.48999786376952,2020-11-11,118.02999877929688,2020-11-18
NWDYj_jwQDE,J&#39;ai acheté le MacBook Pro 16&quot; à 6148€ ! (le plus Gros),UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,2019-12-03,504397,19715,1500,1620,387843454,2110000,1432,77,22,624,64.94284057617189,2019-12-02,65.62138366699219,2019-12-09
oUF6sYUJWK4,"Apple M1 Chip Macs Are Here!!! MacBook Air, MacBook Pro &amp; Mac Mini🔥🔥🔥",UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-11-11,503963,47312,1814,5489,2372534674,20200000,3438,397,58,645,115.97000122070312,2020-11-10,119.38999938964844,2020-11-17
rGI-COM0Qyo,Das neue 16&quot; MacBook Pro: Unboxing &amp; Performance-Vergleich! - felixba,UC173FCaSv6VvqDxuoinDr3g,Felixba,2019-11-28,481965,11172,527,688,152785320,705000,778,68,13,340,65.84756469726561,2019-11-27,64.34789276123047,2019-12-04
t9Y8xKKIKUc,अगले 7 जन्मों तक मैं Apple का कुछ भी नहीं खरीदूंगा ! Macbook pro ने बर्बाद कर दिया,UCQmg6f48mtIOX4DoerGJYWw,My Smart Support,2020-02-03,482263,29361,2657,6187,119521954,1240000,1146,36,4,71,76.09199523925781,2020-01-31,78.86502075195312,2020-02-07
Hw7iB-zkYrk,Обзор MacBook Air на M1 — БЕЗУМИЕ,UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,2020-11-23,480328,32709,1497,5957,286799398,1240000,904,18,2,1080,117.33999633789062,2020-11-20,116.58999633789062,2020-11-27
jJeQYsYp4dk,Про Apple M1 за 15 минут! MacBook с процессором от iPhone,UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,2020-11-11,301750,17103,727,1079,286799398,1240000,904,20,5,644,115.97000122070312,2020-11-10,119.38999938964844,2020-11-17
QgFd_w2n1es,MacBook Pro 13 M1 vs Dell XPS 13 - What is Happening!? | The Tech Chap,UCzlXf-yUIaOpOjEjPrOO9TA,The Tech Chap,2020-11-23,482648,11207,278,2193,216034385,963000,720,542,153,280,117.33999633789062,2020-11-20,116.58999633789062,2020-11-27
tTxZZ48FG4s,Apple MacBook Pro M1 Review - The HYPE is real! | The Tech Chap,UCzlXf-yUIaOpOjEjPrOO9TA,The Tech Chap,2020-11-17,186928,5704,119,859,216034385,963000,720,237,66,130,120.3000030517578,2020-11-16,113.8499984741211,2020-11-23
gFLf1Cbckl4,MacBook Air M1 vs MacBook Pro M1 - Which is Best? | The Tech Chap,UCzlXf-yUIaOpOjEjPrOO9TA,The Tech Chap,2020-11-28,146099,4445,76,703,216034385,963000,720,210,56,116,116.58999633789062,2020-11-27,123.08000183105469,2020-12-02
EqwOOUm8gKc,"Tech Week: Xbox przeprasza, Elon ma Covid, mój MacBook to złom",UCLr4hMhk_2KE0GUBSBrspGA,Kuba Klawiter,2020-11-15,437761,28122,290,846,180938504,805000,453,125,9,523,119.26000213623048,2020-11-13,117.33999633789062,2020-11-20
N3bd7Csaz-Y,MƯA GIÓ PHÓNG XE ĐI LẤY MACBOOK AIR 2020 FULLBOX... 30 CỦ VỀ ĐẬP HỘP:)),UCOygiQNXiiQ_rpRjHU5ri-A,Duy Thẩm,2020-04-03,429514,8196,202,414,100321662,470000,393,46,6,221,60.35811996459961,2020-04-02,66.04080200195311,2020-04-09
ubVFa_jPhVw,"BALO CỦA DUY THẨM CÓ NHỮNG GÌ??? (2020): ẢNH BẠN Q, MACBOOK PRO, NINTENDO SWITCH...",UCOygiQNXiiQ_rpRjHU5ri-A,Duy Thẩm,2020-06-08,177147,4799,77,192,100321662,470000,393,21,10,129,82.5833740234375,2020-06-05,84.40194702148438,2020-06-12
XIWANvgXtvI,MÌNH ĐÃ BÁN MACBOOK PRO... ĐỂ MUA MACBOOK AIR M1 - UNBOX &amp; REVIEW LUÔN CHO NÓNG:)),UCOygiQNXiiQ_rpRjHU5ri-A,Duy Thẩm,2020-11-24,125151,3715,56,224,100321662,470000,393,37,11,127,113.8499984741211,2020-11-23,119.0500030517578,2020-11-30
2CmLHQkppWc,REVIEW NHANH MACBOOK PRO M1: RẤT MẠNH NHƯNG CÒN NHIỀU VẤN ĐỀ - TEST THỬ APP iPHONE TRÊN MACBOOK:)),UCOygiQNXiiQ_rpRjHU5ri-A,Duy Thẩm,2020-11-21,117448,2361,47,259,100321662,470000,393,34,9,106,117.33999633789062,2020-11-20,116.58999633789062,2020-11-27
KFJHcy5RsbY,"UNBOX &amp; TRÊN TAY MACBOOK PRO M1: THIẾT KẾ KHÔNG ĐỔI, SIÊU MẠNH, GIÁ 40 TRIỆU...",UCOygiQNXiiQ_rpRjHU5ri-A,Duy Thẩm,2020-11-20,114397,2699,43,185,100321662,470000,393,26,7,96,118.63999938964844,2020-11-19,116.02999877929688,2020-11-25
