videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
OFA7KG1SvUk,10 Funny Questions to ask Alexa and Google Home This Diwali | Hindi | Part 3,UCL5et1s49vM1uia_iEKbfwQ,TQnet,2020-11-08,124954,12913,321,502,2979143,28200,84,158,16,244,1759.72998046875,2020-11-06,1772.260009765625,2020-11-13
_k5qVtXF9jU,"Google Home Mini, ¿para qué sirve? ¿vale la pena?",UCkdFXlSdL1cmYbpbry2wsdA,Alejandro Pérez,2018-10-21,1069760,13408,532,527,76825026,332000,877,7,1,77,1105.1800537109377,2018-10-19,1083.75,2018-10-26
mDHIbV0GJSo,"Google Home Mini Review (in Hindi) - Smart Speaker for Rs. 4,999 (+Surprise)",UCix7HIJ74fUDlHDkAAcyRPA,Gogi Tech,2018-04-13,1035405,9574,1285,626,380597468,2350000,2787,125,10,82,1037.2900390625,2018-04-12,1089.449951171875,2018-04-19
5RHtFgpE_kM,"Mi Smart Speaker - Should you buy this or Amazon Echo, Google Home Speaker?",UCix7HIJ74fUDlHDkAAcyRPA,Gogi Tech,2020-10-02,53563,2431,152,253,380597468,2350000,2787,120,6,97,1487.9000244140625,2020-10-01,1483.4300537109375,2020-10-08
QG6GCyWBOSM,SFIDA ALEXA vs. GOOGLE HOME | Chi è il più intelligente?,UCWvaO5qbph2r5yob1ZGLgfQ,Ferry,2018-12-14,991014,13400,796,1039,19113089,133000,886,20,19,230,1073.5400390625,2018-12-13,1023.5800170898438,2018-12-20
uDI6kGfV-6Q,Smart Home Setups - Google Home + Philips Hue!,UCDlQwv99CovKafGvxyaiNDA,Jonathan Morrison,2016-12-31,887430,18958,338,972,425127429,2660000,1199,340,51,268,792.4500122070312,2016-12-30,825.2100219726562,2017-01-06
_HPqvk1i4SU,RASAKAN SENSASI DI MASA DEPAN DENGAN ALAT INI! | Review + Unboxing Google Home,UCHeJ66MuA0JFQKnm_Yxpb0g,Kevin Hendrawan,2017-07-12,869777,28532,451,3705,210831940,1960000,593,53,9,369,953.530029296875,2017-07-11,986.9500122070312,2017-07-18
IOy2GG1wRgE,Google Home MINI : JARVIS IRON MAN HARGA ANAK KOS!,UCHeJ66MuA0JFQKnm_Yxpb0g,Kevin Hendrawan,2017-12-12,235278,6291,101,670,210831940,1960000,593,44,11,390,1051.969970703125,2017-12-11,1085.0899658203123,2017-12-18
3kakhXL4avk,12 Cosas INCREÍBLES que puedes hacer con GOOGLE HOME,UCoTyVfIkM-hjz4JauDoVvog,ExpCaseros,2018-12-17,848678,25198,1407,3544,2349860622,11300000,848,24,3,455,1051.7099609375,2018-12-14,991.25,2018-12-21
56miYa3-7gY,Google Home - Désormais Disponible - Google France,UC6KUvtitNkyAZdJpR03DAHg,Google France,2017-08-03,844099,3481,2185,343,141458679,217000,295,20,3,83,947.6400146484376,2017-08-02,940.0800170898438,2017-08-09
svg9E-19F4M,Il Miglior Assistente Vocale?? GOOGLE Contro AMAZON,UCxO46fGxONZ6CbRs58MtNSg,BasemenTech,2018-11-20,835345,20120,920,1204,6621876,79000,186,47,16,264,1027.4200439453123,2018-11-19,1055.93994140625,2018-11-26
dBo0xErdjcw,Google Home Hub review: Small smart display with big smart home powers,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2018-10-22,357589,1746,194,251,1288417378,2890000,19961,39,14,23,1105.1800537109377,2018-10-19,1083.75,2018-10-26
cBwP4QGpUHk,Nest Audio review: Is Google&#39;s new smart speaker any good?,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-10-05,120918,2301,126,151,1288417378,2890000,19961,50,15,27,1455.5999755859375,2020-10-02,1510.449951171875,2020-10-09
ypCIevQWdo8,Apple&#39;s HomePod Mini takes on the best of the smallest from Amazon and Google,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-11-25,50680,1006,105,169,1288417378,2890000,19961,53,24,33,1763.9000244140625,2020-11-24,1795.3599853515625,2020-12-01
XTaEGavsa24,Cómo empezar tu Smart Home,UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2019-01-09,800597,24742,804,669,84221654,654000,436,20,4,207,1085.3699951171877,2019-01-08,1086.510009765625,2019-01-15
Zqd98YwWqMs,"Google Home Mini en español, ¿es útil?",UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2018-07-21,751627,11834,992,731,84221654,654000,436,24,6,155,1197.8800048828125,2018-07-20,1252.8900146484375,2018-07-27
LxuHbgz1UtI,Meet Nest Hub,UCWmlRLAOpx9f1t_cVkBx8-g,Google Nest,2018-10-09,773089,3313,481,372,274518288,295000,151,44,10,57,1155.9200439453125,2018-10-08,1102.43994140625,2018-10-15
