videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
z2Ik21M6isg,Google Pixel UNBOXING,UCIrrRLyFMVmmL9NDAU2obJA,SuperSaf,2016-10-17,1139448,26463,1446,1466,324257556,1650000,909,361,151,380,804.5999755859375,2016-10-14,824.0599975585938,2016-10-21
8zcqf6he7rI,Google Pixel 5 UNBOXING,UCIrrRLyFMVmmL9NDAU2obJA,SuperSaf,2020-10-08,525682,17195,754,2453,324257556,1650000,909,316,57,724,1459.1400146484375,2020-10-07,1563.43994140625,2020-10-14
Rhp-_H_TKlE,Unboxing Google Pixel Indonesia - Kitabnya juga Keren!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2016-11-18,1099712,10586,1217,1705,1139344208,6410000,911,40,15,464,786.1599731445312,2016-11-17,779.0,2016-11-23
s0I7M8fsGNc,Alasan saya selesai dengan Pixel 3 XL...,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2019-02-19,795255,21140,674,4090,1139344208,6410000,911,63,13,784,1119.6300048828123,2019-02-15,1117.3299560546877,2019-02-25
HQvXMiJcGps,Review Google Pixel 2 Indonesia! Keren Banget atau NGGAK BANGET?,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2017-12-03,551974,7044,196,1075,1139344208,6410000,911,33,14,517,1025.0699462890623,2017-12-01,1049.3800048828123,2017-12-08
A6Pi1afBcNo,Google Pixel 3a XL Unboxing &amp; First Look - The Camera Magic 📸🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-05-08,1073674,37341,3204,3643,2372456884,20200000,3438,256,72,682,1178.8599853515625,2019-05-07,1124.8599853515623,2019-05-14
JbRUxFGkRPc,Google Pixel 5 Unboxing &amp; First Look - The Best Android Phone By Google🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-10-21,1007361,78324,2511,6844,2372456884,20200000,3438,314,54,684,1551.0799560546875,2020-10-20,1598.8800048828125,2020-10-27
W6wuPyR4VC4,Google Pixel 4 and 4 XL review: the best Android experience,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-10-21,1018601,18742,1020,1526,872539478,3070000,3947,487,128,316,1244.4100341796875,2019-10-18,1264.300048828125,2019-10-25
EaBXd-96uNg,Google Pixel 5 Event in 6 minutes,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-09-30,897237,16543,1028,1482,872539478,3070000,3947,394,197,429,1466.02001953125,2020-09-29,1451.02001953125,2020-10-06
yUwJK5aJYbs,Google Pixel’s Night Sight is revolutionizing low-light photography,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2018-11-14,740337,17851,577,1445,872539478,3070000,3947,452,115,295,1047.969970703125,2018-11-13,1030.449951171875,2018-11-20
aMKgWMO3fu8,Google Pixel Buds (2020) review: mic test included,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-04-27,721154,18877,1833,1662,872539478,3070000,3947,635,85,305,1276.5999755859375,2020-04-24,1317.3199462890625,2020-05-01
KKd8dYEE-Bo,Pixel 5 and 4A 5G review: classic Google,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-10-14,459604,11549,385,1000,872539478,3070000,3947,305,94,187,1567.0699462890625,2020-10-13,1551.0799560546875,2020-10-20
FF1yy67BSp0,Meet Google Pixel Slate,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2018-10-09,1004742,12728,658,1076,231774790,1130000,352,59,32,105,1155.9200439453125,2018-10-08,1102.43994140625,2018-10-15
ww3L56FTd1E,Google Pixel 3: Night Sight,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2018-11-26,518034,11487,362,757,231774790,1130000,352,172,35,236,1030.0999755859377,2018-11-23,1109.6500244140623,2018-11-30
QOU9nAzHY7I,Putting The G in 5G | Introducing the new Pixel 4a (5G) and Pixel 5,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2020-09-30,425049,11173,453,1855,231774790,1130000,352,474,139,475,1466.02001953125,2020-09-29,1451.02001953125,2020-10-06
Mek1EfLFOHQ,Meet Google Pixel Stand,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2018-10-09,383312,2261,329,267,231774790,1130000,352,37,19,46,1155.9200439453125,2018-10-08,1102.43994140625,2018-10-15
ku83x6kx8WA,Designed for speed and helpfulness | Google Pixel 5G Phones,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2020-09-30,191608,4968,180,647,231774790,1130000,352,175,45,159,1466.02001953125,2020-09-29,1451.02001953125,2020-10-06
wcPccshVMCs,How to wear your Google Pixel Buds,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2020-04-27,68974,1102,70,169,231774790,1130000,352,22,9,32,1276.5999755859375,2020-04-24,1317.3199462890625,2020-05-01
hGhFIjuInV0,O Celular da Google! - Pixel 5,UCuxfOdbKQy0tgGXcm9sjHiw,Coisa de Nerd,2020-11-22,967026,133366,760,4490,3131403888,10700000,1928,97,26,977,1736.3800048828125,2020-11-20,1787.02001953125,2020-11-27
1teMGD2rC58,DURAS PRUEBAS del GOOGLEFONO!! Pixel 3 xl,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2018-11-05,958175,25003,1005,2106,720802061,6240000,1214,55,23,749,1071.489990234375,2018-11-02,1077.02001953125,2018-11-09
XHHaM-5f78E,Google PIXEL XL ¡¡EL ANDROID TOTAL!!,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2017-02-20,307918,9077,263,925,720802061,6240000,1214,31,10,535,846.5499877929688,2017-02-17,847.8099975585938,2017-02-24
Squ0ZCwQga0,My Google Pixel 5 Review!,UCVYamHliCI9rw1tHR1xbkfw,Dave Lee,2020-10-14,950067,45542,944,3403,554049439,3150000,551,472,148,458,1567.0699462890625,2020-10-13,1551.0799560546875,2020-10-20
IxPOE6rUM30,"Лютый Pixel XL за 11.000 руб. уничтожает конкурентов! Android 10, NFC, Snapdragon 821...",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2019-10-11,870004,53340,3219,28705,2190609475,9790000,2503,18,0,940,1209.469970703125,2019-10-10,1252.800048828125,2019-10-17
