videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
ONqGkVCcQ3Y,Playstation-Chan Meets Google Stadia-Chan,UCvCtIO1it51jSkZGibS9R3w,Merryweather Comics,2020-03-12,488897,15806,97,643,95426510,657000,264,91,37,123,1210.9000244140625,2020-03-11,1091.18994140625,2020-03-18
Q0BUW-6d6jc,Xbox-Chan vs. Google Stadia-Chan,UCvCtIO1it51jSkZGibS9R3w,Merryweather Comics,2020-03-14,358642,13563,110,760,95426510,657000,264,80,33,143,1214.27001953125,2020-03-13,1068.2099609375,2020-03-20
yfVyIS5XZvI,Nintendo Switch &amp; Google Stadia,UCvCtIO1it51jSkZGibS9R3w,Merryweather Comics,2020-05-11,215968,17495,78,1725,95426510,657000,264,348,169,429,1384.3399658203125,2020-05-08,1373.06005859375,2020-05-15
VG06H7IQ9Aw,Google Stadia Specs Analysis + Exclusive Performance Testing,UC9PBzalIcEQCsiIkq36PyUA,Digital Foundry,2019-03-19,486767,12533,1041,3458,433428945,1090000,3175,480,261,322,1188.550048828125,2019-03-18,1197.3800048828125,2019-03-25
9uwunZ2a4gc,"Google Stadia Review: 4K Image Quality Analysis, Latency Tests. Is This Really The Future Of Gaming?",UC9PBzalIcEQCsiIkq36PyUA,Digital Foundry,2019-11-21,395031,11305,715,3225,433428945,1090000,3175,543,232,302,1301.8599853515625,2019-11-20,1312.1300048828125,2019-11-27
kXVfT_0Bsi8,"ESTO te hará EXPLOTAR LA CABEZA!!! Google Stadia, UNBOXING y REVIEW",UCXk9Voo5cAfoYbnXjrNZhVw,Pro Android,2019-11-23,481624,18660,1010,1687,437238160,3610000,1192,55,25,802,1293.6700439453125,2019-11-22,1304.0899658203125,2019-11-29
xpsbtTHLqEI,Google Stadia is a Dumpster Fire...,UCtMVHI3AJD4Qk4hcbZnI9ZQ,SomeOrdinaryGamers,2019-11-21,472296,22332,372,2517,449673126,2270000,1948,375,178,361,1301.8599853515625,2019-11-20,1312.1300048828125,2019-11-27
IfhSOFBeVao,Google Stadia is a Failure...,UCtMVHI3AJD4Qk4hcbZnI9ZQ,SomeOrdinaryGamers,2020-02-19,383066,21743,365,2812,449673126,2270000,1948,422,255,346,1519.43994140625,2020-02-18,1386.3199462890625,2020-02-25
As5bzTW50cM,Google Stadia is a Mismanaged Train Wreck.,UCuJyaxv7V-HK4_qQzNK_BXQ,BeatEmUps,2019-11-22,456473,14310,457,1570,162559780,1130000,713,409,176,250,1300.1400146484375,2019-11-21,1312.1300048828125,2019-11-27
-Vgd124f3i4,Life as a Google Stadia Gamer,UCuJyaxv7V-HK4_qQzNK_BXQ,BeatEmUps,2020-03-13,313088,20375,1096,1377,162559780,1130000,713,515,107,231,1111.550048828125,2020-03-12,1111.6700439453123,2020-03-19
qd8z3Pe7KWU,How to get FREE games RIGHT NOW! (Stadia),UCYVinkwSX7szARULgYpvhLw,Ali-A,2020-05-30,456666,20604,1554,2265,5351271850,17500000,3548,338,140,601,1433.52001953125,2020-05-29,1440.02001953125,2020-06-05
x3Wek3Wyo94,"Exclusivo de GOOGLE STADIA | Gylt - O Início de Gameplay, em Português!",UCWKtHaeXVzUscYGcm0hEunw,BRKsEDU,2019-11-20,448116,38425,473,1412,1811708360,8740000,4662,72,106,809,1312.5899658203125,2019-11-19,1313.0,2019-11-26
-oPcBmITLhU,BEKLEDİĞİMİ BULAMADIM: GOOGLE STADIA&#39;NIN FİYATI VE ÇIKIŞ TARİHİ,UCXin0u5SrVEBjn5LhOoG97A,Enis Kirazoglu,2019-06-07,434930,20847,503,2431,197967055,858000,834,83,30,805,1047.760009765625,2019-06-06,1091.010009765625,2019-06-13
MQeMk1DTaiM,"Missing Tons Of Features, Google Stadia Looks To Launch As Unfinished Trash",UCWCw2Sd7RlYJ2yuNVHDWNOA,Jim Sterling,2019-11-16,433584,17386,684,2864,498863517,923000,2565,469,269,344,1333.5400390625,2019-11-15,1293.6700439453125,2019-11-22
FYFLF3uiSA8,Google Stadia&#39;s Attempts To Attract Developers Are Worthlessly Pathetic,UCWCw2Sd7RlYJ2yuNVHDWNOA,Jim Sterling,2020-03-05,278586,12939,163,1451,498863517,923000,2565,394,223,253,1381.5999755859375,2020-03-04,1210.9000244140625,2020-03-11
aAktAeTDjEA,Funktioniert »die Zukunft des Gamings« wirklich? - Google Stadia im Test / Review-Video,UC6C1dyHHOMVIBAze8dWfqCw,GameStar,2019-11-18,428191,8877,577,2363,1000660379,1280000,10627,165,68,845,1333.5400390625,2019-11-15,1293.6700439453125,2019-11-22
Z3oqJY-uZIQ,Google Stadia klingt wie pure Magie,UC6C1dyHHOMVIBAze8dWfqCw,GameStar,2019-03-22,340023,6070,298,1468,1000660379,1280000,10627,108,37,509,1236.1300048828125,2019-03-21,1172.27001953125,2019-03-28
TJ_4ORG_mzI,Google Stadia Proposition Keeps Getting Worse,UCT6iAerLNE-0J1S_E97UAuQ,YongYea,2019-07-23,424737,18617,607,5914,430291499,1150000,2915,504,286,289,1139.2099609375,2019-07-22,1241.8399658203125,2019-07-29
uEXgjciuYSk,Chefkoch Paluten zeigt sein Geheim-Rezept! (Pdizzle Speciale) + Google @Stadia,UCOzqhzAIw4JTJIMkDTfLnkg,Paluten,2020-05-10,417599,33863,562,2479,3173128035,3930000,5775,119,22,952,1384.3399658203125,2020-05-08,1373.06005859375,2020-05-15
kaRzesjp828,"AJS News - Activision EXPOSED, Google Stadia D.O.A, Black Ops LIES, Witcher Netflix Reveal!",UCsgv2QHkT2ljEixyulzOnUQ,AngryJoeShow,2019-07-03,400435,16962,393,1996,1236977317,3270000,1986,538,288,257,1112.5999755859377,2019-07-02,1124.2900390625,2019-07-09
KcPsPBipwGM,Google Stadia Review (2020 Update),UCKy1dAqELo0zrOtPkf0eTMw,IGN,2020-04-29,395232,5729,2375,1578,11375701726,14500000,140399,154,74,140,1232.5899658203125,2020-04-28,1349.02001953125,2020-05-05
gT9J2AkWvO8,Watch Dogs: Legion Official Google Stadia Trailer - Gamescom 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-08-19,384863,12545,378,697,11375701726,14500000,140399,144,92,195,1179.2099609375,2019-08-16,1153.5799560546875,2019-08-23
Q_dggN2rN3A,Google Stadia Announcement Trailer - GDC 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-03-19,265252,4807,1365,1126,11375701726,14500000,140399,205,129,409,1188.550048828125,2019-03-18,1197.3800048828125,2019-03-25
9Y-wZ4xWpLc,Google Stadia Instant Access Demo - GDC 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-03-19,222158,3406,334,623,11375701726,14500000,140399,114,68,172,1188.550048828125,2019-03-18,1197.3800048828125,2019-03-25
ocZ25AtuS4A,Google Stadia: What Impact Will it Have on Gaming in 2020? - Gamescom 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-08-22,168432,2366,541,1017,11375701726,14500000,140399,144,84,159,1191.5799560546875,2019-08-21,1173.75,2019-08-28
Jlf7L5VxlcM,"Google Stadia: Mortal Kombat, Destiny 2, and Tomb Raider Gameplay",UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-11-18,150938,2549,580,637,11375701726,14500000,140399,134,64,149,1333.5400390625,2019-11-15,1293.6700439453125,2019-11-22
nJtwuibxnWc,Google Stadia Is Free Starting Today - IGN Now,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2020-04-08,148973,2934,243,986,11375701726,14500000,140399,167,79,143,1182.56005859375,2020-04-07,1265.22998046875,2020-04-14
e0A2a0zYW7U,"Google Stadia: Testing Gameplay of Destiny 2, and Red Dead Redemption 2 - IGN Plays Live",UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-11-19,144397,1803,426,359,11375701726,14500000,140399,41,32,42,1319.8399658203125,2019-11-18,1305.6400146484375,2019-11-25
8igzue_fNDQ,FULL Google Stadia Connect Full Conference - E3 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-06-06,132528,2236,615,798,11375701726,14500000,140399,150,88,204,1044.6400146484377,2019-06-05,1079.0999755859377,2019-06-12
lktPNhglQ5E,Google Stadia Controller Review,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-11-19,116146,1867,379,349,11375701726,14500000,140399,35,27,68,1319.8399658203125,2019-11-18,1305.6400146484375,2019-11-25
vq47YENoaFE,Google Stadia Hands-On With Doom Eternal - E3 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-06-13,84249,1004,337,165,11375701726,14500000,140399,24,8,32,1079.0999755859377,2019-06-12,1104.510009765625,2019-06-19
cYa85A8qvlc,Google Stadia Controller Announcement - GDC 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-03-19,71019,1359,190,251,11375701726,14500000,140399,52,20,74,1188.550048828125,2019-03-18,1197.3800048828125,2019-03-25
7pETx8Lacx0,El Problema de Google Stadia | PLANO DE JUEGO,UC910yxBmXzGDH_2cx0XE0Xw,Plano De Juego,2019-04-02,387415,20776,853,1632,22350002,362000,89,49,30,565,1198.97998046875,2019-04-01,1208.280029296875,2019-04-08
S2QCHGon0dk,Google Stadia is pointless,UCmTPhoY-bYX2PKU03IKcKcA,Foekoe,2019-12-05,389747,14868,433,1626,21476433,158000,84,159,80,221,1318.93994140625,2019-12-04,1344.25,2019-12-11
iUh2hiW_ecI,"Star Wars Jedi: Fallen Order, Google Stadia, Half-Life Alyx, Videobrettspiele | Game Two #138",UCFBapHA35loZ3KZwT_z3BsQ,Game Two,2019-11-23,357806,16796,236,1198,109455954,427000,703,183,90,501,1293.6700439453125,2019-11-22,1304.0899658203125,2019-11-29
_JDDgbZMA7Y,"Google Stadia review: Playable, not perfect",UC-6OW5aJYBFM33zXQlBKPNA,Engadget,2019-11-18,354843,7244,1099,1342,380168592,1170000,5294,319,142,207,1333.5400390625,2019-11-15,1293.6700439453125,2019-11-22
3awwM_aUEe0,Google Stadia vs. Microsoft xCloud: Real-world comparison,UC-6OW5aJYBFM33zXQlBKPNA,Engadget,2019-11-29,191879,4032,474,717,380168592,1170000,5294,169,42,81,1312.1300048828125,2019-11-27,1326.9599609375,2019-12-05
hHw75tzcbvM,Google Stadia Launched 🎮The Future of Gaming is Here 🎮🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-03-20,352122,22129,1235,2755,2381426488,20200000,3447,320,66,642,1202.4599609375,2019-03-19,1189.8399658203125,2019-03-26
j5IWPcIVbK4,GIOCARE DA OVUNQUE A QUALUNQUE GIOCO! *GOOGLE STADIA*,UCpyDd4YbikHZE-DtNGfpdjQ,Two Players One Console,2019-12-21,341711,21172,438,993,2119128738,2480000,2384,24,10,707,1351.219970703125,2019-12-20,1354.6400146484375,2019-12-27
ouKI5heMy6I,"Google Stadia, lançamento é um total desastre",UCJAbkIY17zAmCTNQHH0bQoQ,Gameplayrj,2019-11-23,339008,40819,697,669,3300488870,8200000,16284,4,9,319,1293.6700439453125,2019-11-22,1304.0899658203125,2019-11-29
yLE92F3Njg4,"Eu testei o Google Stadia oficial , o que eu achei, os gráficos são bons? Tem delay?",UCJAbkIY17zAmCTNQHH0bQoQ,Gameplayrj,2019-06-14,319111,40679,435,324,3300488870,8200000,16284,6,3,173,1091.010009765625,2019-06-13,1113.199951171875,2019-06-20
oVa9Mqq-DYg,Google Stadia vai nascer falido?,UCJAbkIY17zAmCTNQHH0bQoQ,Gameplayrj,2019-07-28,234135,29494,386,504,3300488870,8200000,16284,18,5,321,1245.219970703125,2019-07-26,1196.3199462890625,2019-08-02
mTWHAXu2Zrs,"Google Stadia DE GRAÇA, será que agora vai? e Valorant no BRASIL",UCJAbkIY17zAmCTNQHH0bQoQ,Gameplayrj,2020-04-09,189930,24208,242,409,3300488870,8200000,16284,6,6,198,1207.0,2020-04-08,1257.300048828125,2020-04-15
WgD1MfkaaDQ,"Google Stadia - Propaganda enganosa, mentiras e fracasso",UCJAbkIY17zAmCTNQHH0bQoQ,Gameplayrj,2019-11-26,150600,20272,275,306,3300488870,8200000,16284,9,1,147,1305.6400146484375,2019-11-25,1288.8599853515625,2019-12-02
eouqoIur5c4,Hands-On with Google Stadia and Technology Deep Dive!,UCiDJtJKMICpb9B1qf7qjEOA,Adam Savage’s Tested,2019-10-31,337489,5844,439,1495,1035108026,5300000,4494,297,95,185,1260.699951171875,2019-10-30,1291.010009765625,2019-11-06
