channelId,channelViewCount,subscriberCount,videoCount
UC1v4URvQXjEA2bkAD6gl1_Q,2882993,117000,61
UC173FCaSv6VvqDxuoinDr3g,153639229,707000,779
UC1ndVn8sa4oTbW09P5ICOog,5610959,23900,570
UC247FQWwWr5Xo-iq489QavQ,4645358,11600,92
UC-cTCLsyrD8M36m35i9Nm6g,30158318,53800,625
UC0S6Jti6pQMrrt1onzSUv9g,11278508,32800,511
UC-Sw3bOnL33OvoJe7-5IVfg,1000215,15900,47
UC0gXRnerBW9R9OUrAb2xywQ,64131,58,8
UC1hiI8TEoA0db5HhU4gbsUg,47749811,265000,1057
UC0wtqzWrBA5gL4Jr_QIQTgg,28618948,73300,1804
UC1FUb5XHGBvAGYfdzs8sXkQ,20318093,65200,1331
UC1IQIspOkCeV3WnYm32SBFQ,19664235,331000,136
UC0ql9wT6T6HodChhlaZz0Cg,321280,342,47
UC1obuqRn3zUU_hrBzMlTQSg,13115889,47900,1954
UC24n6DdP2hN1OcVKVVxy_sg,120670960,339000,1061
UC-6OW5aJYBFM33zXQlBKPNA,380749379,1170000,5298
UC1dI4tO13ApuSX0QeX8pHng,1152602607,6480000,914
UC3vGl683T7BRPF2FrNxBYPw,391455,1510,59
UC2F7S7UWwpA10RBu-EwvTvw,35652247,371000,140
UC4HRzPW6JWrtE7i-XCL_keg,1055230,4620,90
UC2l_V7HKRo7kZyvk9B8bbUQ,3274964,44100,107
UC2wX-Nk8LwiuwWTQeOuvwRA,458667,1390,43
UC3dEvA1is6-0_yuei9iCdEw,427625001,2320000,1328
UC3lJL1pUvQ2Ih2qZ-4ozrLw,20416868,173000,359
UC38ZkyXimRVsXVrIb8xFXAQ,4195723,5350,196
UC26buublzO30XpR-KP2TfAw,823347436,3120000,1254
UC3w9eSRf6X3opt5j-MQn7QA,94296197,646000,1355
UC3s0xujKiaQWwbDRnQDzUQA,94160312,526000,66
UC2sLD8A_C5NObxCodTeIfiA,6264084,9800,1707
UC48EXrEiro8snuiBYw13abQ,3335267,17300,293
UC2VrA-oteANZQ07TquwBvAQ,67961983,278000,1447
UC3XdYJjWliOdKuZMNaTiP8Q,67961615,217000,1629
UC3kfx81WYXgNBf1bNIcO5Fg,9892443,146000,437
UC2fd4raC6fXobex-tWGubMA,10698017,85100,271
UC6NFFT5qOAvgO_NQomkRvSw,149568748,424000,712
UC55Jb99LT3IINRY_g5V6rtA,65554267,227000,1187
UC8S33lw4D2A-Pz13YyE7dLw,44308678,243000,193
UC7xdLQYOpbYuLpAfGwLN6Kw,73269267,533000,1817
UC6xhx04M7BesmhstRzbqE8Q,72999,486,18
UC6wZOqdKmtebFOS1HfA434Q,388812,1340,23
UC8boapGXr5LrCOSej0bc4mQ,1228441,6960,1040
UC6FLHdX8fsZJhGj7zxxdJ9Q,18105094,182000,208
UC7dLvCYNwhYe-l__yczFp1Q,200295828,1030000,2059
UC5yXB_ThsufRJYMRlzIGoeQ,434798217,1080000,2471
UC8TENxiHgZlGo6nqpfyYVgw,14089039,15200,2282
UC8jkbVLPvztz8TuE98OYo8Q,27950923,303000,361
UC7XLK06bw-85zh0po3JwphA,537710,3320,34
UC6OICk-ceplUJf4sCN3DMnQ,24469839,283000,130
UC8i1qrICCyCxOSs19d2GrkQ,143408,359,48
UC82jn6BfZZkDtRZPXWSU8oA,3698823,88600,80
UC4xZF3xguQCG76hZVUivoXw,57041303,217000,344
UCBKeLaZm7TMxw6PTICVhWbQ,2663384,49000,59
UC9MJpCkjqmx2EWn3Jx45RRg,6864526,32700,214
UCBJACuTH8NkrQA9rZeeF9Hg,2037360,17900,95
UCB_rMQ7N1lOsuyWxuhIIX5A,47180414,310000,2292
UCCGiOPUPTlQupYmDMpUxB4A,477630266,2160000,3501
UCCIsErbOVjZJRmERmzF89Bw,148451,5050,35
UCAz-755tH3m8_BwaluzdJwQ,6047600,33500,473
UCCUnAfa_A5XR5NyoPgErmlg,38897668,233000,2311
UC9P8RGEax5PQHJPAoVdfzmw,83487820,1210000,758
UC9fSZHEh6XsRpX-xJc6lT3A,403195971,3050000,902
UC9HM9hn42HQkIw51xJTbZcQ,2980590,18100,379
UC8wXC0ZCfGt3HaVLy_fdTQw,246877457,707000,6451
UCBC2Y12etr9N0eaROmRXztQ,8341002,22200,850
UCAr4MVsPBKjhg5eLDDpbDFg,130461661,811000,1861
UCCD76tKlE45u1YTX0cVh1OQ,93090415,224000,1531
UCAf9vHS_4I9lSu-7gYhkzaw,104845117,546000,557
UCAA4EV4denSMDNMvUxDV82A,61676205,233000,1265
UCBCQ-YdmMIA_JEaFMS8nqtg,19368143,208000,183
UCDhYrb0Ec4NQ_j3ZiAucE0Q,50573451,35500,15245
UCE639ItHrCPOsQ4rAfVIbuA,13534699,20700,971
UCCbD39MVnMsTLGxsHLnOKlg,153951378,980000,1452
UCCzKM7UMxGCPAgUDXmFw5Gg,474923657,598000,13867
UCE5_hf5ONW6_qy9ShfYfB4w,26116823,180000,152
UCEAZeUIeJs0IjQiqTCdVSIg,135199927,467000,10705
UCEAMLkMKtq6YhmaZdUT1ywA,12597434,151000,125
UCELSb-IYi_d5rYFOxWeOz5g,37505320,78800,491
UCDlQwv99CovKafGvxyaiNDA,425602222,2660000,1200
UCETxOvOv9_44-CUzsPlzyxQ,87954974,1000000,1167
UCDUzDzmNEIONR6mta87NOZQ,10128094,111000,558
UCCpI46-2xw4tDksgmRxWw7g,1245361,33600,136
UCCqepY-W86CAXNHbnUwR5ow,139812503,385000,1576
UCDppocjZtrwEMYmSyFmBmbA,36384021,82400,1433
UCDri2yZO_tqdD70bK-D7iQg,177376567,785000,1029
UCEDqrzeStonXUKvrtQIlDFg,46556436,285000,350
UCEPL07qzVsOcHd3sMUws65g,732903914,6760000,2189
UCDhATPJa_8FCaZBhhcHXiZA,1352454,6300,499
UCEoqPKAUnoZ5K6iXq0w6K0g,113170533,122000,7565
UCGdlvijxkue8x5AyBrBUljQ,51334079,482000,608
UCHFNDph3zTYh8-hwofOVXsg,147172247,631000,1109
UCFfCqe7b9YiDk2ZiAG8UIGA,274366426,1610000,2140
UCHDZxIWRuJeNvZhGGXtM0_g,6427192,12200,807
UCHB_LTbHebAPiiP3q8Jj3dg,22014829,145000,363
UCEgF6KhiOxSe-oRDUJba3Kg,84654230,656000,436
UCHXiOop7UjqYg9eNMyTy20g,1182132,8710,29
UCGMcVCg3tHKmy9oaUCIw8xw,552780334,6680000,134
UCHbcbgxdWJittda3pg0QK5g,22325807,133000,769
UCGPf0TW7LmcMyfbIGshLmVg,1376550,5580,181
UCEeXA5Tu7n9X5_zkOgGsyww,857575882,2000000,4689
UCFqa4N0_WhVctqkqiHXm_QA,1621034,28700,90
UCGCZAYq5Xxojl_tSXcVJhiQ,1441431838,1560000,58872
UCF71l11-rFVB-bmKBp2PFOA,229963852,1630000,1011
UCE_M8A5yxnLfW0KghEeajjw,771361298,13700000,189
UCI_lLkWji9bFWGkRGM_5TkQ,24433011,75300,720
UCJOl2JvledP26K2OQ_HLgnQ,17734695,101000,152
UCKJgBJcJkc0Q4kZeGIyNTYA,2461433,20100,114
UCKMO2LIpvjBbhNtssrCrhzQ,10401863,32000,649
UCJHTQG_K8l2A2ZE4ohxcLyQ,99747781,449000,847
UCIhmXuqtOQVJCPbh_tXns1g,170440146,1420000,1197
UCIfMka3q_tcPOYeiEZr3zjA,12758810,43500,215
UCHmxLRkAi0f-t133X-kynGw,1448756,61100,47
UCISDiVUynxni-0nju7e9k4w,27439940,342000,48
UCL0tSwuCfEQi6EFSUJd83VQ,277535250,1320000,1507
UCIrrRLyFMVmmL9NDAU2obJA,325331433,1660000,912
UCIyAqRDsim1CZHh_EpIi6BQ,392632,1110,84
UCHd-N23xw1LH4_6eapd98cQ,1158981,6450,218
UCIfojVm5Ivn4kBcCxQAufIA,8224232,58100,372
UCJy0lX8ThZ7lCtst7JnegWQ,389253721,2110000,1435
UCI2U0HJdMPivdwc6A4mjBEA,2563108,12800,158
UCJYSHaxWbDhYgh-PH0nashw,18315481,298000,145
UCMo0_7DQa-lhn0MPpUJ3t6g,199939,8330,85
UCNc5KHbWdkvwaCbv_D_HG2Q,7647714,14400,472
UCLBHPoY3NugnZYURxln3fKQ,19318828,197000,166
UCOhHO2ICt0ti9KAh-QHvttQ,2390693892,20300000,3456
UCONer0p9GxcHsc-dBqr_HXA,7268129,110000,384
UCMWc04n2YO39TRyi1I1o9pw,46118185,329000,208
UCOmcA3f_RrH6b9NmcNa4tdg,1291833565,2900000,19967
UCOo1tPp78Tf1wbEDLUO7Jew,4796654,18200,101
UCLyVrBAFJenDBGEco1_jR1A,806367,930,355
UCMM1y0hm7qXW8yGJ6DeQeSQ,365585837,3090000,1519
UCLYC_qAM8a6h8wkJxEYEYeg,14798928,153000,752
UCO_vmeInQm5Z6dEZ6R5Kk0A,732285066,1790000,7336
UCLP1KayQF-YaYdWPFubTlxQ,28012846,445000,136
UCMYuF0mNxTgOzr1lS7opIBQ,132809118,1230000,567
UCO2WJZKQoDW4Te6NHx4KfTg,693016597,3130000,2915
UCO4ZTteyr13tn2rG5hLu8pg,42076458,127000,587
UCMgCvJ3_QahXgvwj6LjOd-w,209096327,802000,1642
UCRP4EhX1Op-jL7D87PB3qhQ,429262392,2510000,512
UCPeksOuWCCba-Tc0p6hiONQ,1482480,12200,429
UCPQsSFJurluaMOG1qL0Y7sA,28951159,273000,460
UCQ7H6E_x7aNK4xdyYbilLQg,100175134,808000,114
UCQi4rjJkUqXNp-KfY9o3V-w,230493250,241000,9955
UCRzScB0a-dc6OCYYZlP9qpA,4776664,29200,358
UCS9OE6KeXQ54nSMqhRx0_EQ,105465808,172000,1368
