videoId,positive_comments,negative_comments,neutral_comments
p5aaOtJ0PyU,402,97,443
entaNxaezRo,370,128,513
cYuL6pHfbTU,453,152,435
Cd4N5v-O3uk,250,34,441
BJ2TxY7puEM,443,112,474
V4NWwUuVIrM,11,2,608
ps0rWwQAJHg,13,5,308
eMYnRY-8xE0,6,4,121
I2-M9nvbsio,131,55,456
scoCVAk7_JI,318,69,325
p6l4sNjSKdY,28,14,19
QN9UrusZ8ls,33,8,1022
1DSCo47MMbE,336,48,542
if5_fK8F4ow,5,2,348
ShKUE2Gk6Es,53,33,673
non3wgqwmS0,98,10,630
YX9V3DEFTRc,66,24,785
c_DUWw2momA,148,11,116
N-n4U3-j9dw,301,71,162
a6iFZp1HoHI,5,2,398
mpWOlhriVW0,182,37,196
aQ8TrdA5E7E,370,64,374
jkUMblxVV5c,43,13,55
-G2UqThvTnc,54,7,10
1z39FTgcrEM,111,19,742
4yvcfkTNzrE,69,12,693
grjkeXTB72g,6,1,526
yg6jv2DI048,22,5,24
-dkfZuT7OCE,344,63,248
2JXUWd20aNw,97,62,120
Dh-ia81C5Ko,133,36,190
6r33bTc265I,274,65,761
m-1gUUsKpMk,47,5,397
aoSFrUhSgCI,120,22,53
QbKmVo1XOrU,11,9,303
AcXn7ZgLXwg,10,1,68
TjedP6NgOXo,227,96,229
tp_evOtoqIQ,54,1,717
ich81gzdeDQ,34,6,539
gLvINU3Cuwc,22,0,777
Bn4bgouatjI,11,4,177
bzauyDutbNY,259,60,245
_aS2Arxhcgs,29,12,253
8kLLnsCjeYc,18,14,19
Noq0z5ACPQI,34,7,152
hkoWCX8sQf4,510,171,419
AYdyBdQvAJE,46,16,82
tRKKknymi9Y,351,55,693
yYAjnEqjzmA,75,16,48
iJ1vrNCemFc,454,77,273
v8uq7P2cjb8,199,39,652
1yVPJVtLr0w,25,8,282
XKWM25yN0wc,145,24,931
khxwPHj-j2s,87,37,84
0zMxtkwlDCY,81,16,1003
bgjsGMC-CXM,133,11,39
IsAufcwdjE4,65,10,792
0IkQZToTsFY,24,5,321
uayCJxVy7rU,180,70,97
AZy5CoKWK04,37,19,12
2d_k59H4cik,171,55,246
2FvJ-Wn0_4k,429,131,540
8iNnmJabT70,61,4,17
eU7ANMsFnlM,101,24,96
JF_wpY8BqK8,62,18,29
EtvkG7bpUlU,177,21,126
gOK5SQJ1QB0,428,36,588
Lz6QnrrEK3A,30,19,62
ZX92ZfJwW_U,12,4,406
G9YOOCdshOw,51,16,197
di0qMNpUWiQ,22,0,113
1LBuf09MvgY,11,3,172
dK3WgJhbgfY,32,1,828
UfQEbUmcm2U,82,8,517
WGUlNJh261k,11,0,163
nIk8YnCGckw,429,171,499
WR-rx288N_U,22,2,96
TJTj_m8BgC4,8,2,85
kcRCs0wjfCg,112,25,223
G8GiXApjzVM,49,5,178
bsZAFhVsiaY,272,21,503
NPWCuA_8Zws,342,53,489
ypNMkiGmAHE,37,5,328
qwB5ynQaZsM,42,1,807
jUiZD0rds4Y,58,10,32
8z17HAA-moY,353,176,323
_KJ2ttclOFs,21,3,472
BQHilbdIpPY,8,2,65
H54oLelvMG0,6,0,99
gNmd_ksaFns,6,2,150
qXvBHPp2158,415,214,470
aoLN522d1cU,41,5,199
kDQAmIV4c44,62,11,37
WFr9OSnmvjA,78,17,459
i_ITC7AHdEg,18,1,70
XiO9fNzWjSI,350,36,134
LSjbQsv2JwM,481,51,567
dUWTCTFYJvc,37,4,90
wLUJ9VNzZXo,110,18,53
H5N5f-zqen4,15,3,461
CDfJSJRk5f4,12,6,241
xqgppNkp4To,67,64,178
ZA3W-EXrLE0,7,2,121
KnbeTnWWVeE,69,13,176
nw3oHG8FA3w,38,9,13
nAbe1wAYDTg,65,12,57
uKJKf-ooOhM,92,25,38
dasHcgXup_Q,82,38,67
2xn6NZTE0Z8,11,1,482
doe2yEheTTo,11,4,548
oOdT1Nwj0t0,471,23,559
cal82jdyw7s,299,104,374
1tevNcgX1wo,242,50,443
Kk9lMqy6KTI,72,15,48
ENXYxqL-dB8,331,178,351
VHZRVfxYk6A,92,15,236
Gm15e4dNc2o,173,47,106
D-Ph35SlNOg,420,154,525
WkFim32_Sr0,89,18,503
7Bf020nm-DU,46,18,38
ZOrjp89qKSM,81,5,211
iBWwBkqJaHo,52,21,1027
asZBZFph-W4,29,7,136
3iPrHLaeDno,18,16,59
zdIDmioPEEU,4,0,60
8NYiO_0xLcE,445,200,455
Ah__DrW8228,8,2,145
a_UcxYWQjM8,7,5,211
kT5xAzSirV8,3,1,155
U7mmdnM0UG4,35,9,19
dppRFexjTYQ,6,2,55
1hj5pHORU84,115,39,69
dfgOYUrWwJg,78,22,72
hY1a94niwpY,59,4,29
LI8V6PcOdZA,126,23,88
ac4tdZNbIMI,17,5,300
2bzTt-8oUs4,205,26,332
mdOSPBrqc7E,142,70,185
xH9h93XwWFw,386,43,670
jXxAU-bNVlY,42,9,636
kQni1O7ddfs,126,27,383
eftzTiwCGdk,115,21,378
HTeFoIUlAkA,149,63,108
NWJImxIwBNI,95,17,35
P8Ia7OR8_u4,51,8,124
VOT0uzud2co,19,1,462
2NAS90hLbeM,36,3,182
wf3H7WhnwgM,4,3,50
WN1MTuqOraA,41,2,141
IW6YgmB_MIE,65,31,80
yU13joK77Q8,8,2,73
xfxfZMIqjDc,13,0,277
XB0xdXVmSng,308,124,177
QRh0cmfZPqU,144,5,92
9m6M2RAcGDM,129,33,175
IZMm0ts6_5I,12,15,100
OsDw5N9AQcE,6,0,86
vl6TXNyblqw,40,21,53
mrvHN4LAucQ,137,39,159
89NmhJZ3WE4,54,13,196
hkSLgPcq1oY,170,51,144
Lt9MGFFGCqE,6,3,129
_xeFiAV3dQY,103,30,100
CmdAC1Fc9ow,89,29,75
g1o7Dw4HaXc,180,64,412
pLlVS_48qL8,172,22,68
ddzaQZGSNG4,77,23,298
IXba28jm8ro,48,6,26
G43aM9w7v3g,92,17,154
s1utHuPAqxg,192,89,141
QG1XKH94YsI,90,29,221
HowBRtQXmZI,15,6,47
45z3dsiSmck,1,0,446
E4EyugfYwNo,10,2,147
LJ26wAFbA7E,142,72,886
Ylp1fn6z91c,36,3,156
UY3TiU5vmSc,73,2,576
RwrpqZYUzoA,38,7,25
gC0s8ds3WFQ,79,7,22
i2N0gUHBgmo,58,36,87
Zivtem0-zGk,192,92,197
59XUHgubIyo,0,0,238
oW9bhEIYHhM,27,13,224
1koOopbLEeI,15,4,74
HQubCGiSjkY,140,30,85
wTgSKURRcYQ,20,4,391
kJw1o-wR7oI,15,12,38
WGDNjMoM3V4,4,3,71
PaFL3rlqnqM,19,5,83
Zi2O5eBZ4LA,90,9,81
HhviaR57Wuw,8,1,45
d-u45GNwVHA,45,11,113
toboYcW3HjY,113,34,44
2-PBu5YmqEE,107,7,80
jMRz_WaBcRk,121,12,573
CAo_aifKu_I,6,2,82
7nMzDUXo6Kg,72,8,166
E65Tj5SZZEs,28,1,74
RmQRzK232qY,34,13,30
x4hFgEgJbLE,44,22,42
PB7gSMho0tA,1,0,259
y27iyDKmXGc,62,13,62
_yC6kA7-HMM,18,11,90
Nf6cI4zHX1w,3,0,74
26cs_wD7NAs,23,0,268
crKwxmRItiM,33,6,701
PB5SEJcPMi4,88,46,78
ufU7xpzrS8o,4,0,78
wtvTIQFvIPQ,1,0,78
dYKQOTKWH3A,86,19,54
tT1ypIGnR3I,4,0,97
vSakXSC1H30,25,9,60
D_Tzrd8nzlc,10,0,94
uMPgiBAteDk,91,36,90
_uqZqkF0ASc,284,26,203
pZeZ5CvMJKE,38,6,34
sLC-9WrnP_U,30,5,18
Be6wNcUuQm8,8,7,184
JAWfrUx_EFg,35,6,52
WsE-OjIZtGc,40,4,14
ueaos26iHOg,143,4,321
ZTCD-IeKog8,7,0,143
Gl9vukxJNGw,223,22,425
ovm4d7wfkkg,37,4,15
N0-RQceVGrU,125,14,102
AcnhtsXjEuo,9,0,109
3m1jsTjABDo,14,4,295
CAbJ-KJb6Vg,102,9,222
zePo8yJnTCc,133,37,134
VXItiaSlvdM,42,13,12
Wf6qLMYkXSg,18,1,111
95V0r2mHNi0,20,2,50
a30REUDpe1k,36,12,51
KeKSbAS1iI0,33,2,117
_HL6MlQvmFA,11,2,73
Jw4I_-_7W9s,40,3,22
D4Od5eWPP04,25,1,70
6NI2FFzYjXQ,21,10,54
P-b23DR8k5c,47,19,61
U6qB59Cersw,34,14,16
4M-NE6r3Kt8,183,13,170
tS2Y6tAebA4,56,22,39
cbKaoZgcXgg,30,6,48
kGeJeLItPKQ,0,0,62
MnWokE9nfAo,18,8,70
yM89CTKxDU8,12,2,128
sucWVYVpijY,0,0,132
aRDJ4PVVZgE,5,2,124
9til1heyUGU,68,4,88
cNfZXZWwzcs,40,6,137
gccnIAVTEb8,7,0,49
ildCgYUOm_4,14,2,123
snER3maFUwI,3,0,99
5alB4kANEhg,95,16,44
HT8zxm9737Q,3,1,90
96_ptERtl6c,115,46,76
S9uIVjzc9Kc,44,17,22
HAhMFRyySg8,12,1,69
v1PZ1H8UEzc,48,0,7
HJ2rAxaHiGw,81,9,52
7ejkhsM8o7U,49,10,50
emejH9Krx0E,10,0,65
C5T6kr-jp34,54,14,20
