videoId,title,channelId,channelTitle,uploaded
b36aZQe0Nt4,HOW TO SETUP APPLE AIRPODS! Best Wireless Headphones for iPhone!,UC55Jb99LT3IINRY_g5V6rtA,Andru Edwards,2016-12-20T03:22:25Z
p5aaOtJ0PyU,Galaxy Buds Live vs Apple AirPods Showdown,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-08-13T16:07:44Z
entaNxaezRo,The $99 Apple AirPods Killers,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-03-06T17:02:11Z
cYuL6pHfbTU,Powerbeats Pro sound better than Apple&#39;s AirPods,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2019-04-03T17:00:09Z
Cd4N5v-O3uk,Airpods 2 with Wireless Charging Unboxing &amp; First Look - Truly Magical🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-04-11T09:20:05Z
BJ2TxY7puEM,My Apple AirPods Confession,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2019-03-13T15:58:39Z
V4NWwUuVIrM,КУПИЛ ПОДДЕЛЬНЫЕ Apple AirPods!,UCWulcHbwtGVFehAMY4wnzQA,F.ua — О девайсах понятным языком,2019-01-11T16:56:17Z
ps0rWwQAJHg,Apple AirPods unboxing preview en español | 4K UHD,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2017-01-03T15:00:03Z
uFONoN0zmLg,Apple Airpods vs Apple Lightning Headphones,UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,2017-02-13T14:00:05Z
eMYnRY-8xE0,AIRPODS de Apple: cómo sacarles todo el partido | ChicaGeek,UCGdlvijxkue8x5AyBrBUljQ,ChicaGeek,2018-10-15T15:31:40Z
3fPNnfQumHw,SPOT THE DIFFERENCE: Real Apple Airpods VS Fake Airpods. What Do You Think??,UCyszDMOdoIqQxpdMih3e4Ag,AllSortz,2018-11-22T14:00:00Z
I2-M9nvbsio,2000₹ Fake Apple AirPods Pro Unboxing &amp; First Look - 100% Fake But 100% Same🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-12-30T11:45:14Z
_lbYW-FIaug,I11-tws VS Apple Airpods,UCIfMka3q_tcPOYeiEZr3zjA,Custom Adventurist,2019-01-10T05:25:47Z
scoCVAk7_JI,Beats X Wireless vs Apple AirPods!,UCDlQwv99CovKafGvxyaiNDA,Jonathan Morrison,2017-02-09T16:13:54Z
OCZVRJ5uZxc,Introducing AirPods Pro — Apple,UCBCQ-YdmMIA_JEaFMS8nqtg,Apple UAE,2019-10-28T16:53:27Z
p6l4sNjSKdY,AirPods - Unboxing and Review,UCiQMYozSSTkJ2twtZM1bG9w,zollotech,2016-12-20T04:06:44Z
QN9UrusZ8ls,Apple AirPods Pro — первый обзор,UCRP4EhX1Op-jL7D87PB3qhQ,808,2019-10-30T08:46:34Z
YZNearcOsXg,AirPods Max — Journey into Sound,UCE_M8A5yxnLfW0KghEeajjw,Apple,2020-12-08T15:48:15Z
1DSCo47MMbE,Airpods Pro Unboxing &amp; First Look - Airpods Pro Vs Airpods? Noise Cancelling &quot;PRO&quot;🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-10-30T10:24:54Z
ZHRgpdsYJow,Apple AirPods: Die 10 wichtigsten Einstellungen,UCXeBejAs0cIw4a3UFy1SuIg,COMPUTER BILD,2017-06-22T07:26:42Z
if5_fK8F4ow,Полный обзор наушников Apple AirPods,UCRP4EhX1Op-jL7D87PB3qhQ,808,2016-09-15T11:45:13Z
ShKUE2Gk6Es,"Rasanya pake AirPods Pro, headset Rp4 juta dari Apple.",UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2019-11-04T03:00:04Z
non3wgqwmS0,Les AirPods d&#39;Apple valent-ils 179€ ?! (Test Complet),UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,2017-01-04T16:00:03Z
YX9V3DEFTRc,AKHIRNYA DAPET! Unboxing Apple New Airpod 2!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2019-06-09T03:33:53Z
RE7xzLzp52w,Apple AirPods Teardown with iFixit,UCwY9B5_8QDGP8niZhBtTh8w,TWiT Tech Podcast Network,2017-01-08T05:00:40Z
c_DUWw2momA,[DIY] Leather Apple AirPods case making / wet forming leather,UCJYSHaxWbDhYgh-PH0nashw,HAHNS ATELIER,2019-04-12T14:51:15Z
N-n4U3-j9dw,AirPods Pro review: the perfect earbuds for the iPhone,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-11-01T13:00:06Z
a6iFZp1HoHI,سماعات آبل AirPods الجيل الثاني هل تستحق الشراء؟ Apple Airpods 2,UCMM1y0hm7qXW8yGJ6DeQeSQ,UTD Saudi فيصل السيف,2019-03-28T10:15:25Z
mpWOlhriVW0,Real vs Fake - Apple Airpods vs i10 TWS,UCFfCqe7b9YiDk2ZiAG8UIGA,Flossy Carter,2019-03-01T13:16:48Z
aQ8TrdA5E7E,Huawei Freebuds 2 Pro - Better Than Apple Airpods?,UCFfCqe7b9YiDk2ZiAG8UIGA,Flossy Carter,2019-01-18T01:37:25Z
jkUMblxVV5c,Apple AirPods 2: Unboxing &amp; Review,UCfw2hvuj40AChU7n-N-PRHA,Apple Explained,2019-04-03T21:28:17Z
-G2UqThvTnc,Traveling Apple AirPods Review,UC6OICk-ceplUJf4sCN3DMnQ,Tyler Stalman,2017-03-31T12:53:52Z
1z39FTgcrEM,J&#39;ai acheté les AirPods d&#39;Apple à 179€ !,UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,2016-12-21T16:00:00Z
4yvcfkTNzrE,1900TL’lik &quot;ORİJİNAL” AirPods PRO&#39;yu PARÇALADIK!,UCQ7H6E_x7aNK4xdyYbilLQg,TAA,2019-11-29T15:00:00Z
grjkeXTB72g,Копия Apple AirPods и Apple Watch c AliExpress! Я в ШОКЕ!,UCF71l11-rFVB-bmKBp2PFOA,Букреев,2019-08-20T06:00:02Z
yg6jv2DI048,How to use Apple EarPods ( Headphones ) on Xbox One,UChY9Cgv-iyPDvf1Bkyx20OQ,My Mate VINCE,2018-07-23T23:13:41Z
