videoId,videoViewCount,likeCount,dislikeCount,commentCount
-7LsKF_y3YQ,414085,5996,693,298
-G2UqThvTnc,890073,15889,545,1179
-dkfZuT7OCE,815711,23280,816,2003
0Dfz6gg-sEc,369778,3065,344,168
0IkQZToTsFY,470481,6945,875,715
0ax6sHwTV9g,964,26,3,10
0zMxtkwlDCY,499410,60281,1252,3374
12eZhMsdNTU,5192,13,0,2
1BOhPA02-U8,25136,511,122,166
1DSCo47MMbE,1166973,45559,2021,3642
1LBuf09MvgY,350496,8220,254,476
1Zn_qVk8--8,21286,280,47,40
1hj5pHORU84,150328,1967,1636,557
1koOopbLEeI,63380,2545,34,263
1tevNcgX1wo,192218,14766,1398,1001
1tpU8cpgY1I,398916,5796,165,654
1yVPJVtLr0w,538002,14117,242,783
1z39FTgcrEM,887559,25484,1599,2753
2-PBu5YmqEE,56499,2437,117,225
26cs_wD7NAs,49008,3771,67,557
273ORHGE-Sc,24292,314,46,84
2FvJ-Wn0_4k,410691,23209,855,2820
2JXUWd20aNw,804751,8955,344,910
2LhR9KvQF1k,1027,25,5,11
2NAS90hLbeM,123917,3582,81,422
2WA6pSziFSo,215095,3777,238,182
2_miomcrvb0,190041,2299,418,285
2bzTt-8oUs4,141332,14897,166,2009
2d_k59H4cik,441926,7381,636,788
2xn6NZTE0Z8,193687,7919,523,835
308MeJOe8h4,19927,207,13,43
39STbHMnGxI,237929,2772,300,412
3WJ5Mzc1yZc,2267,274,8,76
3fPNnfQumHw,1277949,8030,3710,2247
3iPrHLaeDno,159669,5213,109,225
3m1jsTjABDo,28648,3162,53,460
45z3dsiSmck,76060,1774,162,551
4M-NE6r3Kt8,20070,1471,90,394
4XhYTych9fY,2995,183,4,38
4yvcfkTNzrE,859769,32009,1220,1748
59S_h1wSZAU,5208,224,72,88
59XUHgubIyo,68990,964,70,400
5GGtu9iphew,87904,1643,137,88
5alB4kANEhg,10484,707,27,218
62Zg_ox3Ozg,16924,586,39,73
6NI2FFzYjXQ,24570,1189,54,114
6r33bTc265I,744688,68867,3186,7741
78vI8X0IkYk,1138,141,4,82
79rZE6vtpWM,54891,945,26,177
7AXoOSAMQrU,8236,139,37,5
7BK092eRRVo,55340,954,35,145
7Bf020nm-DU,167620,3363,195,331
7ejkhsM8o7U,8108,641,40,160
7m4YEBxrCy4,1467,28,0,8
7nMzDUXo6Kg,55453,4722,97,325
850gpdHPvQE,87971,869,52,90
85udy5fMC8g,24654,182,31,41
89NmhJZ3WE4,97846,5969,260,324
8MWivvEU8VE,4118,194,3,30
8NYiO_0xLcE,158804,5002,209,1962
8Rzy0zH_-Ik,827,44,1,18
8iNnmJabT70,399587,4710,457,363
8kLLnsCjeYc,637823,8517,939,294
8z17HAA-moY,275868,16813,416,1584
95V0r2mHNi0,26146,807,31,303
