videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,stock_price_before,stock_date_before,stock_price_after,stock_date_after
4lVKEEysAr0,10 More Funny Questions to ask Alexa and Google Home | Hindi,UCL5et1s49vM1uia_iEKbfwQ,TQnet,2020-06-14,1119808,79189,2738,1741,2979143,28200,84,1412.9200439453125,2020-06-12,1424.6400146484375,2020-06-19
KVh6-TMELwA,10 Funny Questions to Ask Alexa and Google Home in Hindi,UCL5et1s49vM1uia_iEKbfwQ,TQnet,2019-11-23,452039,22604,806,754,2979143,28200,84,1293.6700439453125,2019-11-22,1304.0899658203125,2019-11-29
OFA7KG1SvUk,10 Funny Questions to ask Alexa and Google Home This Diwali | Hindi | Part 3,UCL5et1s49vM1uia_iEKbfwQ,TQnet,2020-11-08,124954,12913,321,502,2979143,28200,84,1759.72998046875,2020-11-06,1772.260009765625,2020-11-13
3_uzhxx-xns,How to setup the Google Home Mini,UC60o55QG_Yabb1nelfSGO0w,Phandroid,2017-10-07,1102383,4290,1368,259,52892672,137000,2371,993.6400146484376,2017-10-06,1007.8699951171876,2017-10-13
_k5qVtXF9jU,"Google Home Mini, ¿para qué sirve? ¿vale la pena?",UCkdFXlSdL1cmYbpbry2wsdA,Alejandro Pérez,2018-10-21,1069760,13408,532,527,76825026,332000,877,1105.1800537109377,2018-10-19,1083.75,2018-10-26
UXy1mLmxi-Y,"Un enchufe inteligente con WiFi, control remoto, compatible con Google Home...",UCkdFXlSdL1cmYbpbry2wsdA,Alejandro Pérez,2018-07-27,136130,1777,73,93,76825026,332000,877,1285.5,2018-07-26,1241.1300048828125,2018-08-02
mDHIbV0GJSo,"Google Home Mini Review (in Hindi) - Smart Speaker for Rs. 4,999 (+Surprise)",UCix7HIJ74fUDlHDkAAcyRPA,Gogi Tech,2018-04-13,1035405,9574,1285,626,380597468,2350000,2787,1037.2900390625,2018-04-12,1089.449951171875,2018-04-19
5RHtFgpE_kM,"Mi Smart Speaker - Should you buy this or Amazon Echo, Google Home Speaker?",UCix7HIJ74fUDlHDkAAcyRPA,Gogi Tech,2020-10-02,53563,2431,152,253,380597468,2350000,2787,1487.9000244140625,2020-10-01,1483.4300537109375,2020-10-08
QG6GCyWBOSM,SFIDA ALEXA vs. GOOGLE HOME | Chi è il più intelligente?,UCWvaO5qbph2r5yob1ZGLgfQ,Ferry,2018-12-14,991014,13400,796,1039,19113089,133000,886,1073.5400390625,2018-12-13,1023.5800170898438,2018-12-20
uDI6kGfV-6Q,Smart Home Setups - Google Home + Philips Hue!,UCDlQwv99CovKafGvxyaiNDA,Jonathan Morrison,2016-12-31,887430,18958,338,972,425127429,2660000,1199,792.4500122070312,2016-12-30,825.2100219726562,2017-01-06
tftBy4JOLfU,Amazon Echo vs Google Home | ¿Cuál es mejor?,UCXIEHct5_YWZhddzOLCDYhg,El Androide Libre,2019-01-22,883769,10830,813,696,42891465,231000,1829,1107.300048828125,2019-01-18,1079.8599853515623,2019-01-28
Bfxo3DBo7p4,10 TRUCOS y COMANDOS para tu Google Home,UCXIEHct5_YWZhddzOLCDYhg,El Androide Libre,2018-12-28,628430,8045,534,392,42891465,231000,1829,1052.9000244140623,2018-12-27,1025.469970703125,2019-01-03
_HPqvk1i4SU,RASAKAN SENSASI DI MASA DEPAN DENGAN ALAT INI! | Review + Unboxing Google Home,UCHeJ66MuA0JFQKnm_Yxpb0g,Kevin Hendrawan,2017-07-12,869777,28532,451,3705,210831940,1960000,593,953.530029296875,2017-07-11,986.9500122070312,2017-07-18
IOy2GG1wRgE,Google Home MINI : JARVIS IRON MAN HARGA ANAK KOS!,UCHeJ66MuA0JFQKnm_Yxpb0g,Kevin Hendrawan,2017-12-12,235278,6291,101,670,210831940,1960000,593,1051.969970703125,2017-12-11,1085.0899658203123,2017-12-18
3kakhXL4avk,12 Cosas INCREÍBLES que puedes hacer con GOOGLE HOME,UCoTyVfIkM-hjz4JauDoVvog,ExpCaseros,2018-12-17,848678,25198,1407,3544,2349860622,11300000,848,1051.7099609375,2018-12-14,991.25,2018-12-21
56miYa3-7gY,Google Home - Désormais Disponible - Google France,UC6KUvtitNkyAZdJpR03DAHg,Google France,2017-08-03,844099,3481,2185,343,141458679,217000,295,947.6400146484376,2017-08-02,940.0800170898438,2017-08-09
svg9E-19F4M,Il Miglior Assistente Vocale?? GOOGLE Contro AMAZON,UCxO46fGxONZ6CbRs58MtNSg,BasemenTech,2018-11-20,835345,20120,920,1204,6621876,79000,186,1027.4200439453123,2018-11-19,1055.93994140625,2018-11-26
1Bf2tR7C1AY,How to control your TV with Google Home,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2016-11-14,829371,1662,401,109,1288417378,2890000,19961,771.75,2016-11-11,775.969970703125,2016-11-18
dBo0xErdjcw,Google Home Hub review: Small smart display with big smart home powers,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2018-10-22,357589,1746,194,251,1288417378,2890000,19961,1105.1800537109377,2018-10-19,1083.75,2018-10-26
cBwP4QGpUHk,Nest Audio review: Is Google&#39;s new smart speaker any good?,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-10-05,120918,2301,126,151,1288417378,2890000,19961,1455.5999755859375,2020-10-02,1510.449951171875,2020-10-09
vOR3YmS1_Ww,Google Home Hub vs. Amazon Echo Show: Which one is better?,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2019-04-26,113078,725,96,71,1288417378,2890000,19961,1267.3399658203125,2019-04-25,1166.510009765625,2019-05-02
w7uZHmZUNio,Tips and tricks to get the most out of your Google Home,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-02-26,86356,1388,122,63,1288417378,2890000,19961,1386.3199462890625,2020-02-25,1337.719970703125,2020-03-03
ypCIevQWdo8,Apple&#39;s HomePod Mini takes on the best of the smallest from Amazon and Google,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-11-25,50680,1006,105,169,1288417378,2890000,19961,1763.9000244140625,2020-11-24,1795.3599853515625,2020-12-01
XTaEGavsa24,Cómo empezar tu Smart Home,UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2019-01-09,800597,24742,804,669,84221654,654000,436,1085.3699951171877,2019-01-08,1086.510009765625,2019-01-15
Zqd98YwWqMs,"Google Home Mini en español, ¿es útil?",UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2018-07-21,751627,11834,992,731,84221654,654000,436,1197.8800048828125,2018-07-20,1252.8900146484375,2018-07-27
dvt_TnRrtbg,What the Google Home Mini can do in your Smart Home,UC05l2uRKGCpZU2sM8A1AMqg,Brian Alex,2017-10-30,768266,4791,851,451,4190436,18100,165,1033.6700439453123,2017-10-27,1049.989990234375,2017-11-03
LxuHbgz1UtI,Meet Nest Hub,UCWmlRLAOpx9f1t_cVkBx8-g,Google Nest,2018-10-09,773089,3313,481,372,274518288,295000,151,1155.9200439453125,2018-10-08,1102.43994140625,2018-10-15
2_pE3f4lJio,Meet Google Home Max,UCWmlRLAOpx9f1t_cVkBx8-g,Google Nest,2017-10-04,521213,2786,349,306,274518288,295000,151,972.0800170898438,2017-10-03,987.7999877929688,2017-10-10
4xWkqGZeWIc,Trên tay CƠN SỐT LOA GOOGLE HOME nói tiếng Việt ? Đáng mua VKL,UCSeca92q0ZaRIcLOcsNsQyg,BanLinhKien.Vn,2019-06-23,712816,9818,381,1291,20698358,176000,457,1125.3699951171877,2019-06-21,1082.800048828125,2019-06-28
ZZZC9Yety48,Tùy chỉnh câu yêu cầu và phản hồi của Google Home cực bá đạo,UCSeca92q0ZaRIcLOcsNsQyg,BanLinhKien.Vn,2019-07-25,152263,2283,63,281,20698358,176000,457,1139.72998046875,2019-07-24,1218.199951171875,2019-07-31
9TQFqaYfq7A,Hàng HOT GOOGLE HUB là máy tính bảng hay trợ lý ảo? BÁ ĐẠO hơn Alexa nhiều,UCSeca92q0ZaRIcLOcsNsQyg,BanLinhKien.Vn,2019-07-04,71897,817,31,203,20698358,176000,457,1122.989990234375,2019-07-03,1140.9100341796875,2019-07-10
