channelId,channelViewCount,subscriberCount,videoCount
UC0fMl-FpIznL85RjoaTtuXQ,126139215,639000,993
UC0XQHkkvlwwbP8HcO2rpGqg,2065109,27400,262
UC07rNeWO01xLjyNMY5cLo2A,125555319,185000,5821
UC05l2uRKGCpZU2sM8A1AMqg,4190436,18100,165
UC3bJwKm5UZ4FgjXz86cTVbg,213794,3950,58
UC3kpdn0Mr9Lh4zpFYm1fZfg,28,0,48
UC0wEXkqp19pj1g66x7G7FnQ,129646,581,30
UC-867iftJqBGr0mQ83xqyKw,36652800,115000,756
UC4UsQjM_Av1Ke2FEfBh-l8g,199820,933,8
UC1Rrt3kiS311zm-Qg--bZnA,171971,2090,19
UC1D1vdq169T7w5iJ45zZL5Q,170217647,1910000,902
UC23b6UWEVLaTQKa1F5Yuv0g,2366315,15400,326
UC1YUGcTACc_H6ws-G2pPkvg,1682649,4850,279
UC1Et9K-hHf-P_LzQkE_Q3Jw,822768780,454000,16595
UC2hq-jI0YQJEYvGvBQS4yFg,421064,1400,78
UC3A0_kgXY7jvRElaiTF3U4w,293857,12100,131
UC0hZV3JbWw6fup0gdUYCdCw,588545,5890,126
UC3YnCZWdh3Mu4mC657hM9ZQ,123,4,1
UC53Yii8B1PkpwaKjWovmBxg,1504,14,52
UC6UJnoOITR8QjZRxJjC7AdQ,2372035,2590,206
UC6ICl1k3zY-LQC8v3wV7bkQ,235048,313,17
UC5r-9EMDERXlUni-UWAtTdg,9399885,55900,215
UC5QQbffkOhjTYtrZR7Vwb8w,75839,1310,14
UC4gOx7_7rDE6pJj116MgWsQ,1313,6,29
UC4WVwyXjGumv15iCofZHOsw,2405649,34500,120
UC6Q1G96QNcMs5WFqB2wrmaA,19252,31,34
UC5GGdEs1HaQcQDCKfVOQu5w,6240885,49100,974
UC6KUvtitNkyAZdJpR03DAHg,141458679,217000,295
UC60o55QG_Yabb1nelfSGO0w,52892672,137000,2371
UC5ovM8NwaboE9KFeiryEsqg,69230,48,15
UC5yXB_ThsufRJYMRlzIGoeQ,432057427,1080000,2461
UC5RVdFbQPbpAhbYSspv_QQQ,5406679,39900,503
UC4_UO1e_FUR7-fIsjls2jCQ,73566,2020,171
UC4wBPUcZUvBM4a5IuIHr9gQ,397,3,29
UC5pK3w6QEq1bUMmU2Hs43Pw,151406089,326000,412
UC5Utu5mXzhI21xKNqnHDseQ,324601,1760,57
UC5dfttydNOVPXRYc0q-g_Kg,316918952,2470000,2123
UC9fSZHEh6XsRpX-xJc6lT3A,401796481,3040000,899
UCBJZdf7U-rOH92vIFESj14g,1258617,15100,246
UCBhIvY0GdaK8Wc-5WWv8Kjw,7434767,21400,442
UC72B8SLARBBKaCfy0Gflpxg,391115,2060,136
UC7V6hW6xqPAiUfataAZZtWA,76914719,354000,920
UCBlp-c5n6Fi5eLFOQONEPTg,16428389,99200,278
UC9WJo5ZJVXMZiA5XV2jLx5Q,237475033,706000,357
UCBCGBMemsuIGLuC-nrb2mhw,332087,1630,42
UCBHjoF8PyW0CnnjN11N3V0A,23187,160,17
UC9GZRbjnnwPGz6wd0MXV1ow,98082710,160000,2564
UCB8avlzmuhsPPn69E1VyPmQ,20365,214,23
UC83jt4dlz1Gjl58fzQrrKZg,445551974,1140000,17733
UCAr4MVsPBKjhg5eLDDpbDFg,129588119,809000,1850
UC8DjxhVUAFLXij8yE7dJziA,946247,3360,129
UCBejAaBucjgm80bR7iB_mFg,47920947,399000,619
UC7lId2wepehsWborma261PA,241824,2570,43
UC8g17oXkRt8buwQL8GU-NSw,10571212,108000,92
UC6rvbanBvmyOVa3UezEZTsw,3,0,54
UC7oeoeqraukaE8KFvCiFGQg,1203155,13800,33
UCCATREutrh2mAR--ZiKT53A,61225076,49600,138
UCCEwPfv49j9zycREVqIzckg,186799,1480,120
UCBpH9uGYnjck8xHuD3xH1qQ,3784759,15900,140
UCCl11_iYjid0YrT7d8DF3-w,49249062,220000,775
UCCJFjlA4EbTxyglqUd50bLg,28981273,225000,303
UCC6nW1_l05ZbUTQLGjbwlWw,118295,1410,5
UCDa7ZkgMSat0vyB9J8lQVFA,183419,1810,53
UCDhIFJjqfbHEo4LKmVF_69Q,330036,827,118
UCCD76tKlE45u1YTX0cVh1OQ,92388722,223000,1522
