videoId,positive_comments,negative_comments,neutral_comments
_k5qVtXF9jU,7,1,77
mDHIbV0GJSo,125,10,82
QG6GCyWBOSM,20,19,230
uDI6kGfV-6Q,340,51,268
_HPqvk1i4SU,53,9,369
3kakhXL4avk,24,3,455
56miYa3-7gY,20,3,83
svg9E-19F4M,47,16,264
XTaEGavsa24,20,4,207
LxuHbgz1UtI,44,10,57
Zqd98YwWqMs,24,6,155
4xWkqGZeWIc,63,7,399
vZGbKPHOjAM,23,0,772
zq-eSYTGbAY,208,9,569
nEInzisK78c,56,25,257
pM7qhOtZ8_c,4,0,273
3BJVTypIMI4,42,4,11
_GdvyWH5q2U,78,12,30
6G1mx8vc8Vg,76,36,64
p5ZeYN-_V0o,85,18,347
1KVNK-T1jdI,4,0,57
nVL_zjP-1i0,53,12,209
NIeGL1k50CE,32,7,55
dvL9CdNNfbY,13,0,101
9WqGvjMzEBI,13,5,90
2_pE3f4lJio,25,6,25
aac-3QLNXOk,291,48,196
HrHe3Eop8uk,78,4,335
0Mls_BDLzGQ,53,7,15
ICOmPm5xtzk,65,12,33
bfCSPDFj3cE,44,2,221
naaX0DIhnag,55,14,33
3butTaW67dw,35,3,190
7b3pN7GVk8s,104,1,162
_HeDEsw_VyI,45,4,22
pkKhQrdW3LE,7,1,73
Mb4tN-L6hc4,12,4,43
duIfmYaA1Sk,236,20,550
fVn9gbAfzC0,187,12,404
8FW4NSwtzow,23,7,34
Jr0i1UHK0NA,32,7,16
JpP7pvo6Z6g,46,7,239
dBo0xErdjcw,39,14,23
EIhq2Cbug2c,5,1,51
RZNqSy-zFXo,68,15,28
UhnZ-c_Y_2Q,46,2,149
biFiEO2JZAw,10,3,70
5qL_QfYdc48,54,31,53
pd1I025g75Q,30,8,42
KgxGnZH94mA,6,3,107
XLzKS7EkjQM,76,11,57
-D2iv5GszD4,15,1,95
28aUnKSJ_P8,47,13,47
aGdhSlJuCrE,47,12,213
EpI68Nc2EGo,154,12,373
Gfc9UphfNxk,26,6,164
IOy2GG1wRgE,44,11,390
tdY3Q0xqBvI,36,13,30
vi5fvMZu0Ko,37,2,150
GXU_LP6WDB8,7,3,60
bhh0aRUxV_w,9,0,181
bR63331fzBA,37,1,57
Akt5Rjv2D6k,59,9,23
0DOmnG8NCQA,1,0,50
AHRIcnBVvXI,22,4,110
azwdn9xKxcI,21,4,157
Ql9xZUp2jOI,14,4,105
A2R1JUGIYas,15,3,67
fzC-rlrCvEs,21,9,148
YR5sUebaK1U,2,1,89
hoPCRgvI-yE,48,20,54
-bTsfJ5Fvp4,41,20,44
ZZZC9Yety48,8,0,77
f0abR0j8Z5g,13,2,347
v6sR43O__8A,14,0,54
H3QGhIyKrUI,17,0,40
vcU6eXY3v2Q,10,5,82
m5hiFurj7iQ,38,4,149
_y9QVyEb0N4,38,8,18
0db9y-Ep_5Y,225,4,471
_50mX5txyB8,8,2,59
0O-CYBbW4Z8,85,5,326
h8Gc0wN6T0o,48,4,91
EU0vHTl9uFg,138,27,105
T52Blhps_U8,6,0,107
cBwP4QGpUHk,50,15,27
OFA7KG1SvUk,158,16,244
kj8HCy7P0rM,10,3,140
_NYnMghf0fY,6,1,62
JVZgcsSVUvQ,14,2,54
XsMk2VDrypc,23,5,178
A9g7cVMSc3g,15,1,612
mr8geZijSV0,43,2,52
tv_S_jz-Qg4,56,5,145
qKysn4F21eQ,9,1,51
dio_eeSmXbg,19,1,59
Xvw2NyKf284,1,0,233
MNMEaDxmvDc,9,0,350
55yejDKaTis,32,1,119
bqZcv5vJkTI,30,5,82
c43nr5iBihg,19,2,110
468UHQTQj3E,45,0,103
D0OuDH0esUo,254,74,71
-YPGPr7gPN0,24,0,42
wZG1c2zItRU,5,3,45
2uJ-D8LwKXA,90,32,42
fQip28zZ-L0,51,22,294
EGakW4VMgMM,8,3,57
TXnhmEV-7Cs,60,1,240
6YoZhOy3F5A,10,1,69
9TQFqaYfq7A,6,1,52
qdZVy6vj-F4,5,0,47
9GJWatY1wV4,21,5,126
fGU41PVbRJs,11,0,59
0xIUpgoLuN4,26,1,108
xEo8SybVB_Q,59,6,34
zFr5K8rl1S8,18,8,78
pCBy_HGybKY,6,3,73
XhFZl2Pwcws,46,4,20
AmmHrJ3ze3M,130,10,118
NVJcjU8b0jM,52,6,32
sfyHbN-ZNas,0,0,101
BXJ8QS4sSqU,70,8,23
owq96S3UzhA,8,1,42
OlC__4Hw9w8,25,7,24
5RHtFgpE_kM,120,6,97
_8ORmA-nGEw,41,6,14
E_NBIg_3eM4,8,4,62
ypCIevQWdo8,53,24,33
YDkPLpM_wzk,93,24,39
_O3CSyp0wuM,17,3,63
fp7rJfxkbfI,43,10,13
bpBz7v0QNko,21,3,93
gE9WiyvExJ0,91,4,162
kNHvgQsjgqw,54,3,279
f9YNFLkPWns,60,8,8
o4_pOFJ_H4k,17,4,212
CLxEusMXzGU,29,1,80
cY5IQV7mXA8,12,0,45
ASTW8WTQqGY,6,2,54
MCIVx9leEd4,9,1,110
B2Ut4x9pDMg,12,0,67
fVybgwsG7r4,28,0,77
mFbSp9sZLuY,34,6,12
Nkl7JGut6I8,5,0,47
rXkw4u2Ysiw,42,2,144
3IhFPJoxme8,5,2,62
