videoId,title,channelId,channelTitle,uploaded
4lVKEEysAr0,10 More Funny Questions to ask Alexa and Google Home | Hindi,UCL5et1s49vM1uia_iEKbfwQ,TQnet,2020-06-14T14:34:12Z
3_uzhxx-xns,How to setup the Google Home Mini,UC60o55QG_Yabb1nelfSGO0w,Phandroid,2017-10-07T16:01:01Z
YVbMciuhA8E,&quot;Goo-Goo&quot; Grandma Goes Viral After Trying To Use Her Google Home For The First Time,UCEs-zSwH2NYGskxF-ptoT1w,Steve TV Show,2018-02-26T23:08:24Z
_k5qVtXF9jU,"Google Home Mini, ¿para qué sirve? ¿vale la pena?",UCkdFXlSdL1cmYbpbry2wsdA,Alejandro Pérez,2018-10-21T16:44:10Z
mDHIbV0GJSo,"Google Home Mini Review (in Hindi) - Smart Speaker for Rs. 4,999 (+Surprise)",UCix7HIJ74fUDlHDkAAcyRPA,Gogi Tech,2018-04-13T07:08:28Z
QG6GCyWBOSM,SFIDA ALEXA vs. GOOGLE HOME | Chi è il più intelligente?,UCWvaO5qbph2r5yob1ZGLgfQ,Ferry,2018-12-14T13:00:04Z
uDI6kGfV-6Q,Smart Home Setups - Google Home + Philips Hue!,UCDlQwv99CovKafGvxyaiNDA,Jonathan Morrison,2016-12-31T21:17:56Z
tftBy4JOLfU,Amazon Echo vs Google Home | ¿Cuál es mejor?,UCXIEHct5_YWZhddzOLCDYhg,El Androide Libre,2019-01-22T17:00:06Z
_HPqvk1i4SU,RASAKAN SENSASI DI MASA DEPAN DENGAN ALAT INI! | Review + Unboxing Google Home,UCHeJ66MuA0JFQKnm_Yxpb0g,Kevin Hendrawan,2017-07-12T11:00:04Z
3kakhXL4avk,12 Cosas INCREÍBLES que puedes hacer con GOOGLE HOME,UCoTyVfIkM-hjz4JauDoVvog,ExpCaseros,2018-12-17T20:13:13Z
56miYa3-7gY,Google Home - Désormais Disponible - Google France,UC6KUvtitNkyAZdJpR03DAHg,Google France,2017-08-03T08:16:47Z
svg9E-19F4M,Il Miglior Assistente Vocale?? GOOGLE Contro AMAZON,UCxO46fGxONZ6CbRs58MtNSg,BasemenTech,2018-11-20T20:50:04Z
1Bf2tR7C1AY,How to control your TV with Google Home,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2016-11-14T19:13:59Z
XTaEGavsa24,Cómo empezar tu Smart Home,UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2019-01-09T02:01:00Z
dvt_TnRrtbg,What the Google Home Mini can do in your Smart Home,UC05l2uRKGCpZU2sM8A1AMqg,Brian Alex,2017-10-30T20:00:01Z
LxuHbgz1UtI,Meet Nest Hub,UCWmlRLAOpx9f1t_cVkBx8-g,Google Nest,2018-10-09T15:36:07Z
Zqd98YwWqMs,"Google Home Mini en español, ¿es útil?",UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2018-07-21T17:15:03Z
4xWkqGZeWIc,Trên tay CƠN SỐT LOA GOOGLE HOME nói tiếng Việt ? Đáng mua VKL,UCSeca92q0ZaRIcLOcsNsQyg,BanLinhKien.Vn,2019-06-23T00:57:43Z
vZGbKPHOjAM,【人工知能】話題の「しゃべるスピーカー」と会話した結果…ブチギレ寸前【Google Home Mini】,UC9WJo5ZJVXMZiA5XV2jLx5Q,吉田製作所,2019-08-10T23:58:14Z
VFKWyMSwoCs,How to Setup Google Home for Beginners,UChY9Cgv-iyPDvf1Bkyx20OQ,My Mate VINCE,2017-09-16T11:45:15Z
_KG7xdiK-IM,Alexa | Google Home | Tell Each Other Jokes,UCBmEfOPthLJb5lTYZzxtFmg,Cheil UK,2018-04-13T12:18:45Z
zq-eSYTGbAY,FINALMENTE L&#39;HO COMPRATO! - Google Home,UCDz3CjAc51W-YtsxYtSPZXg,GiampyTek,2018-04-05T13:03:01Z
nEInzisK78c,Sjov med Google Home #2,UCVNSyYuNQUwJiD0TVst9Szg,Niki Topgaard,2019-05-05T08:00:07Z
pM7qhOtZ8_c,便利すぎ！車内でGoogle Home使ってみた！,UCVPz_nauEJpqPxxvYiOpCHQ,カズチャンネル/Kazu Channel,2017-12-16T10:00:09Z
3BJVTypIMI4,Philips Hue Smart Lights Setup (with Alexa &amp; Google Home!) | The Tech Chap,UCzlXf-yUIaOpOjEjPrOO9TA,The Tech Chap,2017-12-05T18:05:25Z
_GdvyWH5q2U,Google Assistant - What can it do in 2020?,UCJOl2JvledP26K2OQ_HLgnQ,6 Months Later Reviews,2020-01-04T04:15:00Z
6G1mx8vc8Vg,Google Home Mini and Max first look,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2017-10-04T20:00:00Z
p5ZeYN-_V0o,Sjov med Google Home #3,UCVNSyYuNQUwJiD0TVst9Szg,Niki Topgaard,2019-09-14T11:48:31Z
y-uC-orQRlg,Nonna italiana sfida la tecnologia di Google Home. Il video è a dir poco esilarante,UCWJhBqnyVdHAuxexgjghNFw,Fanpage.it,2018-01-22T12:06:36Z
Bfxo3DBo7p4,10 TRUCOS y COMANDOS para tu Google Home,UCXIEHct5_YWZhddzOLCDYhg,El Androide Libre,2018-12-28T17:45:00Z
LZzOeVFj1m8,Tech Tips: How to set up a Google Home routine.,UC5pK3w6QEq1bUMmU2Hs43Pw,Best Buy,2019-12-18T21:20:42Z
hdwTCf0l0KI,Top 10 Google Home Fails( Google Home Mini Fails),UCtCqDvKJgx0PsRV_P7qlh-Q,Listed,2017-12-29T21:30:00Z
JONGt32mfRY,Home Alone Commercial - Google - Macaulay Culkin,UCdj1E1s9o3iXR_jVjOpYVJg,Adrienne Grayce,2018-12-20T04:04:21Z
EZ5fi43XxmA,Russian Google Home,UCS18HVYROSI9ovau2oZf5Kw,Bald Pokémon,2017-11-10T16:30:00Z
