videoId,videoViewCount,likeCount,dislikeCount,commentCount
-D2iv5GszD4,270566,6206,150,631
-HCaHT5qcE4,244053,495,99,30
-LH2_HL0uVU,13562,588,49,47
-YPGPr7gPN0,83395,1109,81,131
-bTsfJ5Fvp4,165929,1347,187,195
-d8YAtx5iUo,41672,265,134,23
-ksr9uYFLKM,80337,428,24,40
-oseMx-b4Zw,45495,248,55,53
-ytk0GqtUyM,15851,235,13,26
0DOmnG8NCQA,186467,1289,167,238
0Mls_BDLzGQ,499362,4586,175,462
0O-CYBbW4Z8,125871,4492,89,742
0db9y-Ep_5Y,133791,1827,78,877
0xIUpgoLuN4,64442,1809,61,196
13Cq0nUEg8M,8856,278,12,53
1Bf2tR7C1AY,829371,1662,401,109
1KVNK-T1jdI,587329,13082,592,523
1TTHrb2IKQc,15239,27,7,15
1dlMdWyecs8,342,40,0,36
1jyFrQTVCk4,255485,1288,388,89
1taCmVdTS8Y,359,22,0,8
1vu53R7R29g,480,20,2,10
28aUnKSJ_P8,262347,1058,119,254
2Bt3xIAGsh4,3,0,0,0
2PAOG7kb5rU,9189,98,11,10
2PTfToww51A,2039,91,2,32
2UCFLF9jgvc,24461,564,44,130
2WszBbGB8ec,104464,1577,49,80
2_pE3f4lJio,521213,2786,349,306
2sIZ_yEpJMo,8,1,0,0
2uJ-D8LwKXA,83028,2738,53,360
3BJVTypIMI4,666111,5556,421,273
3IhFPJoxme8,6894,1206,3,104
3OsquG0NgKo,12604,186,12,41
3_uzhxx-xns,1102383,4290,1368,259
3butTaW67dw,465077,7240,615,612
3dyOcAHCqN8,49240,1346,31,78
3kakhXL4avk,848678,25198,1407,3544
417M5bLy7uc,56670,205,27,37
468UHQTQj3E,83802,2367,120,307
4lVKEEysAr0,1119808,79189,2738,1741
4x42nDYpexM,49628,284,12,32
4xWkqGZeWIc,712816,9818,381,1291
5-ZkiEZqto4,87301,423,91,80
55yejDKaTis,95632,5787,173,514
56miYa3-7gY,844099,3481,2185,343
5IT1HiyEp_s,20026,1914,11,47
5IWiWu6eeD8,0,0,0,0
5RHtFgpE_kM,53563,2431,152,253
5SRnrCkQYsk,32757,443,27,79
5WSblQ9Fk1c,58567,671,34,95
5hNjKwQSVT4,32982,678,72,22
5pc5lAqJsck,94787,1755,40,154
5qL_QfYdc48,311601,2338,274,216
6EknBTi9Cyk,2,1,0,0
6G1mx8vc8Vg,654500,6272,305,369
6RZFDhfLbrQ,22753,762,66,76
6YoZhOy3F5A,71648,3816,31,1193
6dH9RaUJfLI,342878,1940,502,138
6numfb3G3XQ,376585,3191,337,308
72z8toaJmAw,118168,4249,218,1
756qYJ1GEOM,603,36,9,16
79HSsf46OGU,249031,2633,454,321
7UJlQFfws0k,36450,801,60,87
7YBkLOpTKdw,20053,299,16,55
7b3pN7GVk8s,417492,9491,401,568
7hjRz2RfNNY,27227,603,65,33
85z8bxrH-d4,122171,592,178,33
8Db1VQhBPvA,7394,186,22,60
8FW4NSwtzow,377803,1635,129,130
8KdwiMA7XGI,6,2,0,0
8lY6u4oTB5I,20014,243,44,30
90mFdq_wypA,9,0,0,0
94lFSQmXN6w,44740,73,13,9
9GJWatY1wV4,68335,3641,56,888
9H4_5yLwxzs,10439,204,5,51
9TQFqaYfq7A,71897,817,31,203
9TSPwww9yrU,50443,959,76,99
9WqGvjMzEBI,555227,3892,450,438
9meNKZ3hKN0,9736,100,24,18
A2MvUieJhCI,303575,1704,127,288
A2R1JUGIYas,178803,4763,107,298
A9g7cVMSc3g,111401,4557,91,701
AAfiOVsWKto,12106,276,28,40
AE-7F0PjkUg,41,8,1,27
AHRIcnBVvXI,185974,4045,158,260
