channelId,channelViewCount,subscriberCount,videoCount
UC-6OW5aJYBFM33zXQlBKPNA,379631551,1170000,5292
UC0oosHZ4k1o-zNT21gg5O7A,41685972,300000,175
UC-gVzqx-OqiA7YMx4yRkY8g,6565982,23600,266
UC-kFCSJLpxuJdgMnQz8Dvrg,134240764,476000,2929
UC14LX5eM9ey-qWISzbtc9bw,468813,616,24
UC-FvIfcCte7v9EKdB4xi6xw,1688359,1340,361
UC0ZzC0WV8hY9GGo_AVfoofQ,10948996,32400,313
UC1FYFqgdW_1LueJTmXn-8cg,235177555,2210000,785
UC-J-KZfRV8c13fOCkhXdLiQ,5946497923,16200000,131
UC0k0ai80mV0QQHIjw8jT6XA,19757777,178000,264
UC0MYNOsIrz6jmXfIMERyRHQ,119444714,652000,1020
UC0vJQdy_x8tibBvDhAISYwg,1370177,2780,145
UC0fL9hx09c0EP9jrcrRc9tw,4810742,17600,39
UC-pdFydi9ooxEfATh3KoiIw,152046776,901000,1385
UC1U7qs2MsXNvg9f2Quvjfqw,500703,6990,135
UC0QRG-gMqHhF5-BPdmJfs1w,44339237,417000,849
UC1wem0xvXHgrJLyE0P-PXLA,314557,2090,69
UC26buublzO30XpR-KP2TfAw,818583548,3110000,1250
UC1qWaT8_iPHSBYgB4T2ltuA,116919735,1030000,318
UC1u-jCF73ZaqPaoJ_mnjWGQ,19388616,512000,460
UC4hnywQcBUbWc3Genc4iW4A,15260114,45300,656
UC3vxBxz3JJWDHhRTXTi-XJw,73475046,383000,641
UC1dI4tO13ApuSX0QeX8pHng,1139344208,6410000,911
UC23viiJGUqwvnUewG5IYfiA,10741,128,6
UC3T1mVM83MM8K-ht9XGs5lw,131006647,543000,454
UC3w9eSRf6X3opt5j-MQn7QA,93674845,643000,1345
UC4fn1t8clOY76_BeWNJg4TQ,167880990,1450000,769
UC2Zn5hlv7_hPsLlh_xwcH6g,20560010,137000,178
UC3r_XFLWzM9JkgwYT44nmsQ,27341960,119000,839
UC4aEEybtqcPTdPKS5vXtMMQ,2788525,7720,336
UC3hNf9tl-m8Kf7XvrxXdviA,85903452,722000,1011
UC1hzOz_lwkALqS-aHr-hUjQ,23797242,179000,652
UC7ZVOWRmJVn13N5hxziMJfQ,2759945,9170,135
UC8wXC0ZCfGt3HaVLy_fdTQw,245139004,702000,6446
UC5dfttydNOVPXRYc0q-g_Kg,316896577,2470000,2123
UC5yXB_ThsufRJYMRlzIGoeQ,432030204,1080000,2461
UC963f8eviH1Xm8jJ4ciLkWg,10004525,41000,168
UC7V6hW6xqPAiUfataAZZtWA,76913294,354000,920
UC6RtU1rO9aKJeHzVXGsUqPw,7722961,73700,222
UC90RDEgYV7e-4yToZ6NnOuw,34050,332,67
UC6NFFT5qOAvgO_NQomkRvSw,149313330,423000,710
UC4xZF3xguQCG76hZVUivoXw,56608240,215000,342
UC8tf4smaQ6ouJtWrAHlhNCQ,913554,5120,293
UC6ZHLoydvIPevb_A5M88L4A,162068975,563000,993
UC5CcZ8wKhHNFk5UPlUtXNuQ,46165166,322000,1731
UC5P5NlgQmjinm_M4OCzbOHA,133833970,740000,4019
UC6uFoHcr_EEK6DgCS-LeTNA,97224121,563000,857
UC8IPcF4sxZt1TCs7la4EYtw,20017380,285000,200
UCAA4EV4denSMDNMvUxDV82A,61173223,232000,1260
UCAKQbVo3Iwcp7kCqUNsd7MA,133393444,366000,1637
UCAy8HIVn_a3e_fNrtiOqUvg,26918,234,18
UCAl07YZamCkD9BU4GXUMocQ,44028157,163000,535
UC9v3JGut2Z1PxrXEpGzgEAA,90934588,387000,847
UCARQnb_LNcXMFbc2SJ6JInA,1420,65,6
UC9_nJ6FJurWzthRarlJwqTA,7265137,119000,39
UCADnh3VJByvXV-FPvP8yIug,5794183,16200,72
UCAIG3Wtfif2iRzTZtJLCKnw,353565,1730,59
UCBC2Y12etr9N0eaROmRXztQ,8292986,22100,848
UCAY_M9HyJb8oMKPV1utQQyA,139886333,387000,2222
UC9ZA83htgdwGW58MQUXaZrQ,412423,376,24
