videoId,positive_comments,negative_comments,neutral_comments
z2Ik21M6isg,361,151,380
Rhp-_H_TKlE,40,15,464
A6Pi1afBcNo,256,72,682
8fhqQlPZuSc,27,16,21
W6wuPyR4VC4,487,128,316
FF1yy67BSp0,59,32,105
JbRUxFGkRPc,314,54,684
hGhFIjuInV0,97,26,977
1teMGD2rC58,55,23,749
Squ0ZCwQga0,472,148,458
EaBXd-96uNg,394,197,429
IxPOE6rUM30,18,0,940
s0I7M8fsGNc,63,13,784
lohmYNFdBwo,59,2,691
m9jbVsPjFG4,50,12,644
Bafgp2GHmew,9,0,779
oEulTCmc700,19,7,451
_yPpNMObROA,505,156,234
yUwJK5aJYbs,452,115,295
zr2ugqqjqsE,19,1,420
rcfItdQddZE,500,161,389
aMKgWMO3fu8,635,85,305
g9uJXvZOfPM,341,110,649
TtX9OQCBNuo,48,9,691
JG1gvlUbLgw,376,95,519
gesTMTfHxfE,29,31,636
hzCxbcaluHQ,425,120,549
RiPtSZOw7ag,44,14,701
aMNo_xSQ9jA,3,0,437
HQvXMiJcGps,33,14,517
OZMWVJDtt6g,549,127,365
wKVTUCyBslk,523,158,332
p-KeyAg8cMc,10,0,353
aoGpOJQeGTM,158,32,705
8zcqf6he7rI,316,57,724
ww3L56FTd1E,172,35,236
H-Zx3X7kplI,95,29,238
y0u8Of_-tQc,453,123,509
j0TVgxaLmhs,532,125,358
uWwQJAUOBoY,463,14,567
FEdhF4KeekA,21,7,989
E7LdZSzcdYI,77,16,365
HUWd-n0JRGY,238,103,231
oa6zIEOQw_U,90,11,572
4OqiKMqJrUQ,166,28,444
-Se_HrAfFz8,541,146,390
KKd8dYEE-Bo,305,94,187
kUL2bzq_iPE,35,19,964
jUCHe3yoE58,531,186,357
pOPfFcAw7mI,506,167,393
Y3UBwNxHhrQ,50,10,419
QOU9nAzHY7I,474,139,475
f5AM6ZOBAzE,1,1,546
ZU1QyX8KdyM,31,3,748
M77bSscDJpo,108,65,131
aMQdBviVIDI,1,2,1018
