videoId,title,channelId,channelTitle,uploaded
z2Ik21M6isg,Google Pixel UNBOXING,UCIrrRLyFMVmmL9NDAU2obJA,SuperSaf,2016-10-17T23:18:11Z
Rhp-_H_TKlE,Unboxing Google Pixel Indonesia - Kitabnya juga Keren!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2016-11-18T05:47:08Z
A6Pi1afBcNo,Google Pixel 3a XL Unboxing &amp; First Look - The Camera Magic 📸🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-05-08T07:53:18Z
8fhqQlPZuSc,A Diehard iPhone User Switches To The Google Pixel 3 XL,UCVLZmDKeT-mV4H3ToYXIFYg,Tech Insider,2018-12-09T20:00:01Z
W6wuPyR4VC4,Google Pixel 4 and 4 XL review: the best Android experience,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-10-21T13:00:04Z
FF1yy67BSp0,Meet Google Pixel Slate,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2018-10-09T15:49:41Z
JbRUxFGkRPc,Google Pixel 5 Unboxing &amp; First Look - The Best Android Phone By Google🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-10-21T05:42:53Z
hGhFIjuInV0,O Celular da Google! - Pixel 5,UCuxfOdbKQy0tgGXcm9sjHiw,Coisa de Nerd,2020-11-22T22:47:36Z
1teMGD2rC58,DURAS PRUEBAS del GOOGLEFONO!! Pixel 3 xl,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2018-11-05T22:00:00Z
Squ0ZCwQga0,My Google Pixel 5 Review!,UCVYamHliCI9rw1tHR1xbkfw,Dave Lee,2020-10-14T15:02:11Z
EaBXd-96uNg,Google Pixel 5 Event in 6 minutes,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-09-30T18:58:02Z
IxPOE6rUM30,"Лютый Pixel XL за 11.000 руб. уничтожает конкурентов! Android 10, NFC, Snapdragon 821...",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2019-10-11T19:06:28Z
s0I7M8fsGNc,Alasan saya selesai dengan Pixel 3 XL...,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2019-02-19T09:00:07Z
lohmYNFdBwo,Kamerasıyla iPhone X&#39;un Karizmasını Çizen Telefon: Google Pixel 2 XL,UC26buublzO30XpR-KP2TfAw,webtekno,2017-12-11T17:00:31Z
m9jbVsPjFG4,Google Pixel: o review completo do smartphone! [Análise],UC_bXJnsgwOqEPA_-6N6faKw,Canaltech,2016-12-10T12:52:13Z
Bafgp2GHmew,マサイが初めてガジェット紹介するそうです【Google Pixel 3】,UCs4KWxdP-lRc-dgLXE5i8Wg,Fischer's-セカンダリ-,2018-12-22T11:00:01Z
oEulTCmc700,Полный обзор Google Pixel и Pixel XL,UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,2016-11-14T16:23:36Z
_yPpNMObROA,Google Pixel 3 Review: Tough Call,UCSOpcUkE-is7u7c4AkLgqTw,MrMobile [Michael Fisher],2018-10-25T19:43:21Z
yUwJK5aJYbs,Google Pixel’s Night Sight is revolutionizing low-light photography,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2018-11-14T17:00:07Z
zr2ugqqjqsE,ПРАВДА про Google Pixel через 1 месяц,UCY03gpyR__MuJtBpoSyIGnw,Droider.Ru,2016-12-05T20:03:43Z
rcfItdQddZE,Google Pixel Buds 2020 Review: This Is More Like It!,UCSOpcUkE-is7u7c4AkLgqTw,MrMobile [Michael Fisher],2020-04-27T16:00:35Z
aMKgWMO3fu8,Google Pixel Buds (2020) review: mic test included,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-04-27T16:00:01Z
g9uJXvZOfPM,Google Pixel 4a Teardown! - its a tricky little guy...,UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,2020-11-13T14:15:02Z
q2HSJHOMDyk,Launch Night In,UCIG1k8umaCIIrujZPzZPIMA,Made by Google,2020-09-30T17:58:11Z
TtX9OQCBNuo,GOOGLE PIXEL 4 - O REI DAS FOTOGRAFIAS !,UCJY41yD2uXdj3sV-8sMOcGw,K Tech,2020-04-27T22:00:12Z
JG1gvlUbLgw,Google Pixel 4a vs OnePlus Nord | Side-by-side comparison,UCVLN0tY51ewH44wUtx3YZTA,Tech Spurt,2020-08-03T14:58:14Z
gesTMTfHxfE,"Mucho MÁS que una CÁMARA, Google Pixel 4 XL REVIEW",UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,2019-10-21T13:00:11Z
