videoId,videoViewCount,likeCount,dislikeCount,commentCount
-Ee5571euNo,351,7,4,2
-Se_HrAfFz8,460120,20424,312,1571
-hVd9nw40ak,40020,2022,44,348
-xFPn28dJVs,121292,1738,56,334
0HjWKY03Jro,38909,1745,108,265
0J1GIg3WPYI,8635,19,34,10
0J7mE7pvUvM,1798,62,2,25
0UfJFQHq4KA,26640,761,21,143
0VYPkKQITaM,233,27,1,13
0WW_dEEqCfk,9896,1222,14,119
0gIOxAZBhhc,177901,4559,103,760
0jbHbimQ9-Q,231307,2199,460,125
0yaVXherDWc,50198,1729,35,240
1GO4KeNb4-w,49560,820,52,158
1V6_38QqslM,17192,17,61,3
1Y-zvgiKduA,806,76,4,42
1teMGD2rC58,958175,25003,1005,2106
24FFy3QaQIo,184,16,0,13
2BB9cD2BIzE,157069,3200,174,514
2DfNXaGjshM,121961,6718,219,520
3-7NbkSSuNk,8655,45,3,10
34Lb22X9TNY,53343,4535,208,503
3EXSbVY6jqk,65595,570,27,141
3TOdJcYrYkQ,86214,2882,72,506
3ZHVXbY6ykE,235499,2243,75,328
3hV_6F3ZGEw,259,16,0,7
3ndhnwNG5xw,126,7,0,3
3qpor905e1A,79998,1023,57,233
3qzl7NPA4j0,310791,13757,571,755
42JGUcqctlg,260,10,2,8
43apXUQu8NY,184953,2978,73,450
4G1GGkalCso,97720,2034,65,259
4KY9rIr0ifE,58290,2477,45,598
4OqiKMqJrUQ,463206,15793,1011,1177
4c-Vm6jU6C0,12225,377,20,114
4e1gVapDlY8,179886,9332,268,1084
4pcqy8bRk2s,9104,140,62,17
4tkOSf2Tou8,9871,419,3,67
4uGmbt45X3U,20120,288,9,51
4yyiY9MzXXM,47488,3141,26,807
52BtqxWtwI4,2386,256,3,102
553_WqA9-Qs,138560,6865,118,743
5RK6_6YAMM0,268032,8070,267,606
5TzzrcgKNDU,326755,6854,194,1373
5lOl8Z34iM0,140102,4043,359,757
5qfF8anJSgU,339048,6580,236,655
5wHmgLQAxyw,197460,9714,184,1281
5ww95Lt3mig,62896,1728,82,470
60TVzV9igiQ,50775,1130,49,251
632L3J-61Bs,40229,1358,58,193
63M3CXvwnfI,43566,2420,106,172
66xpcq7_bOU,278062,7860,196,819
69Ql0i2Ln3w,101079,3487,50,363
6BoS3NzNacA,161052,2057,75,516
6cN30IQQrIg,170923,7739,231,484
6sqaw7fBEGg,69803,1581,44,314
6yjAFXHBHBE,20039,760,18,122
7BG-lpjNjqc,173766,9920,156,663
7E0KAoNxxj8,172357,7310,165,700
7UpFjTyFP4U,34144,1337,21,214
7VIn8_TTpns,258164,17784,265,1309
7l9p3bVCwEc,292,14,1,8
7wNDXsDKoCg,45316,2438,27,748
85Y96-LGBzk,105,3,0,1
88FAkK5A0is,296826,8107,132,675
8Bxll1xFrU8,30011,1005,90,296
8M5clcTcczM,31254,2285,193,468
8PxSj2M8CPk,133381,4259,149,538
8Ug4_c49jcQ,272358,1784,192,157
8UhQHDXA5nI,298585,5757,137,355
8fTS_dDc8fk,25140,1054,22,166
8fhqQlPZuSc,1073098,16272,16462,6657
8qX6Qarb7BY,11584,468,67,76
8rOmXjwbXxY,141587,5908,118,547
8sx2pHUETPw,1454,78,2,25
8xbhenu-t7k,394448,29114,618,1938
8yJHKsBAtBo,182580,5106,210,398
8zcqf6he7rI,525682,17195,754,2453
9C2-zG4uyMI,20961,327,25,163
9R7isVYF8gM,19943,356,56,113
9jR56_i_MDs,43572,621,41,50
9kZlWQ58kmQ,39394,392,61,78
A6Pi1afBcNo,1073674,37341,3204,3643
AIHvMudsOOM,178329,11162,733,1737
AZ0febK8xTc,84713,1400,44,213
AcFJCNClY14,310,17,0,4
AdtJ9I-0Qm0,18346,905,44,109
AfGlINjDMWc,174,25,0,1
AoI5eFXZpRM,41133,1263,51,164
Aw49KOEeVnQ,100093,925,87,72
B0_uSJy2i1g,114497,1319,84,276
B8lVc3yGJ78,35678,494,34,173
BK3Zsc-DHlE,17928,1031,126,269
BNlNlTT8EEo,91056,4536,316,1663
BS7ZQUjiHEo,43791,1934,68,261
Ba04_dkjql8,303221,4239,288,937
Bafgp2GHmew,766803,21468,455,2817
Bi8BGIYIFQ4,91099,2405,77,376
C2WS16oH4kg,351103,2795,82,263
CUVgqm-v3fQ,119410,2532,157,237
CXi89VGJVyw,686,41,1,22
CbDebRvVipo,10051,165,59,68
CgLddTYUbxY,363372,17842,3025,2769
ChoeiT2kQao,311944,9084,611,1013
CkQnucvtDFw,27404,236,4,93
CotqJ4qZs2U,426,22,2,36
Csy5RgE2_BM,156,14,1,6
Ct1auhXNmd4,62355,2055,72,508
D7QBk0yi9kE,790,52,13,45
DSYTrN6sN-s,18272,280,49,193
DXtaqnr0Ga8,255862,6933,245,886
Db6NOsQq5-0,1992,69,10,25
De6fJzUilrc,151392,3936,174,432
DjS3H7w-wSI,228410,11863,249,1086
DkzL8bByWQE,384,27,3,7
DypBw2mhmqc,49816,1688,18,141
E7LdZSzcdYI,475996,10687,735,1343
EAXiQtoVKZ4,48815,1720,36,275
EOB_pSKGN6o,227313,5093,198,924
EY3Yns5Wm78,71040,2458,91,425
EaBXd-96uNg,897237,16543,1028,1482
EbHHCbFOxU0,97499,3142,107,580
EeEJyi5KnC0,47791,1240,30,364
EiUyP6OJ7ow,12218,91,5,139
EycRNfPHHwI,617,55,2,20
F3TF5BhcSx8,150873,2882,76,479
FCgaxNHNaVw,1570,8,1,2
FEdhF4KeekA,480738,22909,1262,18059
FF1yy67BSp0,1004742,12728,658,1076
FGN2vxSThMs,29679,1171,81,116
FM6-AquMjw4,83801,4625,225,530
FOliKvfOaIg,43178,2828,114,368
Ff0ZXJr58hw,57042,987,211,121
FjpDMFjFskQ,36646,1817,68,444
Ft_PYkq-QKA,227486,4873,181,491
FvPm5gkmMgI,46276,1010,50,122
FwvIUa7i_6o,372540,24345,1052,3183
G2V2PAI86Cs,88645,2506,122,731
GG_1pKV3sds,77481,1134,81,411
GXIsu2GLeHI,64180,1955,73,402
GunYiv-NrVw,29155,312,45,85
GyYJ8qjkddU,265021,29315,478,1411
H-Zx3X7kplI,510684,18621,945,842
HQClr7gD3Qo,77564,4057,23,905
HQvXMiJcGps,551974,7044,196,1075
HTsIphj32ns,114,9,0,0
HUWd-n0JRGY,475634,6814,765,1192
HXcx9ZqA1ng,92836,4929,204,767
HhH8DKokFSQ,37250,1277,28,347
Hi8r2-dkC2k,182260,7045,271,632
Hwol2HcwOyY,348108,6900,262,1302
HyAdJ4Z967g,18948,630,14,169
I8N8r3GK07U,189373,4214,117,686
IBa4063gd-0,22036,197,17,27
IPPhd0uBh1w,53532,800,76,269
IbmN456owSA,21792,1620,37,91
IxPOE6rUM30,870004,53340,3219,28705
JG1gvlUbLgw,705075,15392,495,2138
JN2dOUMDQjA,345488,928,458,244
JP86WuFWYFs,13814,139,24,54
JZoTerYv0Es,43494,2073,36,251
JbRUxFGkRPc,1007361,78324,2511,6844
JegKxb9NIt8,169016,1495,124,400
Jl8HF8-XB4o,32261,767,31,161
Jqt283EVV4w,139218,3124,80,555
JxErpylK_Pc,3544,78,18,2
K-k8wzT3OPU,1507,40,2,2
KDvOmdKI1RA,103322,2619,52,312
KKd8dYEE-Bo,459604,11549,385,1000
KmkernazTjQ,1033,42,2,11
KphxZACKejo,47776,859,22,88
LjL_Cv-xg_c,13195,360,14,186
LjVTKNZn6Ik,14553,437,15,114
LpPG9gzarJo,153913,4339,67,630
Lu0hNviMSHY,224500,4337,1253,684
LykGjX-GIVI,88573,2721,78,673
M77bSscDJpo,412450,1775,391,673
MG3ZebNhlWU,226037,4353,107,449
MMF9T5NJJjk,144279,4811,104,593
MMbqC1kYE3A,2437,204,4,58
Mek1EfLFOHQ,383312,2261,329,267
NCHSucF-zmk,6016,434,6,96
NHttIKEQO8w,51000,1747,57,261
NKZTnl3wRtY,118596,2105,294,706
NLX4heKmKWM,70031,2125,152,361
NQquHjuBVUI,75472,510,112,145
NXW8eHaXlvE,79066,1717,59,227
NfZozaVhqKs,28928,1537,30,287
NqH7wW-whWQ,190357,8107,194,1637
NtfsKGfAC6U,81930,1721,70,287
OBlYDkbokUg,90721,755,47,116
ODzJdmvtR2A,294063,4390,232,440
OET1gRS7fjI,2030,108,2,43
ONeRNmZUk3E,96120,3085,164,403
OZMWVJDtt6g,549004,25763,456,1692
P2-fDlM9LrA,8838,77,10,12
P34f9C-ZRkM,257645,16382,303,1227
P6YuL8d87Ag,90852,2541,93,518
PLnIXoSWc6E,139703,13502,127,692
PSK-RJyF1fs,115686,1929,124,251
PSwn3CEWMqM,24572,604,27,107
PTWG-jyFuOg,12519,386,18,99
PaBvOZLrud8,46324,2320,201,194
PhIXujCo79U,13501,482,14,390
PkeaOx4aJnQ,55521,804,46,131
Pl_F3hDvnj4,60424,2471,62,266
PnENRGwNfQA,262430,16409,499,1404
PqotYuo5rAs,58218,1984,80,462
Pr0r2T5Pf1c,88476,6464,60,931
Pr34tqM-scQ,77498,1977,84,358
PrFNZNpA2TY,71940,1928,97,256
PuUFQJcaces,23789,551,19,180
Q5FCYyLFOWE,146638,14096,230,928
QDTWqee8KvY,54924,1816,41,453
QGEJAQ48R9Q,9030,294,18,42
QLUURnpja9Y,240110,3797,158,978
QOU9nAzHY7I,425049,11173,453,1855
QReteldj0A8,11443,314,11,103
QSNuhBtQ2H4,306588,10255,216,1193
QWyTEtGCW3s,16397,573,16,153
QjToPuRDRfs,135973,2972,124,816
Ql4WHzjrNNo,46355,1475,44,292
QsQLdnTmOac,160103,16005,126,386
QwQ5ElPWbOc,25806,53,5,5
RHfyQF2ztvk,141277,4593,242,510
RMT1YkDa4ww,28733,1230,32,309
RNlX4ivXVec,89368,1394,112,489
RhLQHLbkbAA,60044,1119,30,215
Rhp-_H_TKlE,1099712,10586,1217,1705
RiPtSZOw7ag,600177,14344,353,1467
S4Ala5M51Gw,209,3,0,0
S9iFH82OtuE,35080,901,52,161
SEP8knVIO5E,217475,6354,183,599
SF36i1M4Xjc,107645,3780,60,683
SOWfN-4jw8k,127873,3000,90,423
SgNTUJ8Fnb4,16866,165,22,45
Squ0ZCwQga0,950067,45542,944,3403
StUMOj81vQs,105063,7284,276,649
TtX9OQCBNuo,707237,39409,631,1796
U7Fcnjc1H8I,225132,16104,247,320
UEWC82B7nMY,310056,4632,456,721
USBz2IBi48Y,99608,1188,117,444
Ugej1GtcMHA,10022,108,22,23
UqNtWc48XGM,109752,1854,97,272
V3hg42mtMZI,47841,1114,129,252
V5J2JU91fh4,43910,2640,49,375
V7Jomu5rMU4,68340,817,1543,211
V8FahDMDmZw,85380,4379,94,593
VGPy3v-UX9Y,1890,91,3,34
VRIMVFUdDto,30600,469,67,15
VZP8CBh9QtQ,3512,218,10,46
VfAIRW5ONKk,127935,5236,83,519
