channelId,channelViewCount,subscriberCount,videoCount
UC3UgmK4cl1BqPJXuT6ykFOQ,758265,4000,380
UC1TATumw319yec1_yyTIaTg,15206794,67700,2313
UC-O5lDssXDx5m01cZtrdl-g,35532,121,1290
UC05m1jT_pGm-DJKlpXsBYkA,151528715,760000,3660
UC0oMYbkaO_bFN4Fh4J0LpYg,25895385,100000,1489
UC-6OW5aJYBFM33zXQlBKPNA,380168592,1170000,5294
UC2iNX4JXXc66uUioXDDHh1g,1324738,11000,314
UC07rNeWO01xLjyNMY5cLo2A,126051043,186000,5856
UC3Y7OyuS9jNdZy3ZadrAbWQ,67221024,351000,1626
UC1C2VTdEHmQD-3GINYSHuFA,26704976,240000,522
UC1jTVZboWRPpjGKAN921M5w,1365510017,3200000,6574
UC3UX8a0QJFBvlQ74NCpKTkw,125880108,210000,2953
UC23y2oepk0oAcSVKCENqsfw,43242103,317000,534
UC32F5reVmWnjp4UrCZY88Ng,2045997,7590,306
UC1_FP2Zcy1gS4p-pdzeWiUA,1062713,2550,47
UC4HnC-AS714lT2TCTJ-A1zQ,27157235,332000,805
UC4STOuaIY9iqh7Lzrq_EVYQ,14315343,94700,835
UC4I5ix_CFrLrNsMdUerB0aA,83671,732,65
UC5lDVbmgb-sAcx2fjwy3KQA,140452282,363000,5262
UC4_bwov47DseacR1-ttTdOg,895037873,4280000,2327
UC47CGkBFSwx4jvmukJ_0Png,87038,1160,108
UC5GSO2hiHevgZUhSQIJNd2A,374951675,569000,4991
UC3nPaf5MeeDTHA2JN7clidg,43295226,220000,500
UC3xKksVR1NXvF1q7utbtt7g,67791407,325000,822
UC57EbtWtcVA0MYWi-sWlpGQ,45981998,193000,4867
UC3uYvpJ3J6oNoNYRXfZXjEw,306094381,1220000,1631
UC4e_XPBiiIO4fo4_CucxQeg,60738822,190000,1226
UC5Cd09swlVG-oWoc1OEo-IA,112168,444,199
UC5WkdMZGjkKs3UplZfVbatA,189676966,688000,2504
UC4F5ddhy1g4JCu7PWnNgVBQ,541211,1430,252
UC51n0kPREVzryruUQLUDyvQ,1249482,2830,1059
UC8nqO3GJ8CcwKZ2UftEvBpw,5103058,66100,285
UC7wW9zRiKF_59qnWGAa6uVw,193283,1840,113
UC6-MQgTf0IF4adITqyvTXCg,10104,236,52
UC8679JjreNLfSCgA-2Fb4kA,27042586,191000,275
UC8SCPmddeQZoP1CVwBcIDMQ,40210653,143000,590
UC910yxBmXzGDH_2cx0XE0Xw,22350002,362000,89
UC8WsVTGSkhJTcaQtmn7GlCw,31022243,258000,207
UC6NiURh2N2mel3X26AncleA,1210377,3720,1606
UC6C1dyHHOMVIBAze8dWfqCw,1000660379,1280000,10627
UC9O08yHnHePidayVefKughQ,132127,105,75
UC64ZLto4_0TY5Dop1zry9Ew,6662004,7140,3135
UC68JmRYrcvt6w7bQMZ4aIog,3736,133,116
UC84Bd5PjKCB3W4lLcxiHWzQ,19671,101,24
UC6q0eGHt5euC8aYLDjhaHpA,37183481,230000,811
UC9PBzalIcEQCsiIkq36PyUA,433428945,1090000,3175
UC79e_-Z569Kr9-ecHpN3NYQ,31411,769,6
UCBebjCwRBWW15DogPrgXzig,23927145,81900,1758
UCDX9Jzgt7pfeX1ewjjBJa8Q,75435,1120,121
UC9zlSOEVoYY8Vxu6Nf_-GcA,968250,4850,1586
UCDeRsDqcB8zdkzErxrdHCOw,48197628,365000,311
UCDDvmdft9g81RNInHni599Q,13075061,94800,967
UCCODtTcd5M1JavPCOr_Uydg,713935421,2460000,1176
UCD2CCgIoTWZtFuDMQN8BhqQ,492446,5540,76
UCBj6vHknwI4FQnZPM-9DVfw,1797787,125000,175
UCDz3CjAc51W-YtsxYtSPZXg,538113881,1890000,2265
UCDC1Pas1aocEA5HBl7jp0ew,56750377,241000,1906
UCDdxxp4iwJxGtrrXRJb7Zhg,189,3,7
UCDlOAhc5hb9Hfhdyv5TV9Rg,2438059,11700,47
UCDmYblK8ScOM4LEfXCQNzCw,61774481,223000,2082
UCAr4MVsPBKjhg5eLDDpbDFg,130059836,810000,1856
UCBK-chEDLGoLJfYE7LrdQxw,132034,2110,159
UCFSdyqWKUokPAxAqToPiTBA,361515,3800,319
UCF3Ez6QwZwwr_E7RZGJMW0A,213251586,357000,3374
UCHCcdjkFeWndu5UixT1xswQ,40339689,280000,1793
UCGEnkonckz1VW8Uefw5r15g,1701244,2220,329
UCGyp7EytfxmppJjOSucQzxQ,636,70,9
UCFBapHA35loZ3KZwT_z3BsQ,109455954,427000,703
UCFH5KRS1nLFATLpCghdwd2A,139477,4090,100
UCHP9788BSC-EjNKx6jtUuiA,28277,261,101
UCGX_Nq4wQuSOUJJyjUAlWgA,730022,5920,179
UCHxEl1YkDIjbWmYuKEm6jow,285125574,1220000,3077
UCESc0EGqQrSuBYyb6Qls9AA,1609357,4490,520
UCGH4Wx-WL10iB4ZAdewkuDw,145095311,851000,3017
UCHmxLRkAi0f-t133X-kynGw,1440949,61000,46
UCF5pDc53ztvdsIsydCdpSzQ,1526604,13500,257
UCFQ3laJZ-KDd7o3mfQlTg3A,197393797,842000,1556
UCIF_gt4BfsWyM_2GOcKXyEQ,197217562,1430000,492
UCJyxViqpIy7Ml45PG_JVx6g,1688160,4370,346
UCI_lLkWji9bFWGkRGM_5TkQ,24408158,75300,719
UCIG1k8umaCIIrujZPzZPIMA,231923888,1130000,361
UCJNg8C5aMS6RoQNkbh4Wi9w,15845,218,127
UCKy1dAqELo0zrOtPkf0eTMw,11375701726,14500000,140399
UCJAbkIY17zAmCTNQHH0bQoQ,3300488870,8200000,16284
UCJlNM6eK5Q91gE5haheSLTQ,43999,250,18
UCIOF5HyoWKBZnOALyg6a5DA,8529,252,28
UCK-6RkwiV890FjakxxRoo8g,1654391,9260,130
UCJZnRJATAFN5rbXpewp7Vyw,21735518,91500,694
UCIQDedAyL_8OO0l7HYCOESw,640826,12700,63
UCJx5KP-pCUmL9eZUv-mIcNw,424907708,899000,15966
UCJldhQxDDHyjngoY_Dx2kJg,85983027,260000,3212
UCIgP9Y9-Cno9vBuE_SSpH1g,156041,194,12
UCIyppb02dnksE1V3b2BQjAw,83098,375,126
UCK-65DO2oOxxMwphl2tYtcw,211149440,661000,8292
UCL7xFbL6GWon1Y5juex8W9A,6227230,52800,314
UCMK6UT4HQiOdtl-1SAxxO_w,32005862,203000,788
UCNdiaR5AZ3txJ3VL1pVbXBQ,1169,11,27
UCLM2cAfUUTDDqg8ms2hodyQ,32218493,358000,619
UCNz5n8PoSGYSwkOH_SMnl2A,222729189,1010000,2226
UCNofX8wmSJh7NTklvMqueOA,1766268,38100,347
UCOcE8WdQOSeqFczVxGatGKg,187034308,1830000,742
UCMFm0qUjWzFc7_TH5dJGBVA,55994,1270,27
UCNoGPh6-xT7afBoudgrx56Q,2947778,32800,410
UCOhHO2ICt0ti9KAh-QHvttQ,2381426488,20200000,3447
UCNSkIgYMLDX3tZDNWPnbrDw,77294558,752000,480
UCO922O00SrQayTRjdH74BRg,1566,1300,54
UCNNZS735ZP9lFpzRggHlBqQ,40699925,147000,2191
UCO0YzfeR0z17CaJrJCZhksg,1721519,10000,526
UCNa2KVKJOADkMNYvWLaqjZQ,147307132,629000,1237
UCNO1qYmvu7u-JoV-Kzij_PQ,51469968,56200,4072
UCSRmIdDu1XFDr2iViBvcEDA,355107926,2320000,1117
UCRXcryyD7dzNQzd0Zkbj3ug,166526456,549000,1655
UCRztjeLfNzi2nw2nffMQtGA,13871821,46000,1566
UCSFC5Cio8zaLQDFPxA7y_HQ,3694190365,5990000,2612
UCSa3tAS6S9fZhPZue05eyhQ,24025804,132000,645
UCS_YpXvG_-qoFoFntz0v8Mg,348574303,1120000,333
