videoId,positive_comments,negative_comments,neutral_comments
ONqGkVCcQ3Y,91,37,123
VG06H7IQ9Aw,480,261,322
kXVfT_0Bsi8,55,25,802
xpsbtTHLqEI,375,178,361
As5bzTW50cM,409,176,250
qd8z3Pe7KWU,338,140,601
x3Wek3Wyo94,72,106,809
o6pf988yFSc,344,238,299
-oPcBmITLhU,83,30,805
MQeMk1DTaiM,469,269,344
aAktAeTDjEA,165,68,845
TJ_4ORG_mzI,504,286,289
uEXgjciuYSk,119,22,952
kaRzesjp828,538,288,257
9uwunZ2a4gc,543,232,302
KcPsPBipwGM,154,74,140
7pETx8Lacx0,49,30,565
gT9J2AkWvO8,144,92,195
S2QCHGon0dk,159,80,221
IfhSOFBeVao,422,255,346
iUh2hiW_ecI,183,90,501
Q0BUW-6d6jc,80,33,143
_JDDgbZMA7Y,319,142,207
hHw75tzcbvM,320,66,642
j5IWPcIVbK4,24,10,707
Z3oqJY-uZIQ,108,37,509
ouKI5heMy6I,4,9,319
eouqoIur5c4,297,95,185
ZqJz226VPUQ,9,2,826
alr0y7g9UMI,10,8,1068
yLE92F3Njg4,6,3,173
-Vgd124f3i4,515,107,231
bU2S_tQs6xA,316,180,268
x20RTBA86bs,34,29,693
F7zOn9OwfiI,274,111,185
pA_QuOGEqp8,7,3,623
o5nKJaARd3A,25,40,573
8iH_eFCbXmE,146,71,250
Hbd9uKZPmb0,313,103,235
FYFLF3uiSA8,394,223,253
ePFzCMvAeBk,98,19,457
8ATutWS9FeM,460,164,365
Q_dggN2rN3A,205,129,409
kIeut9CUCKg,37,31,740
Fi7_pSwuqu8,155,77,106
utAZvV9E7AY,201,65,111
d9rUEBpnEiY,572,204,254
sk5yi6nbtMI,9,5,219
s_Ds8x7fSMY,355,237,207
BEjixL7bfQo,15,5,261
M4x-w7fA3bI,48,40,943
oVa9Mqq-DYg,18,5,321
cZg5VMWW750,173,87,169
ai1vI5TPtDo,42,25,762
s8KmFce3rEk,72,25,288
9Y-wZ4xWpLc,114,68,172
Dl8YpMo72VE,130,78,154
aXAAujWQx3Q,74,17,368
qosk1EiOvec,313,169,531
BeZ_VUQYeDE,107,20,466
BoH6LOB6UP4,64,38,986
yfVyIS5XZvI,348,169,429
wnneXKQFvwM,106,69,103
