videoId,title,channelId,channelTitle,uploaded
ONqGkVCcQ3Y,Playstation-Chan Meets Google Stadia-Chan,UCvCtIO1it51jSkZGibS9R3w,Merryweather Comics,2020-03-12T22:26:26Z
VG06H7IQ9Aw,Google Stadia Specs Analysis + Exclusive Performance Testing,UC9PBzalIcEQCsiIkq36PyUA,Digital Foundry,2019-03-19T18:02:16Z
kXVfT_0Bsi8,"ESTO te hará EXPLOTAR LA CABEZA!!! Google Stadia, UNBOXING y REVIEW",UCXk9Voo5cAfoYbnXjrNZhVw,Pro Android,2019-11-23T20:08:43Z
xpsbtTHLqEI,Google Stadia is a Dumpster Fire...,UCtMVHI3AJD4Qk4hcbZnI9ZQ,SomeOrdinaryGamers,2019-11-21T22:35:42Z
As5bzTW50cM,Google Stadia is a Mismanaged Train Wreck.,UCuJyaxv7V-HK4_qQzNK_BXQ,BeatEmUps,2019-11-22T22:01:04Z
qd8z3Pe7KWU,How to get FREE games RIGHT NOW! (Stadia),UCYVinkwSX7szARULgYpvhLw,Ali-A,2020-05-30T23:15:00Z
x3Wek3Wyo94,"Exclusivo de GOOGLE STADIA | Gylt - O Início de Gameplay, em Português!",UCWKtHaeXVzUscYGcm0hEunw,BRKsEDU,2019-11-20T13:10:15Z
o6pf988yFSc,We tested Google Stadia. The input lag is horrendous. | Launcher Reviews,UCgaIbfohvj8OrgPAockyYow,Launcher,2019-11-18T17:50:23Z
-oPcBmITLhU,BEKLEDİĞİMİ BULAMADIM: GOOGLE STADIA&#39;NIN FİYATI VE ÇIKIŞ TARİHİ,UCXin0u5SrVEBjn5LhOoG97A,Enis Kirazoglu,2019-06-07T12:58:19Z
MQeMk1DTaiM,"Missing Tons Of Features, Google Stadia Looks To Launch As Unfinished Trash",UCWCw2Sd7RlYJ2yuNVHDWNOA,Jim Sterling,2019-11-16T15:34:21Z
aAktAeTDjEA,Funktioniert »die Zukunft des Gamings« wirklich? - Google Stadia im Test / Review-Video,UC6C1dyHHOMVIBAze8dWfqCw,GameStar,2019-11-18T18:36:47Z
TJ_4ORG_mzI,Google Stadia Proposition Keeps Getting Worse,UCT6iAerLNE-0J1S_E97UAuQ,YongYea,2019-07-23T14:19:39Z
uEXgjciuYSk,Chefkoch Paluten zeigt sein Geheim-Rezept! (Pdizzle Speciale) + Google @Stadia,UCOzqhzAIw4JTJIMkDTfLnkg,Paluten,2020-05-10T11:11:44Z
kaRzesjp828,"AJS News - Activision EXPOSED, Google Stadia D.O.A, Black Ops LIES, Witcher Netflix Reveal!",UCsgv2QHkT2ljEixyulzOnUQ,AngryJoeShow,2019-07-03T19:19:16Z
9uwunZ2a4gc,"Google Stadia Review: 4K Image Quality Analysis, Latency Tests. Is This Really The Future Of Gaming?",UC9PBzalIcEQCsiIkq36PyUA,Digital Foundry,2019-11-21T19:20:14Z
KcPsPBipwGM,Google Stadia Review (2020 Update),UCKy1dAqELo0zrOtPkf0eTMw,IGN,2020-04-29T19:33:59Z
7pETx8Lacx0,El Problema de Google Stadia | PLANO DE JUEGO,UC910yxBmXzGDH_2cx0XE0Xw,Plano De Juego,2019-04-02T17:00:00Z
gT9J2AkWvO8,Watch Dogs: Legion Official Google Stadia Trailer - Gamescom 2019,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2019-08-19T18:08:41Z
S2QCHGon0dk,Google Stadia is pointless,UCmTPhoY-bYX2PKU03IKcKcA,Foekoe,2019-12-05T22:36:29Z
IfhSOFBeVao,Google Stadia is a Failure...,UCtMVHI3AJD4Qk4hcbZnI9ZQ,SomeOrdinaryGamers,2020-02-19T22:54:54Z
iUh2hiW_ecI,"Star Wars Jedi: Fallen Order, Google Stadia, Half-Life Alyx, Videobrettspiele | Game Two #138",UCFBapHA35loZ3KZwT_z3BsQ,Game Two,2019-11-23T11:00:08Z
Q0BUW-6d6jc,Xbox-Chan vs. Google Stadia-Chan,UCvCtIO1it51jSkZGibS9R3w,Merryweather Comics,2020-03-14T23:26:17Z
_JDDgbZMA7Y,"Google Stadia review: Playable, not perfect",UC-6OW5aJYBFM33zXQlBKPNA,Engadget,2019-11-18T17:00:08Z
hHw75tzcbvM,Google Stadia Launched 🎮The Future of Gaming is Here 🎮🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2019-03-20T10:16:52Z
j5IWPcIVbK4,GIOCARE DA OVUNQUE A QUALUNQUE GIOCO! *GOOGLE STADIA*,UCpyDd4YbikHZE-DtNGfpdjQ,Two Players One Console,2019-12-21T13:15:00Z
Z3oqJY-uZIQ,Google Stadia klingt wie pure Magie,UC6C1dyHHOMVIBAze8dWfqCw,GameStar,2019-03-22T14:00:10Z
ouKI5heMy6I,"Google Stadia, lançamento é um total desastre",UCJAbkIY17zAmCTNQHH0bQoQ,Gameplayrj,2019-11-23T01:00:10Z
eouqoIur5c4,Hands-On with Google Stadia and Technology Deep Dive!,UCiDJtJKMICpb9B1qf7qjEOA,Adam Savage’s Tested,2019-10-31T14:00:09Z
