videoId,videoViewCount,likeCount,dislikeCount,commentCount
-6e7K1v32Qk,150,7,0,3
-HLjgE6wh3c,176330,9670,196,956
-Vgd124f3i4,313088,20375,1096,1377
-XP6YwWTztk,2208,136,3,23
-boFjnhvCok,1400,52,17,0
-lRWS_eqSXA,36,10,0,0
-nNLjPVexiI,48407,650,59,195
-oPcBmITLhU,434930,20847,503,2431
-rUav2xddOY,56161,3321,253,685
-wpW32H_PCQ,8590,129,3,45
044XM4YLoUM,4083,142,6,33
07iKiUpJLmk,647,11,0,0
0LJvu_zOXdU,74,17,0,4
0RBx64E1DPM,2591,58,10,50
0cjSE6hlw0s,149178,5216,128,963
0fh1bZ3zEOI,5084,251,33,119
0knbsLUEkF4,6933,277,4,58
0yX_R3nMtyc,22913,296,84,57
0yx2wdklQFo,96564,6867,139,440
13IR1W3vWu0,28168,3998,52,570
166tDxSQN28,72710,10844,78,726
1FqXcn4eFRM,4991,54,4,16
1TZs9IzC_Dg,236,34,0,6
1ZL0W7YKzSQ,177067,3920,203,634
1e8Bs88016o,76671,5091,153,621
1obL-mLnSG4,2100,87,3,26
1t9SuZQp6vA,45,2,0,0
1y4YArdkyjQ,98095,14300,96,2104
20GbyzF0Wl0,2775,26,5,22
27Jb7G0FPO8,66058,1268,75,308
2CkwBTnezw4,194,39,0,2
2HjcXP3Qg9I,89535,5224,245,1176
2Jgx1_l0xto,72177,1842,195,573
2NNS_3aKNcI,2775,63,45,18
2PbmW3VSKE8,64731,5796,158,606
2YK912Z8WT8,44059,102,66,46
2q7zMrgFUFk,20453,739,166,487
2qs-NP1DVzU,81220,1423,90,249
2skX-EfjCgM,61,5,0,0
2ujwCie7EU4,3346,109,6,51
2zK_1kS7FVg,1071,44,3,8
30pWPxSpFaQ,5646,72,4,20
3551C8reWjM,43,2,0,2
39-8kM7frtI,24123,1391,85,223
3awwM_aUEe0,191879,4032,474,717
4DzumFFQHJo,5401,79,12,39
4EKe4jnYFxQ,25089,299,358,176
4SC3yLAwl1g,61737,1038,192,341
4fqISnoC9BI,190081,2646,1759,764
4ioyIwP5xBU,2055,257,8,31
4vAAM_bOVcQ,23621,445,299,269
5Nxo4wj3W_c,131,3,0,4
5T4RaPp6-iE,110361,4198,167,393
5t0CFZ6dfL0,9890,119,9,20
6Jpgmv2DEOo,697,31,1,24
6YzEHqbd1sY,72692,9841,95,1050
6cOCMxnadzg,6217,64,14,6
6uKGADSk49w,2461,64,2,21
71ksnm2BY54,5953,174,4,29
72pVRcftYiU,6005,129,16,47
7LeUf5h4J9k,9325,438,11,40
7UhPo5FLYQk,31539,330,52,164
7YKEkePmCac,4443,217,13,45
7pETx8Lacx0,387415,20776,853,1632
7sCxrPDT6U8,10365,249,4,59
814aH6a5YWI,5381,65,19,35
88jcm8xYoCM,58849,2253,273,650
8ATutWS9FeM,270266,19904,285,1689
8Tvg5W_Ycpk,5170,108,5,35
8W_XNMpfXPA,11562,809,103,221
8Ylqd8YTAEg,96137,6605,73,728
8d4aJAao4TA,163108,4635,300,542
8fFCmqfrii8,203325,10791,187,533
8iH_eFCbXmE,297019,4181,277,1183
8igzue_fNDQ,132528,2236,615,798
8j-D9Fpz0wE,2609,153,6,3
8l9Uc1SrqE8,38560,316,40,182
8smVVqraGG0,61230,635,446,165
91CwLGdX1Do,4624,45,7,39
9Htdhz6Op1I,29499,487,22,30
9JaAmD0_zAY,23850,254,52,96
9PlkDMYP_Co,697,34,2,4
9Y-wZ4xWpLc,222158,3406,334,623
9Z2dXwsRUA4,158636,4130,177,467
9iUFQrpovwQ,729,28,3,24
9uwunZ2a4gc,395031,11305,715,3225
9zAWWLYxT3s,46,4,1,0
A6Wy_pWscsk,97117,864,2800,619
ABUN5SPD0zM,197216,11589,353,957
AE_wNsRq-Ls,55845,3600,58,275
AQupzDAH4q4,4050,66,10,1
ARm7tBKy7TY,80,7,0,0
AVfbgXKBVmc,145036,8932,501,511
AXwr4fLE1JI,33,3,0,1
AjolXWRi4tU,46142,4499,87,238
AkG1Frjy1Mw,135,17,1,7
Akg1JBgdX8k,5407,312,21,96
AoXMxZN39NI,109,5,0,2
As5bzTW50cM,456473,14310,457,1570
AvltQcQQCvY,3607,118,4,18
AwJrWlvmdyU,11463,120,18,22
B4ucG_17aZ8,27,1,0,1
BC1yHd_zV1U,472,16,44,61
BEjixL7bfQo,242409,17193,411,474
BJNrE11jMJg,19,0,1,0
BUySI7QTqLY,69838,9833,70,900
BeZ_VUQYeDE,219170,21508,422,1048
BoH6LOB6UP4,216920,20826,1287,2051
BztVO3qQfwk,5957,217,59,84
CBNTSM6o3q0,136,6,0,5
CI8GvLFcpTE,9950,180,5,54
COgvqcCRjQw,22048,784,118,187
CYR_Tm0WRxE,3808,144,4,46
Cbmwh_ZET54,7949,146,38,25
CcTrzyPz3Tg,328,34,0,3
CcsZHPdMr1M,166620,1700,139,154
CsXTugJFqZk,10751,162,30,253
Csc4RWAmWY4,6128,329,5,85
DTQghQDUT2E,73928,4670,1261,1047
Dl8YpMo72VE,221217,2528,1252,722
E0faYFNP1tE,20,0,0,1
E2DYkzOc92w,58383,1209,1460,685
EMNsqs0KHsk,27,2,0,0
EPTFfhcceP0,5831,149,43,40
EXGjjgWCj5k,172,9,0,2
EXPJZ4zmltU,48379,4240,86,604
Ei_sPNVpZIo,4808,292,5,51
ErlYgwMLkH4,202511,6642,602,904
EyXdrDMg-nM,4656,114,11,55
F-41ycMyqLk,63,4,0,0
F7zOn9OwfiI,300613,4996,1281,1226
FKPuMz-722Y,1377,104,0,3
FYFLF3uiSA8,278586,12939,163,1451
FZJ9aL1i2cg,87618,1980,1171,332
F_nEZ6yC-DI,127678,6167,601,512
Fi7_pSwuqu8,256761,7260,299,874
Fkxzgj1lf6I,3978,79,25,50
Fo4-1QOWzag,5811,312,4,30
G68LFGEyQSo,2005,16,0,4
GAMizw29nj8,4883,497,11,46
GCDtQfjufe0,3918,169,26,103
GTSPOLZ-DwY,669,21,0,4
G_Lk0jSPILA,10759,202,27,137
GfQ6JoUvvRM,4222,383,39,124
GfztqqgvJRM,169867,2419,683,803
GhRsPtCexz0,10824,270,17,50
Gix90EmSH-8,25909,1097,110,260
Gt_Kop8V3Is,3766,195,9,30
Gvyw_VMrWmw,294,31,0,2
H2qGEsgC1LM,79,11,2,1
HB83r1guYSE,7556,46,18,8
HCRddqNkOxw,261,26,0,0
HP2i3XgEqR4,3272,83,2,3
HU9V99Snpug,212002,9112,216,1302
HWz9nGa5HLY,280,24,7,14
Hbd9uKZPmb0,280084,8133,226,934
HgQYwIEcJt4,121523,7050,123,566
I59_ikzn3rU,84011,2236,112,389
I8CFXkCC0lY,4737,218,5,42
IFYQRgNsiko,45666,2612,42,161
IHczVHhFceg,28225,2426,107,360
IaKnWJaj_oU,26083,2975,80,363
IfhSOFBeVao,383066,21743,365,2812
IlWp9brT3ik,3992,413,36,147
IlypF1iCqjM,38843,1635,88,535
ItAGAQsoXYo,34764,623,197,387
IwvwBQIN4GI,2153,55,0,17
JEtByMPFL4E,198,11,1,7
JHCqJ3_jz8o,41930,4152,42,266
JaG9sAFLWpY,5567,100,4,22
JaMaIIYb5JQ,4244,119,5,45
Jlf7L5VxlcM,150938,2549,580,637
JoVn7f-HrVc,65,13,0,9
Jqj5ywQXCGs,100124,4714,1103,1448
JyCNrc1xMI4,23,6,0,0
K26Ee5x79Ro,2152,141,7,86
KAv5oOzQdnE,2519,45,0,11
KWTngcJSaSk,65124,4455,62,173
KcPsPBipwGM,395232,5729,2375,1578
KjPHA_U1SqI,13594,535,48,267
KtoUs5APX5E,59,15,0,3
Kz7bmFi2bdg,8414,1191,12,132
LNQtNpOg1yQ,4059,147,7,59
LVkHt1OCITo,10075,412,49,137
LZzDXNb89Es,58751,8069,88,658
Leln2Zcn8ys,30129,1740,81,136
Lo9_iZOlfvg,3742,70,4,21
LxQUV4DyB_o,30428,1898,5,240
M4x-w7fA3bI,242197,10174,4098,2477
MBFpHPFLbCM,126787,1783,115,431
MBLa2wN9v4c,4879,142,6,89
MCiYQCJaffU,123873,9353,199,337
MCkDCNsaxYQ,56328,3559,155,635
MFGW9SzdGbY,877,73,1,44
MQeMk1DTaiM,433584,17386,684,2864
MsqozOfvAZs,158,5,0,10
MzEEKQHLiTo,155263,8581,431,1195
N4CydDzVGA8,95986,1891,96,598
N8Z7pPxmjA0,114169,1657,163,673
N9sixRDUOqQ,2593,56,9,53
ND-bRiEZJvo,72526,1639,74,466
NDcrTIcO0pQ,129529,6723,128,559
NZrj-0TsyaM,83833,718,266,259
NpZGDt1hQ3k,36680,999,54,415
NtrQwMVT3PA,107,14,1,1
Nufsu0o0G1Y,332,9,1,8
O1r83yr1cvo,4172,214,7,79
OMWuKtqgXV4,10761,598,36,37
ONqGkVCcQ3Y,488897,15806,97,643
OYTNb1fliYQ,33021,2365,77,338
Oy9N3styuWo,2475,46,5,14
PVWAql7d6EU,3007,54,151,208
PadUCxGgy94,10481,1115,45,236
PtjsMQ_EU24,4557,94,4,33
PvDgYu7bjfA,3639,161,4,101
Q0BUW-6d6jc,358642,13563,110,760
QN-ctXB6O_s,250,19,0,4
Q_dggN2rN3A,265252,4807,1365,1126
Qac9hKlYJlg,7869,296,34,38
QeliATLyxAc,38287,1326,38,272
Qr9_uXluL1Q,157264,10364,813,3088
Qrjy99bx_QY,2131,219,17,69
R282jPT3KbE,35,0,0,0
RHtzXyHNV0k,159251,8817,3623,587
RKQXRJKTd5U,59249,4671,66,182
RM9n9QoqgcA,9008,112,5,15
RZrNctzkyS0,6241,121,19,48
RtGrqJajezM,51417,2532,58,131
RtR4gH1o8KI,9228,385,13,81
RvR_zAuw5a0,90,3,0,0
RzzYp_O0zUA,2133,90,2,27
S2QCHGon0dk,389747,14868,433,1626
SWJeNLm5ufY,2099,75,1,11
ShAYrhn5Zjk,92745,2752,474,402
SmdbQt6OhYA,2232,84,4,40
T5l-9xZFeFE,7861,172,37,76
T7U7oZpBKAM,2431,59,36,51
T9wf5RSCFv0,26427,644,15,99
TJ_4ORG_mzI,424737,18617,607,5914
Tv1qcrh1SKc,200349,6521,156,382
U4lvmE84KDU,81308,1838,142,554
U6xDg4_SUrk,90709,4751,242,859
UFwq3zxu8Mg,25842,214,22,65
UG_QoXgDTT0,4398,278,13,78
USYbTHdZ_GA,47,5,0,1
UbISR0Y3MAI,126,17,0,0
Uyt6kCa_GUU,1015,106,4,12
V9pwvWxzy_o,60397,1125,179,257
VDTxel_4o94,23988,1985,35,241
VG06H7IQ9Aw,486767,12533,1041,3458
VJ4LBcBgYcc,1997,26,1,17
VNbzGyq_QRQ,1386,132,1,27
VOYrqn8xx1Y,86984,8951,128,231
VgMnXzXm2z0,5408,157,6,23
VkJ0nAt1o0U,207,17,0,4
Vp-fRA1j8-Q,201,16,0,1
Vu6pMwkBHiU,168401,11698,464,881
W6kvqXffA5g,3403,258,11,64
WEF358JTgjE,4641,161,3,23
WXmyWIWnZCw,161,7,0,1
WZ-Wnc8igDE,79461,3127,151,928
WgD1MfkaaDQ,150600,20272,275,306
WqqCOBtiEEY,48753,4388,103,534
X8gl_z6ulGw,3138,134,8,62
XHGG0a0cOs0,36119,788,25,218
XHa1tr-KHTU,59227,831,41,150
XKPAx3mSsoU,102,6,0,3
XKct48cLnCA,40763,470,82,174
XiA0XFpXXI8,2706,93,4,8
Y-hzJ6MUi9s,133747,5414,268,723
Y-lyhdIwGUI,20647,801,45,153
Y65_X-Succ4,5983,144,5,28
Y9-pvnt2q60,8308,440,24,93
YFP-li3nPSs,5572,161,16,77
YTALHOomkug,85463,3008,75,856
YUX3trjOJgc,49439,2918,151,423
Yf5ebatpmec,199927,15143,300,1203
Yf6VS-uItmE,126675,2843,66,478
Z1ZE9TElqFA,5086,242,8,61
Z3oqJY-uZIQ,340023,6070,298,1468
ZC1CRRYrnTQ,36030,3459,433,479
ZbzZJVXK8Tg,190068,2822,755,563
ZiAZDbeOjlw,9489,69,147,106
ZpQbDTbKcOw,31869,625,48,178
ZqJz226VPUQ,331382,9110,151,1349
ZtH0JM-ILNY,39259,3412,81,489
_JDDgbZMA7Y,354843,7244,1099,1342
_Sw_K_21Wdc,28,8,0,0
_WLbp3vYY-c,208541,2245,628,864
_XVDvNpQmas,62734,2959,31,646
__VjiQvX9aA,2539,140,1,19
_l-Ae_4kygY,126463,8330,326,194
_nnMLFHSQTk,66469,649,108,236
a8u2A_nAKZA,32538,1942,41,288
a925E7mPHFc,3295,246,2,60
aAktAeTDjEA,428191,8877,577,2363
aNOzvXL3xYU,65052,5968,78,704
aXAAujWQx3Q,219831,7418,236,918
ai1vI5TPtDo,225591,12959,793,1768
ak16iUdSM_M,98641,9837,184,646
alr0y7g9UMI,327198,19230,1864,1737
azka9ySQkTA,8058,106,7,41
b8TrHmtdRM8,56505,2290,62,623
bGHetYXFaHU,7470,118,4,21
bJHf45X8ytw,5481,120,29,58
bK3nDLVEr2k,21982,416,163,176
bKZoMXjbLXw,11787,212,44,87
bU2S_tQs6xA,307875,6439,929,1321
baYNIKzqeho,5300,456,21,165
c-dflr0u4G8,95191,9337,113,907
cErfnPh2W7k,22,1,0,1
cWj-QE5LVHY,4208,77,5,33
cYa85A8qvlc,71019,1359,190,251
cZg5VMWW750,225753,2730,886,920
ckQZell0Px4,2010,15,13,14
cp2IyWiouBI,48,6,0,1
cqfDWS5RhvA,27,6,0,0
ctBr26aiWUo,33966,3793,146,525
d9rUEBpnEiY,246114,9506,668,1906
dOpLah3ucZc,3538,172,5,44
dXkGYg3p8OI,4962,120,6,64
dcIC7bxqKK0,4249,184,7,44
dlIq1N9PIWw,40116,2662,46,81
e0A2a0zYW7U,144397,1803,426,359
e2XnxowwkSI,6399,140,14,43
eEyM7pLZqM4,99232,11060,46,284
ePFzCMvAeBk,275176,11406,178,1049
eZiBeekBa8k,24032,555,21,150
eouqoIur5c4,337489,5844,439,1495
ewf2vW-898U,10018,269,5,122
f4bJUbXK9-U,8612,252,6,70
f9YNMouMwp0,7238,594,12,143
fIo86lnApzo,4442,132,5,14
