channelId,channelViewCount,subscriberCount,videoCount
UC-OXGAb_1cee868asQIcgqw,66691631,269000,2848
UC-6OW5aJYBFM33zXQlBKPNA,379648940,1170000,5292
UC04lAYEYR4BiaJkbqArxmRA,254758369,270000,375
UC0otZdGYsA9KqVKAcn2peQA,5504047637,8250000,1280
UC1-Ri11VqY8Uh3cBI04-lfg,1585783,12400,202
UC1A70xg7qyQycQs8-pz8A6Q,43312940,517000,139
UC-IdN5EFZvzzZGqgul8eXKQ,12787909,69700,495
UC-867iftJqBGr0mQ83xqyKw,36657666,115000,756
UC0jlqmpw9E0NW33RERrq0QQ,344281,3520,27
UC-WxbJPUU_qwNmnZrx61i_Q,28694971,456000,151
UC0MYNOsIrz6jmXfIMERyRHQ,119451754,652000,1020
UC1X0BSe3KboTiP5TtXi6Mpg,204225401,2220000,226
UC023Zh9CowqW_kXPvmMs7Eg,245909396,1190000,548
UC0-ube6oD81tPZL_Z_GFtCQ,66855629,902000,297
UC12dU4DvkaQyQM4iQ6hwD6Q,34328,76,7
UC1hiI8TEoA0db5HhU4gbsUg,47269839,262000,1056
UC1pc4JbcA7msTGjkMOP_HgA,7946439,134000,99
UC173FCaSv6VvqDxuoinDr3g,152790598,705000,778
UC50JNKVB-a_CoemsMIi9tZw,2195408,48800,92
UC575zpZlv4uWDUTXsnaVgEQ,391223,549,75
UC5P5NlgQmjinm_M4OCzbOHA,133839247,740000,4019
UC3fg6pL63upkXCc0T203wVg,74036172,728000,557
UC2kBw1eIkKzLp4yt1GYDOvQ,26488,17,3
UC2-q2Oze3t7VofkSkPMTIPQ,304095,581,49
UC32HlZsC2tfbkDisSLnmM_A,7097907,71400,131
UC5dfttydNOVPXRYc0q-g_Kg,316941610,2470000,2123
UC6FLHdX8fsZJhGj7zxxdJ9Q,17698607,178000,204
UC26yPlaptBN_X2FfWbJ-iCw,26451637,502000,1058
UC5qJINQ80-zvtGQ4fq3kSRQ,242852114,1740000,1670
UC5yXB_ThsufRJYMRlzIGoeQ,432096526,1080000,2461
UC3T1mVM83MM8K-ht9XGs5lw,131010140,543000,454
UC4ou-UFD7hd2Pu-58pwKVGg,5696313,35700,136
UC59h5y6apCXD4dQB6Kftpww,24973103,418000,198
UC4xZF3xguQCG76hZVUivoXw,56616187,215000,342
UC3jGykRGUbv5mpv_pwH3hXA,6975407,63800,159
UC4hQDT1yzyH0KeSKAPJqeMg,88404082,1000000,251
UC6n4FXGXlVWJU9Rj0pWSzAQ,2790758,16500,92
UC7mn_8HJHUIwgzR6Umjuz0w,12307820,238000,280
UC9D8vopYTSvGIdzyH6e_3oA,3848828,65600,45
UC7UaUdkvwcu1I0kaG7TaGhw,2929107,34300,111
UC9Esy_BYObTe44sUfQoGgRw,88529,246,143
UC7A2r9_k7hBfAmUz7F5flag,116597364,525000,191
UC7P3bmkbTdAXaJYzhuF2obA,16488667,135000,280
UC7cjpE4vKxaehF_vnGeDG5g,514837,5160,108
UC9fSZHEh6XsRpX-xJc6lT3A,401805524,3040000,899
UC6paX0kLA8D81aYogceMufw,4272816671,14400000,1271
UC75vh-u2mH_VnvAKEFux81w,131809,5930,10
UC6yXdygrwZuzqE_vJgTHcvg,2156774,30100,88
UC6S64OkxMjST0xtqfay1kNw,101590,217,14
UC83r9vo-VLBsrKIf4G589-Q,29321,248,46
UC8V6eWWkvGA-e-JDnr3Rchw,137711,559,55
UC7-7vr9EeAOGOrCOekno4Cw,30445,385,23
UC7CplVVDYKBeraVcPuI3xUQ,150507923,445000,2560
UCBCQ-YdmMIA_JEaFMS8nqtg,19103685,205000,183
UCC1hWOd-EtRNuqVKkOyPLXQ,48180868,250000,955
UCC2yIICC4IWYVesx67gItkg,8426296,4400,153
UCCC_m0Lw7Z4IT6IjoPb0ZLg,6828200,48900,212
UCACAnHzKb11GJpcxKg8P8bg,3866238,36500,331
UCCbD39MVnMsTLGxsHLnOKlg,153569277,979000,1450
UCAz-755tH3m8_BwaluzdJwQ,5999394,33200,473
UCAaYa7kUNSSkJFOOZRGhsng,4156129,51600,202
UCAz_Eszk3YjqVLw6oXbSKQA,31062904,484000,367
UCCCfdkhSlT_fB_RdfrVyVLA,12899481,94900,282
UCAr4MVsPBKjhg5eLDDpbDFg,129590622,809000,1850
UCANa7EO3GwG7fzEMO-fVRWQ,686162050,1330000,961
UCAfjft9lL5fMFf6PEUfksPg,10921396,64200,683
UCAC204niCVvtDRDFYSiK7Cg,4824603,55200,603
UCAA4EV4denSMDNMvUxDV82A,61181881,232000,1260
UCAY-61fYoQikP2ll9E3pmpw,532120,5460,328
UCBnM_yO05aMld_1tzvrSAAQ,20543278,164000,465
UCB0ffaItcXwkgbVu8Hvq3Tw,28646934,183000,863
UCEHBzBbgtGwYh-Ru2K4pynQ,12006260,53400,361
UCDFr91UJRtw18n_m1ib4spw,5954531,65200,19
UCEXWYtpwPTXYThCOKLNquWw,30041578,73500,480
UCE8MpFebnoiFTdGoqeu2aGA,43340,116,7
UCDOZDfbVGOrywV4n0WeaRAA,68952771,585000,640
UCEPL07qzVsOcHd3sMUws65g,718080655,6650000,2170
UCClaIYrz0hFQBTmY5H8rHvQ,2073533,64900,44
UCCzKM7UMxGCPAgUDXmFw5Gg,468981545,593000,13807
UCE_KhcsHt7PQBbw8pDH6yLw,452362,1850,136
UCDUdvPnNWjQCif_GnrhUE6Q,229425983,1630000,1111
UCDmYblK8ScOM4LEfXCQNzCw,61573392,222000,2079
UCEU67rnNb6K8gBeRCPvZSGA,12168973,92300,101
UCE3MUYjVHag9cSrNX4i28ew,5256225,33300,378
UCEHvaZ336u7TIsUQ2c6SAeQ,193360683,4530000,411
UCCnTYFYPWei6HVB5MM_DsGg,26002672,340000,136
UCDhPiDSDgU3Rz0CVGC9Qwgw,17338796,147000,396
UCCkXU_pKTN98ktKl0TnHjBg,36232591,243000,1040
UCDeRsDqcB8zdkzErxrdHCOw,47949791,364000,308
UCFjqAKR9UVS28ucTNuVTexA,16728709,322000,129
UCFze07d968LW9G658oPw_xw,17607485,178000,95
UCFGud6qsbaAjuP6WaXAJj3Q,49603424,221000,521
UCG5g2JDnXgx-9i8arGUiWyw,288162,3840,78
UCF6ulQDhGnB5DLLbqdeZKBA,1754398,37100,271
UCF_n906__yoMtxZQtmqmZbA,100363780,392000,622
UCFpYIlyzhOKGjaDq5-hXrVQ,17243373,116000,754
UCGC9HDH6VhGn72wmwoZYVAA,3609493,54500,175
UCEgF6KhiOxSe-oRDUJba3Kg,84231340,654000,436
UCFpw-adsLgRI_m_0CBS91rQ,54862724,287000,130
UCFlrr3CpaaOkyXBCfdjuIiQ,203610,142,7
UCF9-JngqznvAsiF2yZbeY8g,166400070,355000,3396
UCFy7ma1sBS3OrrPUemKVrSw,11942653,122000,196
UCEoqPKAUnoZ5K6iXq0w6K0g,112683518,122000,7558
UCG7QZRBje4wS-gyj_AlFdFg,37456121,415000,444
UCF5TyXB7cVdVLv8lXr1T0vw,44343132,310000,287
UCEeXA5Tu7n9X5_zkOgGsyww,855110247,1990000,4679
UCJOl2JvledP26K2OQ_HLgnQ,17433982,99400,151
UCK2dUwh9zCm6fwZhQoBDNfQ,139037329,1550000,582
UCGgAPt6VdRPlpwAtbkp9UVw,792410,4840,70
UCLM1OpCXx90zzBLd9j6ihgQ,5589377009,3380000,5661
UCM1jNA8DM90LE4ywxBe8RmA,9663913,92500,235
UCH8KsrM3KzFpH8RVpOy-p7w,32800448,131000,1448
UCGwKgTyNa0jE1GZmFlyX9PQ,44933355,439000,322
UCLri95OeM8J6TQ_nvfyKS-A,8784451,181000,117
UCHhfu5p0zydyM-_nw3IJvig,141614156,1100000,1032
UCK7HfpKpTTrYE5fCgTP2hWg,3482407,27700,180
UCKSMCtaqtSNxvXO77iqLF3Q,7273839,117000,87
UCJHTQG_K8l2A2ZE4ohxcLyQ,99062272,447000,843
UCGjKSSIpN7aYQluu04kPrsA,16089934,178000,179
UCItMW5S7v7ROblqvw6xBB_Q,96161,2150,7
UCLr4hMhk_2KE0GUBSBrspGA,180950622,805000,453
UCIpZAGl9xHcuzmHW0AAJs7g,2162074,31700,66
