videoId,positive_comments,negative_comments,neutral_comments
Kb_kIq5tMGQ,11,1,442
tfPaRryXJMc,224,89,773
ceoL5Ne-a-4,82,13,130
eM9eL4R0R-I,8,0,414
GdQRjzcq8rA,5,2,444
2yghiSE-FG0,5,7,568
JFVMuRlKzuU,364,74,303
Tbinchz6Vrs,241,39,167
9qkIjitNOBQ,53,27,794
s10t0XUeL8Q,169,35,723
6Y8-9VMWysE,13,0,443
0FnX1ufiMzM,455,140,490
mUCKuK_ytWo,7,2,178
4EC8GynSQfg,0,0,67
gwbgJQishg8,15,1,939
QPZOU6KsZRI,254,59,127
58rojblYzqk,161,35,168
MEwdW7HGHFE,56,18,458
ITzy5J3j5Is,20,9,25
4GT-IciL6eo,21,14,883
VEWQxNWkgaM,53,17,627
iNbTKOaOl4A,17,3,279
EMwrJjyKzR4,203,73,207
XThtCfgLb3Y,22,5,270
pOwoz2Z7Sq4,138,25,207
ZXZXF1eUE9M,28,3,381
c4iE85aDlEA,14,0,511
S7wF50idKQA,3,0,161
G8sxhyvp2FY,3,0,117
iuPmU3Q9slA,163,46,316
cvKQDyRvOZo,30,10,80
vZtOl2f8SYc,306,78,244
T5BVyLTrt8U,14,4,368
ghNXAW-jCKk,57,55,988
qV2SQ2SXOHQ,410,81,261
4unTQDg_isw,26,15,43
RGq7MqTl5sQ,47,9,669
SMkeVHscSPM,322,63,189
HFTnFYlB-Nw,34,16,424
dZnNNQ1LkvM,268,59,486
yoERIuz1ssA,6,3,284
L8QrW8aadI8,229,33,416
2hATewE4Q7Q,10,1,152
GeAqwQt9T_E,345,54,701
5aVotI7t4CI,7,2,511
KYkr-wXnRQc,52,27,559
f3EOUJ9AWnQ,23,2,357
7tS9tft5AUY,37,4,134
ud1V7-n-MVU,3,1,1022
eVQ4aOHqdbk,153,18,821
XV6cuBrCcvo,2,0,296
5APPqVeZt-k,253,43,140
32kGFH4Vvq0,28,7,1065
SBymZ7MYa5o,53,28,428
V-mvS8P5uoA,3,1,127
J5P1v-DG1nU,4,1,438
Nd8IeiwHjo8,6,0,440
ILrdA8sRfOo,166,26,104
0K-jHwDHC_s,135,20,351
bqbDUsr5mbo,17,4,141
9x_b5LZVd6A,290,63,301
0aEePtws0UA,83,24,92
Nd4wx_y3xgs,37,3,127
TFDC_dzIg-k,2,0,216
drZlcBVAg9c,84,19,433
ljAFs9jO1X0,14,0,882
qN4tcxsfTkc,52,19,916
4t5I6mVDb4w,17,4,185
J3jLFx7VKic,204,40,205
iFl5a2paOCQ,260,29,766
Tl_VBgIkhhY,159,54,310
ehMl9n5P2D8,99,14,427
RuDFo6Z8Xzw,76,24,914
2zdfLddfC6c,54,23,177
LtcOMY4Fjbo,8,0,355
yDCsQ02HNFk,101,42,469
J01OpHiAoE4,29,9,1011
ocREbwPhWTo,6,0,109
jR0ne5AyHh8,5,1,356
imsYBKaF1ME,11,1,444
sKhLs4fwxus,32,10,286
hRcuZUmaqn8,77,26,529
dME-GtCp_vY,92,20,461
KXwyR1X0pk8,4,1,199
JNpKYsBnlTE,48,3,145
bpbsgzD-Npw,133,15,508
82JlMrjCQ9s,1,0,218
3EbykmfluK0,1,1,158
wfxng0dtRx8,3,0,271
jEWXoACSeYs,1,0,139
jn1O9IZD5CY,195,36,134
vt3BJxdkyoA,10,4,314
1e2-mWK2qLw,2,1,195
MKztAoL21vA,3,3,305
wScXdf0_FVQ,129,18,150
SjMo2rXmb74,71,9,393
leN-G7KCEnU,103,11,489
lkjqbRxTBvU,199,59,413
e7i4wALiuQk,271,38,596
G5FSNLeN0QU,62,4,198
5d-Xz5c6h-g,4,0,230
UzCCRlfN1f4,127,30,285
0wTgtWkoQr4,147,28,97
6UsSZAt0iSw,43,10,590
Q0JFSfXQ_Q4,77,10,64
1Fu_ohDt2YU,73,12,301
Qc8yqHrHqqE,1,0,196
sTT-2Dfi9qI,143,5,269
HCuql2HYbIs,133,28,84
dnT40mjEoBI,35,27,308
1gcYsnAM_j0,3,0,188
7cm4ZIFhtA4,17,2,138
RH83eJyZ7OU,16,2,109
EVd0_zoJ5js,39,7,186
p1yxDPahPdo,1,0,75
qE6Y8xKetIE,128,14,178
9yRtud3CUdU,157,37,102
BkQikMIGiSM,18,6,220
9q6Wx2gvBbo,8,0,110
wJ4dEnpgTO0,279,25,287
D9DeSJFabqg,16,6,251
dJIStJf_U5w,320,54,567
5YM5MYQThCU,53,3,267
pnquKTgLEeY,22,8,265
mSTWHQ5NDIg,238,44,253
1K0Qru_8mCk,78,30,68
65S73oR6WDg,57,6,155
FlD_xjVfTe4,15,1,162
uoKZSzCwsMY,2,0,66
YnkywNfcSys,2,0,139
YLdBwpUflCw,20,8,103
S_2cYk630wY,10,1,152
E5Ql3WW9cDU,10,5,72
u5lg-xDmJ-s,31,7,602
709f0CG_vJM,41,4,126
xSZyWFOU848,206,45,298
GtDFTHZRDYE,40,11,425
k-GBUHua46o,145,14,608
1G5fF8ReqqY,207,47,168
-y13oeq_bQA,56,5,291
oc_snEJP-TM,41,7,26
H-2FiKSwhq4,59,17,313
A7yoAuRTAy0,268,59,159
1DbvCEPyf80,6,3,190
_Nzyutc1Ofg,33,6,147
yQhSsFMkUKo,3,0,207
nAbe1wAYDTg,66,12,57
cSySOB2IYfc,3,1,168
zz_uBH1zj48,125,27,90
R7hDLOBanWM,224,44,469
qW3TVADQXhY,16,4,74
TZUQ212frF8,48,4,187
MX9D00-jBRA,32,1,64
kLdggZsHeDg,10,1,258
z63CP02GMZA,45,1,165
5YlP6ot2cMw,1,0,64
yOZjhsg4ais,5,9,244
X9gHwrm73Vc,19,8,398
hdfecD_gwXc,5,0,203
2JfySjvotAw,7,3,157
vSsaPu20_RY,6,1,203
3awg06m1kbU,18,4,360
hYhZLy_VOeE,27,0,85
yZ-hUR3dyoc,13,3,384
O970b8je82Q,1,1,145
fPT4YrSpGrE,137,25,92
DUHOVHq_vN8,20,5,90
IqU7626WXjA,15,1,223
x7vvbYR5aYU,32,9,430
5Irt0081hXI,42,2,83
HoNT2ApWdSY,23,7,158
jfrwOQGbhoA,92,22,93
xUcZWzI6zXQ,29,4,304
b0010ns44QE,4,0,112
dxBx8xYTIXg,1,0,121
TOnW2IxXTfI,3,2,69
-JfTcazzYkU,81,23,284
EuGHRr9udtw,0,1,64
2Ld0dYabEm8,22,12,179
Tht4Btp-YWg,13,3,268
uBxaDpdEmNQ,7,2,111
5KLt-Td4zw8,30,7,24
893yHXdNUBQ,29,4,77
EueVu8cWQ70,9,3,101
fdG1m4Yn440,29,2,81
a_qa3VZ9sT0,1,0,195
vA1ss2xz5GU,161,22,127
fNvOOsbUdDI,0,0,103
VJBbuskkjU0,0,0,79
SXWfYpqY0hs,24,20,159
X40OaORMlFY,14,1,97
