videoId,title,channelId,channelTitle,uploaded
Kb_kIq5tMGQ,"iPad Air 2020 (4G) - классный, но зачем? Но зеленый и голубой... распаковываем и разбираемся...",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-10-21T20:20:25Z
tfPaRryXJMc,Apple&#39;s New iPad Air 2020 : iPad Pro Killer ?,UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,2020-10-29T18:12:46Z
ceoL5Ne-a-4,History of the iPad,UCfw2hvuj40AChU7n-N-PRHA,Apple Explained,2020-03-19T02:50:03Z
tWGMq5OSaZI,iPad. Now with more to love.,UCSUfTb8JAeoaRnu1zxGQomA,IndiaiStore,2020-08-13T14:01:02Z
w1xNRJ-zwIs,PRANK - Néo jette l&#39;iPad de Swan dans la piscine !,UCzYC9ss2P77Ry2LzIDL5Xsw,Swan & Néo,2020-08-18T14:06:14Z
eM9eL4R0R-I,【iPad Pro 测评】学生/博主3个月的使用体验 | 值得购买吗？能替代电脑吗? | iPad最常用APPS | iPad Pro 和 Macbook Pro对比,UCFjqAKR9UVS28ucTNuVTexA,ElenaLin_青青,2019-11-25T08:00:06Z
GdQRjzcq8rA,أرخص ايباد | فتح صندوق وتجربة iPad 10.2 2019,UCyQeVh82-EwLZJnZM0fQ-oA,Ahmed Medhat احمد مدحت,2019-10-14T16:00:06Z
2yghiSE-FG0,"พรีวิว iPad 8 เครื่องแรกๆในไทย คุ้มไหมกับราคา 10,900 บาท ( เทียบกับ iPad  7 )",UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-10-01T12:00:01Z
S8JBXrLDkGs,Introducing the new iPad Pro — Apple,UCBCQ-YdmMIA_JEaFMS8nqtg,Apple UAE,2018-10-30T16:15:40Z
JFVMuRlKzuU,iPAD PRO 2020 11&quot; UNBOXING 🍎 some accessories and decorating,UCv6TMyLhY9sKusmWIlnCDoQ,justinebujo,2020-08-30T22:50:14Z
Tbinchz6Vrs,Which iPad should you buy in 2020?,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-04-03T15:30:02Z
9qkIjitNOBQ,NUEVO iPad Pro 2020 - Review en español,UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2020-03-29T18:21:11Z
s10t0XUeL8Q,Bayar sampai RM7000 tapi ini yang aku dapat ?! 😰| Unboxing IPAD PRO 2020 1Tb | Penang vlog ✨,UCpLCJhBGDn9AHzQvd7OHO8w,Bella Khann,2020-06-21T06:45:12Z
6Y8-9VMWysE,iPad愛用App分享❤️｜幫助增加讀書/工作/學習效率,UCZxPrEAHOkNdS2FkaLIGniw,TheKellyYang,2019-12-22T04:00:10Z
0FnX1ufiMzM,The NEW iPad Air (2020),UCVYamHliCI9rw1tHR1xbkfw,Dave Lee,2020-10-21T13:00:07Z
mUCKuK_ytWo,"Самый дешевый iPad 2020 (8G) и iPadOS 14 - распаковка, звонок бабушке и что там нового...",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-09-22T17:35:21Z
4EC8GynSQfg,【2020年版】iPadに必ずダウンロードしたい僕の1軍アプリ27選,UC9D8vopYTSvGIdzyH6e_3oA,YMK / iPadで生活を少し豊かに,2020-04-04T10:30:02Z
gwbgJQishg8,أول مره في حياتي اجرب اي باد | iPad Pro 2020 !,UCv2u1432CnTCiLtvSFRKYNw,Abdallah Rakha عبد الله رخا,2020-08-15T17:34:22Z
QPZOU6KsZRI,I Tested ½ a Paperlike Screen Protector on my iPad for 2 weeks. Here’s What Happened,UC1hiI8TEoA0db5HhU4gbsUg,MobileReviewsEh,2020-08-02T13:22:03Z
58rojblYzqk,iPad -VS- Galaxy Tab S6 Lite,UClozNP-QPyVatzpGKC25s0A,Brad Cowboy,2020-05-28T14:07:04Z
XFenaEO4hQQ,APPLE TABLET IPAD --- BİM&#39; de SATILAN TABLET  ....  ELİF&#39;İN TABLETİNE İLK NE KURDUK.,UCLM1OpCXx90zzBLd9j6ihgQ,prenses elif,2020-10-13T11:00:12Z
MEwdW7HGHFE,3 KLEUREN TEKEN CHALLENGE OP DE iPAD PRO!,UCANa7EO3GwG7fzEMO-fVRWQ,MeisjeDjamila,2020-01-19T08:15:01Z
ITzy5J3j5Is,How to use Slide Over on your iPad — Apple Support,UCYFQ33UIPERYx8-ZHucZbDA,Apple Support,2019-09-24T17:51:08Z
4GT-IciL6eo,DEI UM IPAD DE PRESENTE PARA MINHA IRMAZINHA ELA SE EMOCIONOU! - ESPECIAL DIA DAS CRIANÇAS!,UC6paX0kLA8D81aYogceMufw,Rafa & Luiz,2020-10-12T15:00:15Z
VEWQxNWkgaM,"7 días SOLO con el iPad Pro, ¿sirve para trabajar?",UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2020-06-17T21:53:12Z
iNbTKOaOl4A,iPad tá mais barato que nunca!!  | Ipad 6 geração ( 2018 ) - Unboxing,UCDUdvPnNWjQCif_GnrhUE6Q,EscolhaSegura,2018-05-22T22:34:24Z
EMwrJjyKzR4,New iPad Air (2020) review,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-10-21T13:00:03Z
XThtCfgLb3Y,Nuevo iPad 2019 | Review en español,UCEgF6KhiOxSe-oRDUJba3Kg,Victor Abarca,2019-10-21T00:15:09Z
pOwoz2Z7Sq4,History of the iPad,UCfw2hvuj40AChU7n-N-PRHA,Apple Explained,2020-09-15T20:15:03Z
ZXZXF1eUE9M,MARCOS GANHOU UM TABLET NOVO iPAD APPLE - Família Brancoala,UC0otZdGYsA9KqVKAcn2peQA,Brancoala,2020-10-26T14:00:24Z
c4iE85aDlEA,รีวิว iPad Pro 2020 ตัวใหม่! ลองใช้แล้วกรี๊สหนักมากกก😱Peanut Butter,UC1A70xg7qyQycQs8-pz8A6Q,Peanut Butter,2020-05-30T03:00:07Z
S7wF50idKQA,iPad mini 5 效能提升價格不變！一週使用心得 ( iPad Air / iPad mini 5/ iPad 差在哪一起告訴你！,UCAr4MVsPBKjhg5eLDDpbDFg,電獺少女-女孩的科技日常,2019-05-29T13:41:12Z
G8sxhyvp2FY,จะซื้อ iPad เลือกรุ่นไหนดี!? | LDA เฟื่องลดา,UCsHwsZfCeCngX_EIE5Bioow,LDA World,2019-12-18T14:26:42Z
iuPmU3Q9slA,King Of Gun Game🔥| iPad Pro 2020 Pars |  4 Finger + Full Gyro | Pubg Mobile #9,UChiy6ot96sIB3RYiuXUCocg,PARS,2020-11-21T11:36:38Z
cvKQDyRvOZo,iPad 7th gen unboxing -29000 me best -apple ka bada ipad😎✌️,UCCkXU_pKTN98ktKl0TnHjBg,Ansh Nakwal,2019-12-23T12:39:25Z
vZtOl2f8SYc,"iPad 2020 review: here we go again, again",UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-09-23T17:00:04Z
T5BVyLTrt8U,PUBG MOBILE İÇİN EN İYİ CİHAZ HANGİSİ ? İPAD MİNİ 5 VS İPAD 7,UChhvGpaooo0ia0-xKkeKQQA,ZEWO,2020-06-07T10:42:45Z
ghNXAW-jCKk,ME COMPRO EL NUEVO IPAD AIR 2020 EDICIÓN ESPECIAL CON MI NOMBRE EN ELLA!! || MEJORARÁ MI NIVEL?,UCXFyx8rFQp6L2mua8Vi3CWA,A3 Sag,2020-11-15T01:21:33Z
qV2SQ2SXOHQ,2020 iPad Air 4 vs 2020 iPad Pro - Full Comparison!,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-10-24T19:10:50Z
4unTQDg_isw,Dolphin jumps out and STEALS ipad out of ladies hand &amp; splashes the crowd!,UCG-0Bmi7_RpH2nYCdaGt2XA,Deklyn Kai,2016-08-08T17:13:35Z
RGq7MqTl5sQ,2020 iPad Pro&#39;yu kutudan çıkarttık!,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2020-04-17T18:41:21Z
SMkeVHscSPM,Galaxy Tab S7+ -VS- iPad Pro - Smackdown,UClozNP-QPyVatzpGKC25s0A,Brad Cowboy,2020-09-11T14:00:09Z
HFTnFYlB-Nw,IL NUOVO IPAD A 389€ È UN AFFARE!,UCXDorkXBjDsh0wNethPe-zQ,Andrea Bentivegna - BlackGeek,2019-10-14T12:00:12Z
dZnNNQ1LkvM,Samsung Galaxy Tab S6 Lite vs Apple iPad 10.2 Full Comparison ⚡⚡⚡ And The Best Tablet Under 30K Is..,UCEPL07qzVsOcHd3sMUws65g,Trakin Tech,2020-07-25T07:05:45Z
yoERIuz1ssA,iPad vs Tablet Android เลือกอะไรดี ?,UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-06-23T13:15:54Z
L8QrW8aadI8,iPAD PRO 2020 UNBOXING: IT’S FINALLY WORTH IT!,UCst-F1upPxpie6i_jA6vpRw,Mary Bautista,2020-06-01T11:51:08Z
2hATewE4Q7Q,30 Trucos Para iPad Que No Sabias,UCQBiLYv2BjHwwG3gc-n7JVA,Tech Santos,2020-04-13T20:36:30Z
GeAqwQt9T_E,Apple iPad Air 4 (2020) Unboxing &amp; First Look - The Best Pro iPad🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-11-27T08:37:00Z
5aVotI7t4CI,КУПИЛ APPLE IPAD 2018 И РАЗОЧАРОВАЛСЯ...,UCs2DTZsK_6t6JD-m3yTapxg,DimaViper,2019-01-29T15:15:31Z
KYkr-wXnRQc,HO COMPRATO I DUE IPAD PRO 2020 - Unboxing &amp; Prime Impressioni!,UCXDorkXBjDsh0wNethPe-zQ,Andrea Bentivegna - BlackGeek,2020-04-04T12:31:25Z
f3EOUJ9AWnQ,"Hittar en iPad, funkar den? VLOGG",UC04lAYEYR4BiaJkbqArxmRA,THE SWEDISH FAMILY,2020-05-09T06:00:09Z
7tS9tft5AUY,GOODNOTES 5 TUTORIAL (für Einsteiger) - iPad für die Uni nutzen (Lernblätter) // JustSayEleanor,UCy6QO3m8cPRqHiK85KxVl9g,JustSayEleanor,2020-05-07T14:00:04Z
ud1V7-n-MVU,أقوى وارخص آيباد لسنة 2020 || iPad 8,UCK2dUwh9zCm6fwZhQoBDNfQ,iMAD Tech,2020-10-14T16:00:29Z
eVQ4aOHqdbk,HandCam Free Fire 💙🚨 | Show Thao Tác Tay Ipad Ngang Ngửa PC Của LBG | Garena Free Fire,UCF5TyXB7cVdVLv8lXr1T0vw,Lê Bình Gaming,2020-08-25T04:00:10Z
XV6cuBrCcvo,新型iPad Air 第4世代がやってきた！,UCVPz_nauEJpqPxxvYiOpCHQ,カズチャンネル/Kazu Channel,2020-10-24T03:00:08Z
5APPqVeZt-k,What iPad should you REALLY buy in 2020?,UC3fg6pL63upkXCc0T203wVg,Sara Dietschy,2020-09-26T00:15:08Z
32kGFH4Vvq0,لماذا الايباد هو أفضل جهاز للتعلم؟ | بعت اللابتوب و اشتريت ipad pro | أول مرة أجرب apple !,UCEHvaZ336u7TIsUQ2c6SAeQ,دروس أونلاين,2020-11-06T16:28:06Z
SBymZ7MYa5o,UNBOXING: iPad Pro 2020 11&quot; // accesorios + decorando 💖,UConHGDR8hPoPtLin6u9TqYQ,christina gaskarth,2020-09-02T21:45:24Z
V-mvS8P5uoA,2.499 TL fiyatı ile en yeni ve en uygun iPad kutusundan çıkıyor!,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2019-11-28T09:00:03Z
J5P1v-DG1nU,"พรีวิว iPad Air 4 จากคนใช้ Air 3 มาก่อน คุ้มไหมกับราคา 19,900 บาท ?",UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-10-26T12:20:01Z
Nd8IeiwHjo8,تجربتى مع أرخص iPad من أبل | iPad 7 | حلو ولا مقلب ؟,UC0-ube6oD81tPZL_Z_GFtCQ,Mohamed Samy - محمد سامى,2020-04-17T17:03:47Z
ILrdA8sRfOo,What&#39;s On My iPad Pro | Productivity Apps &amp; Accessories,UC3fg6pL63upkXCc0T203wVg,Sara Dietschy,2020-06-26T01:32:25Z
