videoId,videoViewCount,likeCount,dislikeCount,commentCount
-JfTcazzYkU,100959,5176,99,601
-NtcFlUrzGE,63660,955,43,106
-pE8QPpudVk,283386,8269,228,1
-qD9wmU1CAg,25357,1185,24,29
-y13oeq_bQA,200574,9190,271,475
0E3Umlf0EaU,16053,894,22,95
0FnX1ufiMzM,772574,30286,529,1902
0K-jHwDHC_s,359719,14075,614,711
0aEePtws0UA,349384,6840,189,549
0gnhQyNlC6s,44475,3667,32,268
0u_ExsUGVeg,10061,146,39,51
0wTgtWkoQr4,217363,4476,100,512
1-bjHWi7al0,18335,118,12,30
1898N85omYU,8276,40,8,7
1DbvCEPyf80,179470,6916,440,628
1Fu_ohDt2YU,212044,10203,151,605
1G5fF8ReqqY,201724,5626,99,730
1Gq2-TCOc-s,22020,2,16,3
1K0Qru_8mCk,171429,2399,313,391
1QInGsqh1RY,43937,1244,89,294
1Vc84T7BD-c,29234,1282,57,218
1e2-mWK2qLw,241186,4598,68,313
1gcYsnAM_j0,204694,2731,141,263
1mEn0u35hKM,19272,878,14,179
2GUvJ7zFHJM,32115,631,32,92
2IIKWHii0Uk,18412,196,38,37
2JfySjvotAw,99929,4335,116,532
2Ld0dYabEm8,83796,2026,56,431
2XqIpvdF15E,43048,2611,563,613
2hATewE4Q7Q,447732,18468,233,814
2yghiSE-FG0,880298,14995,278,897
2zdfLddfC6c,288469,4456,197,415
32kGFH4Vvq0,398166,32782,702,3262
3EbykmfluK0,247734,3933,47,378
3awg06m1kbU,100154,4608,112,605
3f4BNdAudgY,55664,2784,61,225
48oCYCJ607A,11287,372,24,93
4EC8GynSQfg,707072,12163,410,641
4GT-IciL6eo,605990,78405,1749,11095
4HjbaIMC6vU,22310,729,67,117
4I3eMoczsXU,12020,364,8,93
4e2cJnZnCBs,347912,7642,194,203
4t5I6mVDb4w,330144,16720,466,841
4unTQDg_isw,491900,542,77,225
58rojblYzqk,675429,13498,401,1413
5APPqVeZt-k,401774,10776,395,781
5Irt0081hXI,89164,2109,137,269
5KLt-Td4zw8,85324,1655,60,199
5YM5MYQThCU,175706,12599,220,588
5YlP6ot2cMw,106353,1154,188,191
5aVotI7t4CI,435345,13278,4028,3523
5d-Xz5c6h-g,224041,3480,234,395
60rElpzHe5E,70955,2323,280,279
65S73oR6WDg,171237,6673,168,592
6B6OtJdjMsc,5002,241,10,41
6D6lxJ13Uhc,17793,401,12,95
6DowCBt-Wmw,17182,4648,77,274
6UsSZAt0iSw,256241,7174,469,797
6Y8-9VMWysE,796903,20272,245,815
6wwj3CqGjnc,69223,1381,37,257
6yJfzwncJp8,5819,155,3,12
709f0CG_vJM,157123,4897,86,412
7QSM6vhXMiw,20922,611,19,267
7TqkBAbATHk,3170,376,8,41
7cm4ZIFhtA4,192377,7060,763,393
7eCjeNgI30w,49227,553,65,118
7n7orit9adM,68733,3004,152,450
7nRzRSXFbqg,27390,4236,66,569
7tS9tft5AUY,432509,12002,193,447
