channelId,channelViewCount,subscriberCount,videoCount
UC28FofIlS8vRpgZRC0PMA4A,1112051024,3140000,757
UC0QRG-gMqHhF5-BPdmJfs1w,44339237,417000,849
UC11U2x9ReFWxS0qPdjsv_3Q,65200165,811000,762
UC1SwOnoeb4TfGewM8BKBQZg,39991140,102000,878
UC-pdFydi9ooxEfATh3KoiIw,152046776,901000,1385
UC1dI4tO13ApuSX0QeX8pHng,1139344208,6410000,911
UC-6OW5aJYBFM33zXQlBKPNA,379631551,1170000,5292
UC--FL6OwLFWGIZfLfazY4yA,1131868919,8930000,503
UC28NhCvMistzR3YxZ9TqSEQ,615837548,7140000,1123
UC18WQbNSfrqxlIjKeIW3bGQ,79614517,731000,422
UC26buublzO30XpR-KP2TfAw,818583548,3110000,1250
UC0oosHZ4k1o-zNT21gg5O7A,41685972,300000,175
UC0g8MzyhS3VvD3wUwJiBj0w,517572,506,57
UC0zUezMTgb3yqxwFz2djmYw,598794790,1210000,813
UC04b7bVrFjmrKYHu3qbA9wQ,38250798,115000,1045
UC173FCaSv6VvqDxuoinDr3g,152781195,705000,778
UC4fLWR5uoe66S8spSO3V0gw,279987749,1350000,1046
UC56qFOPdsJLK0SdT_ZNZGEg,102618423,537000,881
UC5wKpLWxAZBZrunls3mzwEw,4566745479,6890000,86054
UC3w9eSRf6X3opt5j-MQn7QA,93674845,643000,1345
UC3T1mVM83MM8K-ht9XGs5lw,131006647,543000,454
UC6bTF68IAV1okfRfwXIP1Cg,600072115,2510000,319
UC35ySlBKZSlxzPkSvyLxgKQ,7035622,36000,49
UC45zwHCRNT5jA8sC5DUW7oQ,610952331,7110000,410
UC4Gumj80pOghE8G7xq4Yxjg,290684973,595000,271
UC4hQDT1yzyH0KeSKAPJqeMg,88379309,1000000,251
UC2gaZm-9szDJedaprSnXNZA,28723161,91600,2534
UC5s-WJPSdR2Z66-tRJUYqpg,818104,658,204
UC37Ij-kMrbM_83CJiMFGL7A,2342326,29100,116
UC6FLHdX8fsZJhGj7zxxdJ9Q,17695741,178000,204
UC2WGMZiYERMVnhAWQJSSOSQ,15405162,112000,226
UC5yXB_ThsufRJYMRlzIGoeQ,432030204,1080000,2461
UC8ZzDv6zN_GgZu8OLGhCtFw,430096262,937000,282
UC6zbJRxEXf8KZe1GsYWxqEQ,38019561,90600,1842
UC9faHFOrNIFxMXrpykPHOnA,6998815,32700,636
UCAA4EV4denSMDNMvUxDV82A,61173223,232000,1260
UC7MGCyKDw8iQX7Vs0-BH9uA,96409331,351000,2637
UC7ShkzYGbYiIBtanJ7YxDAA,24749210,89500,437
UC9pIBfN8yHbw6WRzvRlFLKA,32818107,320000,266
UC9v3JGut2Z1PxrXEpGzgEAA,90934588,387000,847
UC8jkbVLPvztz8TuE98OYo8Q,27684395,302000,359
UC8UXXTaoP6Xf-zGRLf0R46w,35915937,132000,914
UC8jSvIo27A8D2pJbosmR1TQ,3125734,37900,182
UC9NX-wOGNkn9B6lpE0BXnPw,664101,9740,52
UC7CplVVDYKBeraVcPuI3xUQ,150503451,445000,2560
UC8q-S0DQUh01Li7fOh5XKXA,12522270,158000,194
UC9TNc4cosMU5Y-ZUvYlmeSw,92002117,182000,1374
UC89U_bGnGWtUUCnx18bL4rA,16245182,96700,433
UCB1fvlA5xmLJ0tZblpoTuaQ,462261388,1180000,8373
UCAr4MVsPBKjhg5eLDDpbDFg,129586460,809000,1850
UCBiibN6h4QkW6hAYYloasSg,8904780,77800,109
UCCbD39MVnMsTLGxsHLnOKlg,153559698,979000,1450
UCAuZ_Ky4GMd9YIJqJHj-ntw,130564314,509000,592
UCCGiOPUPTlQupYmDMpUxB4A,476085005,2160000,3490
UCBYJq71FFRcwfdCFKYWs5eA,36420416,228000,721
UCBYvr4SqfGQd5fTmOXVQ4Zw,130981875,5600000,57
UCCJsWICyIzNLpwyjuMqSLTA,367617,790,16
UCBUCS2GsETGBpzmRwUwnLFA,6903747,123000,20
UCBnM_yO05aMld_1tzvrSAAQ,20539502,164000,465
UCBJycsmduvYEL83R_U4JriQ,2254982011,13000000,1300
