videoId,positive_comments,negative_comments,neutral_comments
FrGVTcppj40,35,9,1005
xXndis-y_Mg,409,103,588
Fm4gV3OgCAA,5,0,106
Yhze-aRR6o0,463,153,484
NNcf-RMeDsI,73,38,984
eeDIOHbOGMo,19,15,189
k1LVY4AfYlQ,92,35,544
vpw_z9vBPAE,424,166,504
1nUgZNDGuBQ,10,4,731
hGjKRKl05Bo,423,181,484
Y0gbKUu52cw,38,27,1017
a2ZCqooJNyc,150,11,664
clLM0GT31x0,42,8,815
5QY2_S9d4c4,28,2,1070
-Tdr33qY_C4,17,2,1081
fLIZjgiwVz0,238,119,569
IyWJ4zms-m0,105,45,929
slDvnFMaYPs,502,102,428
rtUAQvh3NbU,481,54,565
lWM5Ygz1Y1I,223,67,441
5zgi0e88Jhs,5,0,1081
KPk0oGpCVDg,219,23,593
ZZXEMrzzsTU,58,27,998
RuhvdaDabpU,283,93,406
cTs4T7HKzbU,31,8,526
LiJCdFsuBoA,105,23,252
sZair-jvvgY,423,143,534
j2ToG0VTSug,410,137,469
59o-h3xvva8,16,4,1078
mgmi9tLw6no,88,56,955
_C6mJNDZNPs,5,1,929
ehVLOtHQ-7A,4,3,955
9w0YS3yQp18,68,13,115
SFbxKvXKBlo,566,88,446
FQVdyBqv9gc,95,24,971
xfC7gsONmaE,3,0,1097
1BDJE52DrzI,77,40,983
mrepi7s66Jg,502,143,455
uL-rziLZHbM,38,11,813
2pv3Xpz7-Dk,77,15,988
4eKIRxWIT_A,22,4,650
SP3ipQgtsp8,36,7,648
EhrDBPL3f1I,14,3,1083
D7npeMi7aEA,143,17,940
3uK-27Dm0HM,437,138,521
b2mdzXj5ueI,102,29,969
E5fq6W3_KNs,26,7,1036
7d6HNQY8-Y4,14,0,1079
SWHQjBmi-lQ,48,13,1025
Lzffgt4p3iY,124,22,954
hGKeGTExoMc,6,0,1094
HrIiMZWlIjo,1,1,153
VhJoJCgT19Y,25,2,1073
5KL7udmKL50,37,4,99
80c0Rkae0NQ,84,18,213
wjCvpSwplpg,41,30,1029
ShgiYW_GKZc,45,13,638
UGgMyheufpo,6,2,1085
LcBEhhUMQAk,249,48,495
iwR81Y_oehA,46,39,996
8JjpmnO-NVU,12,3,1082
ljSMmiL4vxE,74,27,999
gGF0Kt5Z4HQ,4,0,1096
-Hh8rkYmNSQ,92,29,966
4ShJgYpdizo,14,3,135
ijXp_mMJink,278,30,792
RD8C2bgJX24,2,0,343
3LZTdvTyKDU,224,54,822
_MXD7verfgM,0,0,140
q0h8ynH-9FM,68,4,1012
UI-y2qNC1DI,36,3,1061
1HjZ70_iqU0,2,1,1095
nfbG-TcQC6Q,10,1,603
Rexg0scOLnU,48,12,214
e4MrEMYNgiw,78,12,1003
MEDd0n4biog,4,3,690
C2npVimv_7k,50,5,123
yFCZQe4coe0,78,23,997
IcCSa1P1srY,3,0,1097
CT9snaIDWvg,73,35,992
6JR1-xfNhck,200,34,854
dwfikpYT1jQ,419,161,520
nyNYUaI6A30,97,43,837
DVpyFPjIVTk,66,8,1026
riJv_V43IFo,47,31,668
FgINtyYR2e4,117,28,871
t4HczVTOVIU,369,105,400
VtGBNJ8w7O0,33,6,676
zWx9zid8uCo,50,9,1041
C_Qd4WY4mfw,213,37,849
1TnfUUmlPKM,5,0,224
5obaSJ8fOUI,64,12,677
8e48R5SptCs,5,1,568
Szw_1B-IBcs,8,2,711
4vs2kGcA8r4,12,2,716
-207HHGoG6o,25,5,1070
SlEOLvPC2tI,25,15,646
6ZHhfZUlI9o,5,1,569
7brFlB0rEdw,16,3,1081
2JUQ3E-HM3E,60,18,433
K3x2Mo4Mei8,47,11,904
qwsLJTLtR9Y,2,3,834
VZ7IqGhjB04,24,10,643
h-fB97Sz9Qw,7,4,452
_r1MXRWgM8U,209,40,850
ePKTBDhCiis,47,12,1018
8I6lDGIK_Lc,18,3,874
Fl6LV8fNU6I,8,1,409
EFH8QMojJUI,0,0,613
fZRMEEUNN70,404,48,648
FDTblqs8rtQ,3,0,256
IIRmTuwVweo,35,3,705
UCGIvN-Bdc4,1,2,390
GXBzfeG7jQI,23,8,454
f_y47kOuv6k,343,43,674
NSlskXruTug,595,164,341
XnKXQdbC5nU,168,16,657
s4H6IUAk64g,14,8,1078
nNlKNYofu3c,171,31,867
x7R8joj0PHE,150,16,508
Sc4Nbt4-qi8,27,69,649
B4Qw46caiXA,67,30,676
KigXNrB40Uo,1,0,366
Mjp6eTkpaJQ,2,0,543
YB_QLWq4eVk,6,0,368
_mUVoaiqJvg,99,17,461
uHSbD8GmdnY,43,6,717
az7Cn8FdHMU,41,8,577
pXijSv6GtIU,33,8,143
8F28JXWYbAQ,46,0,1054
GoKal8TZIoI,372,85,188
HlummnKFx58,7,1,781
AqRT7V93RbE,16,5,305
8utlyy1HZAs,69,16,571
M0-aju8Uhwc,0,0,244
Bt1YI4BN6aM,30,32,647
JWJS_9kbvWc,3,2,535
4io5PlM8cT8,57,8,826
rwWugzO_olQ,14,1,223
cfZ-8W8M4Zg,6,1,717
7whIDUEp8lI,99,13,385
E1DjivnkuE8,107,14,979
nMFahj5UpE8,27,0,1073
C3pqnkFgPhI,29,5,191
GoGoeYYzjmU,14,4,450
f3qW7iLgpCc,5,0,234
I9t-_YP9nwI,1,0,296
NnQ1u_X9ask,136,35,699
RSWrwoxRWyU,1,1,222
v_dPy8birCU,64,2,287
sM_ux1HS3tU,21,2,224
8m5_a8EHPQg,51,4,393
knQnwXwi2C4,70,11,1019
NhzipyoewOA,34,5,165
iJybJPxSQZs,43,5,806
HSoYjSBpxuM,50,22,1028
kXiWT65FGIU,77,25,517
N5TqSDH1s8Q,0,0,143
vzqnPVPn_c0,38,9,437
TDd88Kr5Jb8,1,0,225
RKft7u1vzxU,80,12,329
ivxcn0m7kT8,1,0,209
WJkIFjk9p9I,36,12,262
z_kyfCEn4ec,32,11,236
Xo9w-zfIpaA,37,51,1012
F6H_HR-sW7o,10,0,1090
zr0VaTJDB8c,33,13,797
x3oEvL89XZk,26,3,1071
JWrHB36lL94,27,9,777
DoWDrvQcajk,60,8,143
uIrPwE2FG1g,44,5,611
5WQONbuGWeo,26,17,141
kEEHy7MAznE,26,12,454
ElKaXc_Mgvc,406,91,268
8OCkFSgPczk,2,0,253
4zaOox509pQ,67,14,195
Gdk-19ijJrg,23,2,949
dEkbZCWTrZY,82,2,659
X6h4UyMzed4,46,12,182
rpq2mvBdv-I,14,11,269
ch_myQVbImY,0,0,117
NC2hHP2IlMY,16,3,119
NmNogc8-ZyY,33,10,386
KunvoP2C9cY,193,73,263
HeZq9oM93Yo,4,1,518
62wvqaj_ymg,6,0,222
bwd8vcU0YeY,31,14,997
eZWIAcq-6_0,1,0,173
cB40_Ocy_AM,20,6,120
Jjzh5j0Q8D0,1,0,177
in47thrQgBA,30,3,186
gE-tOhG-fNY,16,12,130
a_OGEcVpuXU,45,40,1015
vnOQpVFhY30,2,0,192
HPrkrS6XhuM,1,0,415
yiB86xMROV0,249,39,98
7_eJfG8MuB0,15,7,214
3W7y0xgxRRY,0,0,88
NekmSU1_C3k,27,7,134
0JHAbQbOXHw,21,1,358
50p5wCcP-Lc,61,7,203
Yzc6KgdKHJc,22,10,368
fqfNWIGcoOI,1,1,248
vYaNTmRZRwc,19,17,340
GoPYkGt3O-U,5,0,811
eoDqwAJ8ysI,1,0,107
oNFd-gNzUGc,43,16,489
AASxz1kx8rs,34,5,136
xaDCXn4UoVQ,3,1,245
ryUplITRL-4,119,13,360
cREMBIx5yPk,1,0,76
qp-lf4Pj8iE,224,50,480
XKF17qODlu4,0,0,127
uCbUqlm9XwI,36,19,383
pajc3bVI9t0,15,11,347
CQrhQb_9X1I,1,0,79
-IbrVk3skVY,24,1,116
H7iK5QY2vtc,102,23,51
RUfwG5KTFx4,111,5,312
SAU_py3PFqI,23,5,385
EmxDs_-iSQI,48,5,157
6M8iaYFkcWw,191,79,176
KlIlOUeQkt0,69,16,353
cN0ggIwgRRo,38,7,331
agFfVTWBVFg,10,1,344
scRfJyJTMF0,16,6,150
wsH-Lm0ddWk,72,4,683
GWpVjI7ibNk,13,1,251
pliv6RCQ9I4,7,0,133
FxSrmcwV-DE,29,7,291
Lwvwagrsqnw,68,18,270
-4WtbmJ5pvM,26,4,82
aUeytT79Hlg,26,7,119
9Wi-MzIUlbI,1,2,93
kutY56ty3jA,1,2,242
tqfeqgBCYkA,0,0,214
dVICdZv4Iw4,75,2,251
RwxsQTDZ-Ks,39,6,185
sQZlpxRJosU,39,0,122
Bdfzb0tTCek,0,0,78
gYMuzJgQY7I,8,12,173
pLe_pXT3vo8,28,3,336
TMrh2X6zdjg,7,1,78
G_PWqlfTobM,1,0,98
gNiR4trW_fc,16,5,165
ri-7j9eOyKQ,8,0,313
n5rOwCkHRMI,47,11,226
dEHXc-1gY60,153,22,281
crHbguGhPwk,58,10,299
7h8W2j7hT20,62,4,543
UMy-GosnHR8,5,2,415
NaJdylO5L7A,3,3,174
DO0eza3ouxc,0,0,82
phQnSuC8KaQ,10,1,327
C5UT6gwstww,7,8,151
flX5m0NuqbM,14,1,129
ApI7xdN9krc,27,2,117
12ie3ZoTb4s,1,0,60
blya6lDB5wo,18,4,167
hVJx-tlABZU,1,0,81
oVkyajHUF5Y,54,2,917
ncOtK1n7v7s,28,9,158
CJnQ-xak5JI,0,1,68
lYS0WqT5tIY,299,40,540
7xGW4D_tN6Y,1,1,84
_XlTbXGTdPI,0,0,78
121UXXw2mzE,11,6,107
TmRegONkzOY,15,3,161
tEo9cvss-vs,19,1,136
g4KITNM2HPs,86,10,251
JeXeFksrDac,139,86,99
KDcbxkjDw1Y,35,3,140
DLI7Pslp0IA,289,80,411
ZE3529_PFfs,30,5,194
WnbPtlFKgjY,1,0,76
xQjjlW7NRSE,0,0,65
Xsm9iSXsyxQ,188,24,242
cv_K1OvrEiQ,6,1,47
Lv1kofMtpFs,46,22,64
nuflbB53ohQ,10,13,77
DN2S4mxqbI0,12,13,120
DJqFfFUUdvI,0,0,89
kvyfjw0SPeI,1,0,164
WIpnqSSdM5Q,54,5,210
7p9iAO53Ra8,2,0,120
IkK_D0Ds9Rs,37,4,156
Ouurw1Rh1-U,20,6,178
Gdn_gmOsHyI,17,0,55
gmwW7sGYkwQ,1,0,62
hGsXQRDnxiU,11,4,168
jlQlq5Jna0A,3,4,238
oHp278yidPw,26,2,147
YzVj07rsPAs,23,4,340
m2vcHbQAKGY,137,10,295
xcl5Y-pxqo4,13,1,173
hYCf--ljEXI,58,15,166
aicvSroxYJ0,0,0,195
hpLZU5I22Nc,6,1,159
ndS-PN8Pcao,8,3,85
hzOGudUaw6g,11,3,88
rN-kFlVvS2A,30,5,121
xxJE2_ov4SQ,6,0,278
z0RY_0YnNmk,32,4,126
RU5IbFCMuYU,0,0,53
EK2c6hMsjsk,15,4,83
VAPWXn_qtDE,8,8,42
qvwcaE3_AIk,14,3,87
Okww-95Fbqo,4,1,49
9TfJoPpJn9w,18,21,177
5KA5BPyFjVI,25,5,90
5ZwlSiuZn8k,15,8,103
LSYdNGSw7H0,5,0,76
oHG2pi56jGo,2,1,89
MyZo9BPNzWI,7,13,40
Hq8yExzZWkk,13,11,436
B5aKYfoUqqY,25,11,98
Yh3s8oxvhOQ,8,3,87
Ip8J_hT-a6A,34,6,131
GMdtlliLBGk,60,42,256
RB7YIWaUwxM,18,7,105
abFMU122_oI,11,5,134
coAAW60Hd-c,7,1,46
dXg7ICwazcs,16,1,103
-bQtuOqdxYk,49,8,26
7vUiJroMmSw,23,10,118
m4u_sz0u964,6,4,50
tFx1DvVF-Pc,17,4,34
g18uCk0gwZk,2,0,163
cpr8eTGH7mQ,12,2,158
vLzDqgYwCb0,16,1,80
XHlPqA5WCuY,3,3,150
vkL2NNZlgoc,9,12,104
S-OlzdCjnwg,33,9,63
HhdaQx1952A,22,5,89
OZOmjS0hRLs,23,3,78
UufpE1w2Zuo,4,8,77
sJdADXEwivw,5,4,80
3kD1B-9bV3U,14,4,98
xNMUI79Xg80,32,4,144
kRt_C75IzTU,6,2,64
OsusjYZQ8yM,20,11,79
kHbAapBWLyY,9,2,46
Rm4XHt9M9g0,19,0,69
zspSoYXt4Go,6,3,48
UgQtsTXKCYs,14,2,46
2DCCylF0OxY,11,3,183
4E5BiVmK1_k,34,47,203
3MD8o46t5FQ,0,0,77
s_So1_uyCQw,10,6,66
6mBOLBedTP0,11,2,89
6ONNhxrIAts,8,0,63
wAhO6MmSSL4,39,13,27
OrAqDJTAAPY,26,11,142
IkJfpXZ7BrM,3,0,80
B7sUiLXsG0I,6,1,54
UBi541cXep8,4,2,54
O_qNS9RFQGY,3,0,53
