videoId,title,channelId,channelTitle,uploaded
FrGVTcppj40,iPhone 12 PRO ALDIM (25.000 TL) - Çekiliş Var!,UCG0HA4uyuuzPzeq_US_ywVg,Enes Batur,2020-10-28T16:00:03Z
xXndis-y_Mg,iPhone 12 Pro MAX Unboxing,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-11-09T16:31:48Z
Fm4gV3OgCAA,Best iPhone 2020 || ما هو أفضل ايفون تشترية ؟؟,UCVJMlu9ObMGjDBkpTZkwpRg,Yehia Radwan يحيى رضوان,2020-02-07T16:07:29Z
Yhze-aRR6o0,iPhone 12 Mini Review: Tiny Tradeoffs!,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,2020-11-09T14:00:46Z
NNcf-RMeDsI,MEWAH BANGET! Kesan pertama saya soal iPhone 12.,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-10-14T11:15:21Z
eeDIOHbOGMo,Beli iPhone 7 Plus di tahun 2020? Masih LAYAK banget!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-02-08T03:00:16Z
k1LVY4AfYlQ,"iPhone idaman, harga IMPIAN - Review iPhone SE 2020 Indonesia.",UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-05-19T07:47:13Z
vpw_z9vBPAE,Apple iPhone 12 event in under 12 minutes,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-10-13T18:49:15Z
1nUgZNDGuBQ,Fake iPhone 11 Pro Max за 5000 рублей,UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-09-11T15:26:55Z
hGjKRKl05Bo,Apple iPhone 12 Mini hands-on,UC-6OW5aJYBFM33zXQlBKPNA,Engadget,2020-11-05T23:00:06Z
Y0gbKUu52cw,iPHONE 12 ES UN BOCHORNO!!!!!!! Llegó la hora...,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2020-10-23T17:15:03Z
a2ZCqooJNyc,iPhone 13xS,UC8ZzDv6zN_GgZu8OLGhCtFw,IJustWantToBeCool,2018-08-18T09:00:00Z
clLM0GT31x0,FINGI ENCONTRAR IPHONE 11 PRA VER QUANTOS MENTIROSOS LIGAM!,UCxRql7KwEurNrmFCGaXX8RQ,Carol Bresolin,2020-09-27T15:11:06Z
5tcdAkyKls0,IPHONE 8 &amp; Plus Original Ringtone,UCPcWOexcLT_nN5vFHpfHX2w,Arslan Ali,2017-09-25T15:00:14Z
5QY2_S9d4c4,"Распаковал iPhone 12 Mini и сравнил с iPhone SE, iPhone 12 Pro, iPhone 12 Pro Max",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-11-11T17:15:18Z
-Tdr33qY_C4,"Распаковка iPhone 12 Pro Max в золоте. Самый большой, самый дорогой, самый золотой iPhone в истории",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-11-09T14:00:01Z
fLIZjgiwVz0,iPhone 12 Pro Hammer &amp; Knife Scratch Test!,UCmlsu3V3SzIm2Jmo0S0qiMg,TechRax,2020-10-23T17:42:06Z
IyWJ4zms-m0,¡ME COMPRO un iPhone 12 Pro SOLAMENTE PARA JUGAR FREE FIRE y LLEGAR A HEROICO! *sorprendido,UCXH1p4gixwXwrUGSx-WvLNQ,Yair17,2020-10-27T04:13:02Z
slDvnFMaYPs,iPhone 12 Buyer&#39;s Guide - DON&#39;T Make these 12 Mistakes!,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-10-15T21:53:21Z
rtUAQvh3NbU,iPhone 12 Pro Max Unboxing &amp; First Look - Max x100!!! 12x GIVEAWAY🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-11-10T07:59:00Z
D7AdQzKhM2I,Latest iPhone Ringtone - Despacito Marimba Ringtone - Luis Fonsi feat. Daddy Yankee,UC6zbJRxEXf8KZe1GsYWxqEQ,The Marimba Squad,2017-03-22T19:59:20Z
lWM5Ygz1Y1I,History of the iPhone,UCfw2hvuj40AChU7n-N-PRHA,Apple Explained,2020-10-13T22:13:20Z
5zgi0e88Jhs,충격고백..갤럭시에서 갈아탈까? 애플 iPhone 12 Pro 언빡싱 &amp; 11 Pro 와 달라진점 6가지 살펴보기,UCdUcjkyZtf-1WJyPPiETF1g,ITSub잇섭,2020-10-27T14:15:01Z
KPk0oGpCVDg,BINASAG NI TYRONIA ANG IPHONE 12 NI MOMMY ONI,UCFxmja7gSSq0fMmo4SoaCWw,MOMMY TONI FOWLER,2020-11-15T11:00:09Z
ZZXEMrzzsTU,Cadê o Carregador? - iPhone 12 Pro e Magsafe Unboxing,UCuxfOdbKQy0tgGXcm9sjHiw,Coisa de Nerd,2020-10-30T22:00:05Z
RuhvdaDabpU,Rico Nasty - IPHONE [Official Music Video],UCINBvWZluLuV4VxNH32OO_Q,Rico Nasty,2020-08-13T17:00:11Z
cTs4T7HKzbU,Dowba Montana - IPHONE 📱(Video Oficial),UCQJEbIWcr3hqnqXEf93-2NQ,Dowba Montana,2020-03-17T16:00:10Z
LiJCdFsuBoA,What is IPhone With Full Information? – [Hindi] –Quick Support,UCN3-BVMnr44LIUheSuppw1A,Quick Support,2019-09-30T12:03:44Z
sZair-jvvgY,Why do I like the iPhone 12 Mini?,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,2020-11-18T17:29:43Z
j2ToG0VTSug,iPhone 12 mini vs 12 vs 12 Pro Max size comparison,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-11-05T23:00:15Z
59o-h3xvva8,САМЫЙ СКУЧНЫЙ iPhone,UC6bTF68IAV1okfRfwXIP1Cg,itpedia,2020-11-01T13:30:01Z
rtm8FX8aXGE,"Alza.hu - Kiárusítás (Thompson, iPhone Xs)",UCmIZQEoBqAz2PGenEcF3ipw,Alza.hu,2019-12-31T13:54:42Z
mgmi9tLw6no,Mencari HP TERKENCANG! RoG Phone 3 vs iPhone 12 Pro Speed test!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-11-16T04:00:30Z
_C6mJNDZNPs,"พรีวิว iPhone SE (2020) คุ้มแค่ไหนกับเงิน 15,000 บาท (ซื้อใช้เอง)",UCQ-6HE34kpItHWDFFZT4kCA,GU ZAP,2020-05-30T08:00:06Z
ehVLOtHQ-7A,iPhone 最新 iOS 14 必知新功能展示！背面輕敲截圖、前鏡頭相片自動翻轉 多個隱藏功能一次帶你看,UCAr4MVsPBKjhg5eLDDpbDFg,電獺少女-女孩的科技日常,2020-09-07T09:30:01Z
9w0YS3yQp18,I BOUGHT AN IPHONE IN GREENHILLS!! SAFE BA AT WORTH THE RISK?!,UCst-F1upPxpie6i_jA6vpRw,Mary Bautista,2020-01-11T02:00:00Z
SFbxKvXKBlo,iPhone 12 Pro Max and Mini Unboxing,UCey_c7U86mJGz1VJWH5CYPA,iJustine,2020-11-09T14:00:02Z
FQVdyBqv9gc,J&#39;ai les iPhone 12 et 12 Pro en avant-première !,UCaybrunQi8xWgPMgv1AYBHw,TheiCollection,2020-10-20T13:00:01Z
xfC7gsONmaE,【感動】iPhone 12 miniが小さすぎて鳥肌止まんねぇ…,UCZf__ehlCEBPop-_sldpBUQ,HikakinTV,2020-11-22T03:00:09Z
1BDJE52DrzI,Review iPhone 12 Indonesia - Calon paling LARIS.,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-11-11T06:37:53Z
mrepi7s66Jg,iPhone 12 mini review: the favorite,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-11-09T14:00:09Z
uL-rziLZHbM,COMPREI UM IPHONE 11 NA WISH | FUNCIONA?,UCqLIHbcTtcXmht6xB6WNFcg,Camilla de Lucas,2020-09-29T00:30:02Z
2pv3Xpz7-Dk,iPhone 12 Pro kutu açılımı!  (Türk topraklarında ilk kez🇹🇷),UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2020-10-23T19:11:21Z
4eKIRxWIT_A,FINGI ENCONTRAR IPHONE 11 PRA VER QUANTOS MENTIROSOS LIGAM! *deu ruim*,UCequuo3xyOIIk1ZDaJ_kiAA,GLE MARQUEZ,2020-10-12T01:34:13Z
SP3ipQgtsp8,ZNIČIL JSEM KAMARÁDŮV iPHONE A KOUPIL MU iPHONE 11 PRO! 😱🤩,UC4Gumj80pOghE8G7xq4Yxjg,FIZIstyle,2020-02-28T17:19:21Z
EhrDBPL3f1I,Обзор на Iphone 12 Pro Max и Зарядку Magsafe,UCBYvr4SqfGQd5fTmOXVQ4Zw,ГЛЕНТ,2020-11-22T09:00:13Z
D7npeMi7aEA,Awalnya Bikin marah ATTA Kasih NUR Iphone 12! Kocak!,UCaKLg1ELiX0zTJ6Je3c5esA,Atta Halilintar,2020-11-29T06:15:13Z
3uK-27Dm0HM,Apple&#39;s entire iPhone 12 event in exactly 12 minutes (supercut),UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2020-10-13T18:29:22Z
b2mdzXj5ueI,CUTE BANGET! UNBOXING IPHONE 12 mini!,UC1dI4tO13ApuSX0QeX8pHng,GadgetIn,2020-11-26T04:00:04Z
