videoId,videoViewCount,likeCount,dislikeCount,commentCount
-207HHGoG6o,471703,65516,946,3222
-2kdmz31rUA,37942,636,24,36
-4WtbmJ5pvM,96002,2152,50,164
-Hh8rkYmNSQ,825260,32690,780,3177
-IbrVk3skVY,111597,2338,57,218
-Tdr33qY_C4,2087717,219501,5367,182680
-bQtuOqdxYk,23321,815,27,146
0JHAbQbOXHw,135496,5209,891,605
121UXXw2mzE,60570,3047,100,236
12ie3ZoTb4s,67326,783,37,115
1BDJE52DrzI,1269123,46884,899,6243
1BL6c7mztU4,34615,83,20,8
1HjZ70_iqU0,703274,10307,498,2448
1TnfUUmlPKM,514877,9013,179,514
1f6nd3O6F1Q,39181,827,18,68
1nUgZNDGuBQ,2520717,131917,7408,6059
1yYkE3dbLfU,10535,20,6,2
2DCCylF0OxY,19245,1076,62,360
2JUQ3E-HM3E,446875,19774,447,1855
2Q4skFloZ18,165863,280,12,14
2dnSScYsvJc,10860,817,28,97
2pv3Xpz7-Dk,1235289,78127,4837,5849
3LZTdvTyKDU,802409,44778,2403,3263
3MD8o46t5FQ,12896,350,21,106
3W7y0xgxRRY,142017,2918,58,168
3kD1B-9bV3U,17374,1525,99,222
3uK-27Dm0HM,1135376,14143,2135,4450
4E5BiVmK1_k,12808,1171,8,592
4ShJgYpdizo,809431,78793,4760,12391
4eKIRxWIT_A,1209328,146637,2883,5784
4io5PlM8cT8,295197,18790,1060,3240
4vs2kGcA8r4,494397,5945,256,949
4zaOox509pQ,169857,5686,101,899
50p5wCcP-Lc,132870,2883,149,622
59o-h3xvva8,1442441,125660,6376,7830
5GZnINELYBM,18556,459,10,27
5KA5BPyFjVI,28661,1026,162,346
5KL7udmKL50,943394,40921,5684,8332
5QY2_S9d4c4,2112170,268238,5269,282457
5WQONbuGWeo,175556,3035,80,260
5ZwlSiuZn8k,31742,2531,73,222
5kCu9v7_AGE,69190,251,8,0
5ni49uqPU3w,11461,37,4,2
5obaSJ8fOUI,685329,30246,635,837
5tcdAkyKls0,2107215,1897,278,0
5zgi0e88Jhs,1836663,18371,794,4400
62wvqaj_ymg,156039,3029,50,343
6JR1-xfNhck,572449,21597,504,2247
6M8iaYFkcWw,101516,7161,410,693
6ONNhxrIAts,14498,1594,14,124
6ZHhfZUlI9o,469387,5028,778,903
6h4fKUgHjjk,8254,22,2,0
6mBOLBedTP0,12914,1131,29,167
6vJuvh9z1uA,8483,23,6,1
791K2PWXKPc,8892,370,34,57
7Z3kkfuQAmw,13441,26,0,1
7_eJfG8MuB0,144544,2101,53,344
7brFlB0rEdw,486404,46950,1239,6117
7d6HNQY8-Y4,1047621,11935,714,2604
7h8W2j7hT20,74734,5872,190,743
7ngikA5mHoE,69268,1605,20,75
7p9iAO53Ra8,53095,1555,53,272
7vUiJroMmSw,31704,1666,156,170
7whIDUEp8lI,290948,12231,248,1105
7xGW4D_tN6Y,64107,1123,52,116
80c0Rkae0NQ,950757,17960,1516,959
8Bp1fimmTkA,18823,164,7,78
8F28JXWYbAQ,326074,61379,243,1670
8I6lDGIK_Lc,426264,24364,863,1135
8JjpmnO-NVU,886580,36405,1364,2152
8OCkFSgPczk,166797,3235,117,352
8e48R5SptCs,505940,10448,372,876
8m5_a8EHPQg,249067,9695,296,1665
8utlyy1HZAs,307515,9908,277,1726
9TfJoPpJn9w,29909,2622,27,710
9Wi-MzIUlbI,100567,1965,40,120
9w0YS3yQp18,1319031,26529,743,3252
AASxz1kx8rs,126463,3670,50,627
ApI7xdN9krc,69501,1635,46,312
AqRT7V93RbE,304116,5591,126,458
B4Qw46caiXA,345410,22016,566,1493
B5aKYfoUqqY,25858,2000,100,186
B7sUiLXsG0I,15746,223,67,164
Bdfzb0tTCek,81123,951,60,165
Bt1YI4BN6aM,301806,29110,779,861
C2npVimv_7k,623768,20074,478,765
C3pqnkFgPhI,274815,6253,185,763
C5UT6gwstww,71742,3140,85,410
C7F7lS4t3Gw,12911,634,37,92
CJnQ-xak5JI,63170,1070,18,119
CQrhQb_9X1I,115443,689,150,168
CT9snaIDWvg,577136,24863,654,3670
CVNWXVvvgrM,30967,361,14,86
CY-zl3SIUWs,16823,75,6,0
C_Qd4WY4mfw,509079,20435,774,2927
D7AdQzKhM2I,1930792,9375,372,85
D7npeMi7aEA,1194975,95274,1144,24520
DJqFfFUUdvI,48805,753,63,193
DLI7Pslp0IA,54297,3301,96,896
DN2S4mxqbI0,49221,1007,47,346
DO0eza3ouxc,72730,1373,63,112
DVpyFPjIVTk,549939,36470,626,2497
DoWDrvQcajk,177309,5207,232,337
E1DjivnkuE8,292035,14320,388,1330
E5fq6W3_KNs,1076642,40411,3388,5791
EFH8QMojJUI,413688,8622,143,779
EIkgbTEEL8c,27920,246,20,79
EK2c6hMsjsk,30795,1080,17,192
EhrDBPL3f1I,1186431,162742,3879,8356
EiipZMJXQlw,15704,634,18,93
ElKaXc_Mgvc,168303,5975,295,1531
EmxDs_-iSQI,103923,2188,61,331
F6H_HR-sW7o,194580,14293,194,12931
FDTblqs8rtQ,406499,4527,184,446
FQVdyBqv9gc,1271311,77874,1827,4009
FeyX_PCxqpY,8266,242,5,22
FgINtyYR2e4,535583,15182,758,2480
Fl6LV8fNU6I,412803,9302,185,647
Fm4gV3OgCAA,2893146,112457,3158,5869
FrGVTcppj40,3013594,190444,9203,26307
FxSrmcwV-DE,93808,3152,114,476
GId5DYni9iY,12072,285,12,48
GMdtlliLBGk,25082,977,22,748
GWpVjI7ibNk,95160,7560,94,617
GXBzfeG7jQI,387142,51368,358,740
G_PWqlfTobM,78990,1172,24,219
Gdk-19ijJrg,192632,9563,256,1210
Gdn_gmOsHyI,45176,1203,52,210
GoGoeYYzjmU,281812,29301,733,617
GoKal8TZIoI,320475,7126,531,1350
GoPYkGt3O-U,129763,7805,414,1583
Gw4G86Av_xM,1022157,246,51,6
H7iK5QY2vtc,110784,3678,72,367
HPrkrS6XhuM,148281,2180,105,638
HSoYjSBpxuM,261000,14615,4435,2049
HeZq9oM93Yo,157787,5003,386,1453
HhdaQx1952A,19056,542,10,181
HlummnKFx58,314176,30497,597,2206
Hq8yExzZWkk,27180,2656,147,531
HrIiMZWlIjo,970211,27610,1308,4037
I9t-_YP9nwI,264544,4238,78,447
IIRmTuwVweo,403565,18791,638,1129
IcCSa1P1srY,601302,10215,1309,1408
IkJfpXZ7BrM,25273,983,69,173
IkK_D0Ds9Rs,45620,1663,75,383
Ip8J_hT-a6A,34651,1415,65,323
Ix5zgISOYCU,5711,74,4,11
IyWJ4zms-m0,1974105,388874,11879,14236
JJHL8jNpRh8,37375,431,45,44
JWJS_9kbvWc,300542,6409,153,601
JWrHB36lL94,263099,33147,500,1494
JeXeFksrDac,55721,1919,85,437
Jjzh5j0Q8D0,165502,1000,578,337
K3x2Mo4Mei8,447036,14798,532,1487
KDcbxkjDw1Y,53575,3729,84,609
KPk0oGpCVDg,1772276,93308,3521,1177
KigXNrB40Uo,335420,2984,258,470
KlIlOUeQkt0,102110,6548,176,1104
KunvoP2C9cY,161115,10587,740,698
L7239A3yb7o,8897,148,8,62
LSYdNGSw7H0,26782,916,39,189
LcBEhhUMQAk,892676,22674,740,2963
LiJCdFsuBoA,1593873,49153,2139,1624
Lv1kofMtpFs,49932,1216,79,200
Lwvwagrsqnw,96033,4625,479,435
Lzffgt4p3iY,972480,75090,1935,2452
M0-aju8Uhwc,319468,6468,98,378
MEDd0n4biog,631031,6227,991,1321
MQsKZ6Fjj5E,27089,240,23,73
MY3eP50R5FA,47483,549,27,56
Mjp6eTkpaJQ,335734,8313,179,672
MyZo9BPNzWI,27911,397,17,128
N5TqSDH1s8Q,228842,2358,150,193
NC2hHP2IlMY,159777,2034,91,266
NNcf-RMeDsI,2822282,104860,3027,11438
NSlskXruTug,383912,8045,2275,2467
NVq6Fz_JPhk,15658,36,28,6
NaJdylO5L7A,78142,2930,157,406
NekmSU1_C3k,142144,2739,53,248
NhzipyoewOA,236780,6627,669,384
