channelId,channelViewCount,subscriberCount,videoCount
UC3c8H4Tlnm5M6pXsVMGnmNg,43762355,256000,393
UC-IdN5EFZvzzZGqgul8eXKQ,12785082,69700,495
UC-6OW5aJYBFM33zXQlBKPNA,379639013,1170000,5292
UC1SwOnoeb4TfGewM8BKBQZg,39992227,102000,878
UC1JMhM9TJT7yMLx8ZtbDO8g,5763190,69700,278
UC2WGMZiYERMVnhAWQJSSOSQ,15406269,112000,226
UC0howzVOgyM--V5tXW_3snA,3442706,16700,227
UC0WuM8a8tZd2LZwbxZ-UWxQ,6027203,122000,59
UC1IQIspOkCeV3WnYm32SBFQ,19518632,330000,135
UC2o0IQ82qB7vE526Jq_LsYg,3552862,30600,148
UC1A70xg7qyQycQs8-pz8A6Q,43311049,517000,139
UC3EqioDsSJ5hEMhiJSlQr9Q,13090717,160000,185
UC2YzkP3mTlfcQ-MNO5cVatA,41988907,188000,833
UC173FCaSv6VvqDxuoinDr3g,152785320,705000,778
UC5yXB_ThsufRJYMRlzIGoeQ,432057427,1080000,2461
UC6NpRkanSBgQVdPZs_y3aKg,22534010,145000,671
UC4JM37sJPGlkBWJ7e1l6GTg,349041,8690,33
UC5lDVbmgb-sAcx2fjwy3KQA,140315951,362000,5261
UC3fg6pL63upkXCc0T203wVg,74028959,728000,557
UC6FLHdX8fsZJhGj7zxxdJ9Q,17696938,178000,204
UC4FSUgUs1ehmGhTpy1DqAhQ,1327050,8320,94
UC3vxh3ndP2pprrHA5FwkLQw,2339853,677000,58
UC6OICk-ceplUJf4sCN3DMnQ,24280100,282000,130
UC6n4FXGXlVWJU9Rj0pWSzAQ,2789993,16500,92
UC7CwWhhUmy-8sDvyyA15weA,14509835,51300,317
UC7IkhOhsIqqQWvOuf_TF6_A,49072194,156000,743
UC4qTT4cK-lpmTZyQ_wR4aTA,51373,391,37
UC3w9eSRf6X3opt5j-MQn7QA,93682013,643000,1345
UC9fSZHEh6XsRpX-xJc6lT3A,401796481,3040000,899
UC8UXXTaoP6Xf-zGRLf0R46w,35919111,132000,914
UC7r1EcBC-zv-6apYGgVmFEw,7416267,40500,452
UC9stkB0Zg_ZA7zPDDuKFUgA,67930027,325000,644
UC9nEqaeu8ruF66UHtekFsew,179990949,1830000,498
UCA13Jn6ozikWGsel8B2VaQQ,1512362,17100,301
UCAA4EV4denSMDNMvUxDV82A,61177749,232000,1260
UC7IvriLALY3K22dwLDFyrZw,1470665,4990,334
UC93JcFmGKKl5otnsdWZ78qg,258123,1280,263
UCAuIrmC1cR4o4CbAJSHVuJw,7896355,19700,787
UCARa8ykgCdGsIUtB_JdbzGQ,1660089,8780,144
UCAr4MVsPBKjhg5eLDDpbDFg,129588119,809000,1850
UCAC204niCVvtDRDFYSiK7Cg,4824414,55200,603
UCDOZDfbVGOrywV4n0WeaRAA,68946553,585000,640
UCB96MmC7nKgxkCKdXmfhVRw,509038105,2850000,5363
UCCD76tKlE45u1YTX0cVh1OQ,92388722,223000,1522
UCAz-755tH3m8_BwaluzdJwQ,5998535,33200,473
UCCqepY-W86CAXNHbnUwR5ow,139348372,385000,1572
UCDhYrb0Ec4NQ_j3ZiAucE0Q,50340479,35300,15193
UCDF_NIAEkcAUvzxe1DUzaQA,286799398,1240000,904
UCBqQzBX5DBnl6tSBaHqfvwA,2874841,15200,319
UCBvm1cIxI2CRH0BsyfScR6g,19120393,160000,307
UCDUdvPnNWjQCif_GnrhUE6Q,229404306,1630000,1111
UCCzBBmV82Gcy6G0VnTBEHlA,28187820,144000,307
UCC1hWOd-EtRNuqVKkOyPLXQ,48179597,250000,955
UCDDvmdft9g81RNInHni599Q,12995399,93900,965
UCBqoA_hedJJaOBhsVLy1GAg,51207727,385000,669
UCF_n906__yoMtxZQtmqmZbA,100354147,392000,622
UCGMxP4yf3ixAAEKQc3d76gw,146151,676,22
UCEeXA5Tu7n9X5_zkOgGsyww,855100822,1990000,4679
UCFGud6qsbaAjuP6WaXAJj3Q,49597831,221000,521
UCHA-Jrd72-L3plh59UAhE7g,22245501,153000,401
UCEgF6KhiOxSe-oRDUJba3Kg,84221654,654000,436
UCDjemId3sKv5y7MuaClW_3Q,4392133,38900,117
UCDri2yZO_tqdD70bK-D7iQg,175743007,780000,1021
UCE2xAWyWyOpZz4CtRI7K8Bg,17620268,114000,425
UCHbx9IUW7eCeJsC4sBCTNBA,107399983,773000,655
UCGfDLBSzWw8e9hjQ5YjRghA,11742463,87000,109
UCDmYblK8ScOM4LEfXCQNzCw,61568251,222000,2079
UCE3MUYjVHag9cSrNX4i28ew,5255945,33300,378
UCE7rdO6f_n6u61BHl5gYByQ,9520875,109000,78
UCJHTQG_K8l2A2ZE4ohxcLyQ,99058294,447000,843
UCHnFHitawGGUK8lJ86lOuOw,11513812,54700,495
UCILrMD5KGkWYtNjT0_kaBAQ,2040056,42500,180
UCKUHwx9Nz4cK5APGl6g8JWQ,5930195,59300,522
UCIvr_e20K4XTdaIeEnI9DeQ,156390,3090,86
UCItMW5S7v7ROblqvw6xBB_Q,96160,2150,7
UCKUSu0zaUcTg0L6Bsxr51og,6423660,74800,406
UCKQ_lwJiewjitaaBDTfIWGg,15498719,179000,250
UCHdBFSMACRhyaorqk-OiwLw,557971,2320,60
UCJW9nc0RZ_YchP26rCju3gg,200075,1300,32
UCJ40ytnFrzko0B1Kqb5AvdQ,185870566,894000,725
UCJy0lX8ThZ7lCtst7JnegWQ,387843454,2110000,1432
UCK7HfpKpTTrYE5fCgTP2hWg,3479765,27700,180
UCK7tptUDHh-RYDsdxO1-5QQ,1032934001,2580000,26293
UCOKoyH_hrJen40sJfx8q1WQ,18804363,238000,68
UCKdTtLdUGXfeplj0XpP4h4Q,909938,55900,11
UCNz5n8PoSGYSwkOH_SMnl2A,222200162,1000000,2221
UCO14-KeqtjpE-1ncWX03H6g,801246,12100,31
UCO-jubXKB79_ANFTt1JSeKQ,6182493,37500,198
UCLbU7-YDTAeGTSO0azN2kxw,3875352,60300,447
UCLBHPoY3NugnZYURxln3fKQ,18418341,191000,159
UCM6SJb18voXy12YI0WWvcWQ,7353592,71100,157
UCLn_FTyCk-i54tjLTJklIhQ,9664517,116000,397
UCKW1UkS5szOItFnKKsWzVRQ,623773,3450,93
UCMK6UT4HQiOdtl-1SAxxO_w,31789859,202000,785
UCMRCjWYwR5p2Plp_0ehIG6g,61053704,244000,797
UCLr4hMhk_2KE0GUBSBrspGA,180938504,805000,453
UCMpr3kRfbDEGRAQfbdDGMAQ,104659,798,26
UCOygiQNXiiQ_rpRjHU5ri-A,100321662,470000,393
UCQWeDEwQruA_CcyR08bIE9g,206620829,811000,771
UCOxmlaJURX3nq8eLuJPbl3A,26591822,160000,327
UCQ18THOcZ8nIP-A3ZCqqZwA,51423105,992000,654
UCOmcA3f_RrH6b9NmcNa4tdg,1288417378,2890000,19961
UCOhHO2ICt0ti9KAh-QHvttQ,2372534674,20200000,3438
UCQ6fPy9wr7qnMxAbFOGBaLw,35646429,230000,443
UCOVFWEihi1DAX8j5iiJr_FA,18575654,152000,485
UCPI1x2iyASeNaeRYVSGXTqA,1291763,15900,317
UCQ5QNTODg0xfuM06QAoNHrA,17897291,198000,678
UCQmg6f48mtIOX4DoerGJYWw,119521954,1240000,1146
UCQskVJd_b-U2u1cRohOpoeg,95968565,349000,1135
UCQBiLYv2BjHwwG3gc-n7JVA,29627804,263000,338
UCQFHEbYXUiL_ZkVEp40BYZw,2960265,17100,85
UCTpP1crxvOEvT5NMA-K68ng,1399246,16100,138
UCSgFxc7dM_mjQIC0zxn1zqw,19482025,129000,300
UCTfta7Ult6yLu7ru-WInOGg,28921551,80200,1721
UCRJovKcgUL7QumDE1YsLqzg,95711109,337000,908
UCT1YrR_CLpwosODYagzhm7Q,50587344,230000,438
UCR02u09OvNltTTLF1YZDctg,167179,357,193
UCRFaDqnG9BDE4mpRlXt8pNg,600306609,4400000,1970
UCS5nkPfJ7a2U4CxtvZDZaww,1631161,25800,148
UCT3S62MxDgsHRZ1hqeLhEmA,2577113,10700,626
UCU0uwQq5EahvITay2vpxaHQ,35001650,110000,646
UCTOAKgwfqqCbOytF3RNGGVw,61369003,405000,972
UCTP1PGV-piW-tsUYXlHmvGw,12280280,173000,186
UCRjSO-juFtngAeJGJRMdIZw,15454892,189000,294
UCWjdMz0ciiTDZMOVGUWKPwA,78871,7690,35
UCW6J17hZ_Vgr6cQgd_kHt5A,267530603,830000,1667
UCXD_ZzazPrbsHFBDEtrKM2Q,42144657,242000,431
UCUrYBZGlEOSD1_ds_HcNd6A,217894504,763000,3041
UCUEJok-GiWaGlv5nIPwk-GQ,15097721,165000,195
UCUedA5v5KB8qtvONhmv9vpw,13759310,63100,486
UCUq3Rn72jfQ-86CaCxj7XzA,6360989,31300,75
UCW_VXFVSIIXUR8dopyH6Ebw,144876,620,34
UCVh09W0yeadZubifRZkYhCw,597917,5910,78
UCVlMUh4WsDQvOxCJJXmWwdw,118097707,531000,970
UCVqVBw5UbAHGKS9mQELOWFQ,3272910,26500,80
UCV5inp6x3_Xk57qyof4qOgQ,530944,9570,84
UCVChR9pqkB2Y6jpY8MlesoA,25938598,158000,403
UCXAztqZHf_Uz_YyWNL5SnSQ,39043,529,57
UC_0CVCfC_3iuHqmyClu59Uw,131374030,570000,1677
UCYq02d834D2FVQ0cWRkYGjg,18237518,40000,856
UCZuW4AUy-HuCUUMTLajX4Uw,83588622,531000,397
UCZQlwQQ9FA-npql7Y-djOGg,50941862,133000,1405
UCXDorkXBjDsh0wNethPe-zQ,149527069,637000,1281
