videoId,positive_comments,negative_comments,neutral_comments
CmMOJTs7Pu8,630,106,364
NWDYj_jwQDE,77,22,624
oUF6sYUJWK4,397,58,645
rGI-COM0Qyo,68,13,340
t9Y8xKKIKUc,36,4,71
Hw7iB-zkYrk,18,2,1080
QgFd_w2n1es,542,153,280
EqwOOUm8gKc,125,9,523
N3bd7Csaz-Y,46,6,221
x3EF4aO8DY0,313,80,159
mtbzALOrJhA,465,130,505
KJ8SR1PjTrQ,33,19,184
a-eO9y1vN2M,47,18,707
Bqx2zWc4xHs,431,162,507
0u9sCytOegA,38,4,1058
O2HDCerISTc,246,49,228
BweKixqFW_Y,56,11,532
muZ9EJqb-7w,11,0,1089
PP1_4wek4nI,650,104,346
wvyZNzKP3T8,34,5,1061
8V26jn0U-i4,118,18,521
kuaWMsSbnaI,33,41,452
Q21tYxUVH1U,38,22,299
TXSInNThqy8,3,0,298
4W-oGMTX7H8,19,11,440
YWrGZDG2l-I,183,21,535
KJ8bvYnF3xU,356,125,429
PG3ZfOw1-b4,374,90,500
S-dOB326mlY,542,140,418
jJeQYsYp4dk,20,5,644
hD2BYNIh3X4,262,59,154
WJvYP93pWiE,9,3,226
_MUTS7xvKhQ,486,153,359
x4wxvZ9Oa_c,31,8,131
h_ZbB_fbR7c,452,74,355
vmQOxs17Fn4,519,133,292
BUBYO591Fo8,328,107,242
_sbtLSKBf1c,26,6,438
-AYeMHVGpL4,1,0,208
ALqgW7Zam7g,491,155,252
lI2V_xu7xww,126,37,607
NosrYKTkEDg,15,3,88
WXdfpXbxotE,3,0,96
i9-V3Wi-4C4,23,9,304
NBLRFe2BnjE,57,21,408
aMrhEQMvr2Y,35,37,305
w_G3sFCfC7M,193,66,112
p8GdpjsGmfg,33,5,840
MVsS38cNdpY,11,3,372
fWftQFzThyM,3,1,699
aAFNfp7FTc8,3,0,315
zW__u6blbEQ,252,73,235
HswGVfq58xo,14,5,579
Um9zZWrKoAI,0,3,408
YqeRrUStXCg,50,10,228
017ABj3hYG4,439,102,232
1h2aBZQesSQ,315,74,185
LgBQus_k9go,36,9,96
wnU5FDeH0yw,259,73,165
Qy-A-CsTzbI,51,6,135
IBksWHm-Wfg,52,14,362
1FiUi3LcxZ4,418,117,262
rvrYVIQSsJs,602,153,345
1ndmrB5mpiU,332,80,201
odzgkybSw80,328,61,190
6i4fpqV03K0,77,20,259
MjVrI8jKKXA,12,9,159
Ep3H5MIVOtc,29,5,48
Dcs22Nn-Oxk,5,1,395
