videoId,title,channelId,channelTitle,uploaded
CmMOJTs7Pu8,M1 MacBook Air vs M1 MacBook Pro - Full Comparison!,UCptwuAv0XQHo1OQUSaO6NHw,Max Tech,2020-11-21T15:00:07Z
NWDYj_jwQDE,J&#39;ai acheté le MacBook Pro 16&quot; à 6148€ ! (le plus Gros),UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,2019-12-03T15:46:43Z
oUF6sYUJWK4,"Apple M1 Chip Macs Are Here!!! MacBook Air, MacBook Pro &amp; Mac Mini🔥🔥🔥",UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-11-11T06:05:25Z
rGI-COM0Qyo,Das neue 16&quot; MacBook Pro: Unboxing &amp; Performance-Vergleich! - felixba,UC173FCaSv6VvqDxuoinDr3g,Felixba,2019-11-28T17:51:37Z
t9Y8xKKIKUc,अगले 7 जन्मों तक मैं Apple का कुछ भी नहीं खरीदूंगा ! Macbook pro ने बर्बाद कर दिया,UCQmg6f48mtIOX4DoerGJYWw,My Smart Support,2020-02-03T10:34:33Z
Hw7iB-zkYrk,Обзор MacBook Air на M1 — БЕЗУМИЕ,UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,2020-11-23T04:00:02Z
QgFd_w2n1es,MacBook Pro 13 M1 vs Dell XPS 13 - What is Happening!? | The Tech Chap,UCzlXf-yUIaOpOjEjPrOO9TA,The Tech Chap,2020-11-23T21:40:36Z
EqwOOUm8gKc,"Tech Week: Xbox przeprasza, Elon ma Covid, mój MacBook to złom",UCLr4hMhk_2KE0GUBSBrspGA,Kuba Klawiter,2020-11-15T18:59:30Z
N3bd7Csaz-Y,MƯA GIÓ PHÓNG XE ĐI LẤY MACBOOK AIR 2020 FULLBOX... 30 CỦ VỀ ĐẬP HỘP:)),UCOygiQNXiiQ_rpRjHU5ri-A,Duy Thẩm,2020-04-03T09:39:47Z
x3EF4aO8DY0,WHY I REGRET BUYING THE 2020 MACBOOK AIR...,UCARa8ykgCdGsIUtB_JdbzGQ,by Brianna Nichole,2020-06-03T15:00:33Z
mtbzALOrJhA,Your PC is Trash - M1 MacBook Air 2020,UCXGgrKt94gR6lmN4aN3mYTg,Austin Evans,2020-11-25T19:14:13Z
KJ8SR1PjTrQ,5 Alasan Harga Apple MacBook Lebih Mahal Dibanding Laptop Lain,UCRFaDqnG9BDE4mpRlXt8pNg,JalanTikus,2017-05-08T12:30:01Z
