videoId,videoViewCount,likeCount,dislikeCount,commentCount
-9Kxi_FJ9GQ,21331,243,94,14
-AYeMHVGpL4,266199,3436,117,364
-GWlfw7omdo,30706,140,14,51
-Gkwfed8JV0,9386,260,7,53
-QiHOFZz_Uk,109291,3989,98,664
-WAZ_AX-AtU,129362,3385,111,151
-dqty85zK-s,16350,455,13,15
-pPCGx6wQww,26063,703,21,93
017ABj3hYG4,207490,7946,288,1329
08K5ztAmMq4,68913,804,244,60
0D2n73XP4Bw,29270,709,33,95
0KwQ_cd7RFQ,185990,7351,139,499
0RcjLaK9o_k,29870,247,227,209
0b4yboIGqYg,165067,3102,127,369
0u9sCytOegA,398862,22393,1669,5224
1FRaE4uAUV4,15548,226,23,26
1FiUi3LcxZ4,201670,8715,178,1308
1J3UA0_o68s,72160,1401,34,186
1cSwVcv9InA,60206,1655,66,167
1eGS2ynjdYA,57059,2493,99,257
1h2aBZQesSQ,209854,6136,234,920
1ndmrB5mpiU,202745,5415,354,1113
1vkcFsBxp1g,4173,254,12,60
25CUl1IL2Sc,9059,266,14,112
2CmLHQkppWc,117448,2361,47,259
2PrS1bgCq_A,52083,2391,106,295
2_ZYWJJntjU,40645,1413,64,162
2lIi4xL6NxY,53438,1881,180,158
2lear60rZRo,31012,1293,74,186
3g_DveYbxJE,180459,5217,102,368
3qxL4XA5WqM,42492,704,40,93
3vkGn0L8gEI,14263,2185,32,393
3xYcXiYyOgI,34334,921,28,377
48C9eAOCaYE,199018,54,7,29
4W-oGMTX7H8,331653,12029,836,918
4eECV1mOyKo,15223,213,14,26
4kiQhdlEAXE,15887,174,33,1
4qUBYoAMC68,27697,1087,57,168
4wW5sEA3M5Q,44409,4304,112,487
4zifHx5bNEU,26063,628,97,202
53xBuFfz6H8,126413,4326,83,802
5DzqVXOw914,282806,3051,480,346
5bHUsFvLls8,55730,2796,60,539
6cIP-iO8kNo,42352,1628,94,266
6i4fpqV03K0,196966,7897,161,480
780HBTxh2KM,151784,3363,101,577
7jYlNg049JI,33096,1346,34,192
7zJ4qiwR-3c,150418,6572,396,1226
816Kh1vBYZ4,154026,3674,160,645
8GQtJom_iDA,44273,1124,72,101
8I4urcjJTVw,35061,41,9,1
8JQm2cbQaj8,47852,654,81,265
8Joybtoqsyk,16040,332,22,96
8V26jn0U-i4,366963,14268,435,1506
8VCmScOyRVM,200769,2291,143,356
8XVqgobLIps,61135,2231,67,370
8dfl22rNxxM,42367,1010,66,204
8kjaCb6eZaw,24030,214,9,93
90U6nMm0m_I,46331,1500,48,237
96Ri6EjRALI,63344,846,76,296
9HLk38y7h0M,45365,1316,74,243
9Z1eKqg8F6I,5301,162,9,35
9yRtud3CUdU,208736,5287,345,501
9zViaGQcSM0,34912,802,18,168
9znxvyojSPQ,28604,769,26,129
ALqgW7Zam7g,270437,6978,573,2354
AlfwEmTnGMY,169493,4497,114,379
BUBYO591Fo8,276894,9998,248,1228
BmIb-h8VgQo,28801,1074,25,119
Bq2uWIX1ajE,38260,1916,42,148
Bqx2zWc4xHs,807832,25775,675,2140
Brjep0RFVH4,133226,1760,54,132
BvcovPltk1o,39746,732,334,226
BweKixqFW_Y,375831,15148,377,1215
CKeLB4CayWM,11259,925,9,136
CQkGR1kSwFE,34835,546,28,45
CkkAQ1WPepg,31637,1302,32,212
CmMOJTs7Pu8,535473,13748,351,1809
Dcs22Nn-Oxk,188804,2825,84,639
DkyAFpNx644,32043,1260,52,213
DmdumBWwgaM,133349,3138,112,410
DyBQPcglePo,19638,1324,17,277
DzqImJDntPU,19087,301,20,16
Ep3H5MIVOtc,188473,2982,66,259
EqwOOUm8gKc,437761,28122,290,846
FCUHSLUN7Cs,12215,297,13,138
FGZ_I0u2g68,36662,456,21,49
FVFznLzsBCE,13817,860,71,59
FVPILS11Imk,13478,1644,50,47
FYCdYVb8gBE,25427,944,34,136
Fbqm5qYOX8I,173075,3866,177,478
FlIRGcEzrvU,35357,723,30,71
GBGhylNL92E,21227,410,46,225
GHx3NJPE_RA,165317,5837,198,493
GU-vZc20fuU,69416,1759,57,461
GZyXtb_rtc4,68661,2488,79,346
HOFkdSHSnUc,17263,801,96,344
HYufbE_b6sQ,48795,902,36,158
HswGVfq58xo,214427,13419,540,1258
Hw7iB-zkYrk,480328,32709,1497,5957
HzNqaexeNis,42501,1355,68,426
I77YkKbLqMw,11330,510,66,137
I9Xii5HUQC4,39462,550,31,70
IBksWHm-Wfg,203012,12371,80,862
IFc6YrqGp54,50731,1123,45,376
IWK_ELYa5hA,68427,2423,164,344
IeXQjRIRhaE,32490,1648,33,536
J9rt7gR9btg,5574,515,1,348
JAlssw9epI0,27623,570,40,168
JC80ONSsadM,21405,269,20,83
JXryWofZL4I,47731,1378,53,219
JnW_aOB_3fs,10346,318,57,237
KC3GOHlPtjY,126622,3874,113,187
KFJHcy5RsbY,114397,2699,43,185
KH6_-GHDmqc,10822,892,21,257
KJ8SR1PjTrQ,412751,4003,250,1268
KJ8bvYnF3xU,330914,12026,328,1766
KaH9Ca3oL0s,27621,1309,42,153
KmE8i9YMU6U,37928,853,32,76
Kq_FyjcAULA,142578,2417,54,431
Kqp1AmqnBNU,15869,218,12,50
L2d938lHhyM,54477,1417,29,322
L7EU76WsaBQ,44759,1240,89,489
LRmGmrSvYJw,114285,5233,120,744
LVDZz36R_3g,147000,9017,322,686
LVa23uaeKQE,151977,3065,54,1718
L_S-E_g910w,55731,1357,51,101
LbXzSH7E0yA,27149,318,26,54
LgBQus_k9go,202637,3181,204,364
Lgkft-CcLC0,184621,8304,183,1530
LqKN6Jtn28s,20219,225,13,23
LwuNTwBeoD0,7830,110,14,32
MFfNG6ysyEw,24272,391,14,55
MTmM5lgqURk,6057,569,16,51
MVsS38cNdpY,228306,7428,327,1079
MZC00y2Rd3k,7113,155,7,28
MjVrI8jKKXA,196793,4096,213,502
MoGjfvQtOBs,136748,5828,522,891
MrQmKWirZg0,10573,320,13,135
Muju78lvNdc,71673,2338,54,216
