channelId,channelViewCount,subscriberCount,videoCount
UC-6OW5aJYBFM33zXQlBKPNA,380159541,1170000,5293
UC09N-xTBgL9AYiPR-acjFmQ,52510849,228000,794
UC-wmf-Avorzz9QPKzdYFgeg,3066585,14000,249
UC-NJEKvJqwJwUkAeHiLc_pg,2162424,13200,54
UC1IQIspOkCeV3WnYm32SBFQ,19589227,331000,135
UC1FYFqgdW_1LueJTmXn-8cg,236886009,2210000,789
UC09L_iJkMVxabXrPz4I0sSQ,44945470,120000,499
UC0wtqzWrBA5gL4Jr_QIQTgg,28530952,73100,1800
UC0vGXoQ5P-43CwCkRTWELEg,238,1,254
UC0MYNOsIrz6jmXfIMERyRHQ,119696325,653000,1021
UC134rgaltHWHrkYc-R8lkZg,18094251,58000,723
UC0EBzWEDwgRZB7pt14UpE0w,38352220,83800,1718
UC-K9C8sGXr5XDmPi9OG0Nwg,106,0,142
UC-dqsbQtlKyBpw33b-zVN-A,2644,27,26
UC2P57uYTye3uScIWKu7VfoA,7038654,10900,857
UC24n6DdP2hN1OcVKVVxy_sg,120344101,338000,1060
UC2Rzju32yQPkQ7oIhmeuLwg,74392592,269000,741
UC3c8H4Tlnm5M6pXsVMGnmNg,44025094,257000,394
UC54-Zt4_z6W81N5X3OnHCEw,48745186,271000,800
UC1qWaT8_iPHSBYgB4T2ltuA,117560359,1040000,319
UC1JxyINTIqxlWfsy4tHGXSQ,520334,544,726
UC3fg6pL63upkXCc0T203wVg,74247967,731000,557
UC4eWyQxZoDw53wZ_j36SCTw,1279876,9170,17
UC3dl4J7AdGqNxntRX2Mnosw,311986,5340,75
UC4yOLosLQAu5INkj2ejQKzQ,95046,4390,76
UC2LTBRZ44J2HDDD7Gfj8Plw,1347,10,29
UC3AzjGDUlJu_-tm_i7OzNcQ,33553435,93400,1330
UC5P5NlgQmjinm_M4OCzbOHA,134351140,742000,4025
UC90BoNcD4sBLNr6isweUExQ,22925390,74500,1445
UC8F_Ny3s7Ri6qsXBD53AeZg,2270238,25900,24
UC8q23MpiyWjv9vd4r85oj1A,6839003,70300,88
UC8WsVTGSkhJTcaQtmn7GlCw,31020213,258000,207
UC9fSZHEh6XsRpX-xJc6lT3A,402441988,3040000,900
UC6ObI5kAw5fULJ-h6MlzGwA,12,0,64
UC5yXB_ThsufRJYMRlzIGoeQ,433530466,1080000,2466
UC8wXC0ZCfGt3HaVLy_fdTQw,246166731,705000,6449
UC6NFFT5qOAvgO_NQomkRvSw,149446920,423000,710
UC6AEmTmPAbaU0Jes_Rz5KDA,1532,915,21
UC8PPmrWFyvta0KEPjTKK7gA,86498,214,63
UC6sRi0TuAnixUvUbhuj9YNg,1414378,53300,20
UC8Ud2cl5yWzVgqR1RSriu4A,85,0,64
UC5lDVbmgb-sAcx2fjwy3KQA,140450120,363000,5262
UC8S7TCENHwqnx00Z3jnkc8g,20908,1620,175
UCBoc5dePAjkGJMmqHJdp9_Q,2524366,24600,373
UCA0B1LUCgaAh4O0JormunfA,1031527,3370,251
UCC1OBBtayU21d4gfl_iFv7Q,10640736,23100,635
UCCZjukPCgCAtvIgrfJvt3NA,259005308,499000,1700
UC9zNP__-SbqJ00IC3DNDLEg,55,0,19
UCCKQStaJH5LuMGHHeM9Y-OA,1017329,3150,497
UC9gLNs09LkOZls7h6mJ9XLg,4058627,22000,149
UCBbWiJJU9vZYi7Dxqj3xAPw,83,1,170
UCBvj6F8py_1KLKPnIfKH0-Q,1238922,7020,213
UCBGpxJ84Sxnv_skCdLD6IiA,164,0,201
UCBPRoPdUwlrK48Fkrp5Y6fA,30826003,128000,422
UCC4-ZaL0W1R-8MQjKQOujhg,1628288,4180,185
UCAp_h9143vzAupKpTtlE9Aw,15,0,34
UCBviUkaeHb3SQPdtIRTNtJQ,141955096,345000,31026
UCCbD39MVnMsTLGxsHLnOKlg,153747133,980000,1450
UCEgF6KhiOxSe-oRDUJba3Kg,84484631,655000,436
UCEXWYtpwPTXYThCOKLNquWw,30212015,74000,482
UCDmYblK8ScOM4LEfXCQNzCw,61769681,223000,2082
UCFTzp8PnoSyo12IjJfB273g,14986,26,1050
UCDUdvPnNWjQCif_GnrhUE6Q,230227879,1640000,1115
UCDMnCGlkv4gyFGZo_ZT3atg,105023091,419000,3341
UCDOZDfbVGOrywV4n0WeaRAA,69112183,586000,640
UCCbYTTZykWDyLOfgGbhubiw,3322253,5170,527
UCDC1Pas1aocEA5HBl7jp0ew,56748941,241000,1906
UCCjyq_K1Xwfg8Lndy7lKMpA,142907802,486000,8713
UCE5N14UUM801uJpqCFx0bQw,1595381,10200,45
UCDF_NIAEkcAUvzxe1DUzaQA,287316616,1240000,905
UCEeXA5Tu7n9X5_zkOgGsyww,856565148,2000000,4685
UCFtEEv80fQVKkD4h1PF-Xqw,58397362,733000,831
UCFxNIRwbcW1CvkBjOya0Qqw,63100,1370,38
UCHOMwu9rsESLsDNSB8XgCUw,47190298,343000,87
UCHDNou1MvxvMKDpqgmgfzrw,73,0,237
UCGS474QoP8SCnSo6hOCaayA,58325326,473000,380
UCFfCqe7b9YiDk2ZiAG8UIGA,273751460,1610000,2139
UCGq7ov9-Xk9fkeQjeeXElkQ,113620619,510000,795
UCGdlvijxkue8x5AyBrBUljQ,51026348,479000,606
UCHbx9IUW7eCeJsC4sBCTNBA,107611875,774000,656
UCGfDLBSzWw8e9hjQ5YjRghA,11800779,88000,109
UCFe9Tt-W8Y0aN4fFhvVJWAg,169301,1040,67
UCGcBG9gd_RUhyT4ramtsQ6Q,14531299,99700,399
UCHhfu5p0zydyM-_nw3IJvig,142325003,1110000,1034
UCGFl3J8zVTgX_ueyAheiTTA,6877930,22400,116
UCJ3MIS-XxphBio1WRXMJulw,4585854,39000,714
UCHiH-SyY_Yy7CyHVNzHasHQ,8194963,34800,291
UCKr5BVoB_GeAuQVpvaleWSA,1628,168,7
UCHxEl1YkDIjbWmYuKEm6jow,285118908,1220000,3077
UCJ9905MRHxwLZ2jeNQGIWxA,23881071,201000,531
UCKJnJT_ERoRN0NC2oFknvYg,5542705,39300,102
UCKBPyMqUiNBGXS6pIWHoCAg,154,1,220
UCK7tptUDHh-RYDsdxO1-5QQ,1036421736,2590000,26296
UCJlOnX-HusdlrRB7YYjbd3w,23661648,221000,1208
UCJHTQG_K8l2A2ZE4ohxcLyQ,99376663,448000,844
UCJWNqvd0LjiEW6vxPaAp2JQ,3883883,4820,196
UCKXRQZ0wmvZlCYU-C-BgzJw,93,0,166
UCK498_9ZfvVI-AJKeWY2_Yg,9431034,25800,523
UCK5AffFJT6CVj4wOV4Z6zzg,800550,2800,276
UCMM1y0hm7qXW8yGJ6DeQeSQ,364484317,3090000,1516
UCN8OJCYqnWicwQyLwTAmgpw,96,0,280
UCO2WJZKQoDW4Te6NHx4KfTg,692069602,3130000,2912
UCNz5n8PoSGYSwkOH_SMnl2A,222720324,1010000,2226
UCMRCjWYwR5p2Plp_0ehIG6g,61364307,244000,802
UCLlRHNS3CvzQT17_l4FVJ6Q,83,0,11
UCMygq31CX1qroHR1LLmyypQ,4471,81,18
UCMgCvJ3_QahXgvwj6LjOd-w,209024798,802000,1641
UCO4ZTteyr13tn2rG5hLu8pg,41886236,127000,584
UCL0iAkpqV5YaIVG7xkDtS4Q,188417535,972000,7050
UCL77wBJaCEeEe2gdcEqY6nQ,187946769,922000,4073
UCMbj5wPCBvGALjVnsWKcrIA,55539280,428000,586
UCMeJHG-PVxM3n51wTF-xSsQ,2273,0,258
UCRJovKcgUL7QumDE1YsLqzg,96016158,337000,911
UCOVJp15W56Nz4usicq9sGvQ,192927,1650,53
UCOuU7aGMdtVXbFNGJSAq_Ng,78068,1280,106
UCOhHO2ICt0ti9KAh-QHvttQ,2381324396,20200000,3447
UCOrMIQ3PlIFdYZB71W0TbtQ,3988305,2990,319
UCPQsSFJurluaMOG1qL0Y7sA,28671379,270000,460
UCOmcA3f_RrH6b9NmcNa4tdg,1290185882,2890000,19962
UCOnA4oZccE0dxZjI733EjSw,14359348,38600,1061
UCQ18THOcZ8nIP-A3ZCqqZwA,51474572,1000000,653
UCOSRrDflbgXmLfaZgtF3b-g,715,1,396
UCPZ04-ByJI4KSZ9xvnWxEmQ,1810,112,21
UCQJl20QWTsyet_oqId0nDgg,157,1,222
UCQN7NhtBqADmNaRA3yc_mAQ,36438599,150000,1092
UCR0AnNR7sViH3TWMJl5jyxw,559006341,1580000,4506
UCRhADYLTpsb0JA-uaLWovGw,70889106,148000,3030
UCUrYBZGlEOSD1_ds_HcNd6A,218519660,765000,3046
UCS-ix9RRO7OJdspbgaGOFiA,81225449,137000,4612
UCSuXIEePGPMy89SDbpYOWvw,7011799,34400,594
UCShwQ0EPReJOOYkFaDG1ZSw,3783052,15600,272
UCTAVwqAgfdRh0-GybYpp1cA,10090688,21700,181
UCUcokjNJXd8LVpBkRN0eqHA,9069644,13800,1247
UCSeIxQ8oGVnaskXFATSsmUg,2623,2,754
UCUFVfuHlBbl6dEBMnvJCZ6A,90259,566,41
UCRZmP_yHVlKtdpB7lq_3SEw,2106905,9380,60
UCTOAKgwfqqCbOytF3RNGGVw,61761570,407000,977
UCRb3zBLHQv-LLNnLxwu9KoQ,29,0,25
UCRPOQKPR68zIuHBngiEv_HA,3543,59,22
UCSpU8Y1aoqBSAwh8DBpiM9A,183621955,650000,3406
UCVC3BKGAE9rYlKjUSoQCtqQ,82778,448,248
UCYHL5XtHnQ0su_CGpqjy1zQ,2284,4,164
UCVLN0tY51ewH44wUtx3YZTA,100768265,425000,834
UCVlMUh4WsDQvOxCJJXmWwdw,118397751,532000,973
UCXIEHct5_YWZhddzOLCDYhg,43030076,231000,1829
UCXpJGo5u2rQEVTb-mioq4Pg,4835151,26700,229
UCYBy_IZYaizfh5qrUmYRlyA,2344,34,20
UCXpIVRiyfsMB2aXXn2yq6LA,62079438,250000,3926
UCVYamHliCI9rw1tHR1xbkfw,555791467,3160000,553
UCY03gpyR__MuJtBpoSyIGnw,248543850,1110000,1889
UCVil198DqpIOYi3Vs5F3Yng,7277,22,18
UCXuqSBlHAE6Xw-yeJA0Tunw,4304375034,12500000,5193
UCVSK60QmbbVWtYqsXs3F17Q,39,0,132
UCW6J17hZ_Vgr6cQgd_kHt5A,267882395,832000,1668
UC_ooDreNYJ6da5yrm_p-wBg,57208,124,17
UC_o9J_Ru7Ag4F-29C20x7ew,112201999,1180000,1925
UC_nmYFgxDMtoL6RqKmff8MA,95591709,131000,3985
UCZZ4ivUawsXRktLKej8d6Xw,29690798,182000,159
UCZFMm1mMw0F81Z37aaEzTUA,3046433550,8980000,93804
UC_FfcaidNI1tDnWbWcXWWEQ,128,1,202
UCYUVKdRysarthCJZDsHVACA,2572216,4780,81
UCYkoAtIMi6oFG_8SO5YrauQ,403003627,2350000,1982
UC_XVDMJI1E8Wn-ob0cftBNA,38,0,1
UCaDBRJTQhIg_QhCkW7SxWGQ,137037683,647000,1249
UCaFGDBmGK_jw66u3av2Ysjw,103731343,374000,832
UCbCd58HRVidAIsY7NDkj6YQ,233,1,359
UCYWA3UqJrJvW6J4jjualOTw,62,17,1
UCYdcd5TvbKj1rXJ4ljZIl1A,347,0,722
UCddiUEpeqJcYeBxX1IVBKvQ,873231170,3070000,3948
UCcPDaxAx7FL22GYGxyoh8Ug,1366693,10200,80
UCdufkvMrmyR1TMhDG8PhsJw,259525963,484000,5550
UCbK5Us4E-HsXw6fQ1PYUuog,93250267,824000,819
UCbQa1Vmu1YtyOTpWYYXdNfQ,923884,3060,40
UCcak_xG5rt09b1CR4DUDvVA,61212540,263000,3015
UCd294ZJCNIthgHz9I2odC8A,12870628,71000,253
UCc0_vz-jYRh3x5lPHqsNA5w,24787561,182000,1046
UCdOUniKYcW3P7wi4d0ObmeA,12437741,35800,775
UCdFxvvL-xFbnB4HwgJmJ-Nw,594,1,1180
UCde172yfgTpOs9dLymS3ymA,782693,1740,137
UCbR6jJpva9VIIAHTse4C3hw,190749091,700000,1614
UCdeyDu9rQnXUh0GzvzGcbhA,379158,1060,43
UCdBK94H6oZT2Q7l0-b0xmMg,100360030,1230000,151
UCeAB8_SpJPf-xLP4VqHk6TQ,46644016,154000,530
UCgyfFvTsdQtTq8csN3N84Xw,453003,875,44
UChnHyDgcXn2svxoAMAzRwtQ,50554968,224000,1554
UCeGowiVaEeD1wHGwZR9zNdQ,15859322,61400,284
UCfbaMl4Z8ohofeZWHKXtAnw,10823988,96500,606
UCgOfiuubHnhVrc9IEcSk1Nw,347361057,871000,733
UCey_c7U86mJGz1VJWH5CYPA,1241232327,6800000,1982
UCglNUjam4U_NErjFaQ85a0g,173,0,200
UChnN9MPURwKV2PbEoT2vhTQ,336274753,1740000,983
UCiDJtJKMICpb9B1qf7qjEOA,1035069616,5300000,4494
UCe0-0OEDlO9XO-L7Zw10dJg,74,0,182
UCfXHC7mjfJiZEBiR_oMGk8g,15588,125,34
UCeRjEXK87ObxPKZqWmRS4qA,27378685,85900,693
UCgoxc-VKU0cw9BcM9z_qokg,61836897,278000,1373
UCiYYrqaZBdyiJVM-TrFmNKw,8534637,99000,183
UClFd1yMkjIzTT7U-s-fdhxA,8728199,21600,572
UCmPxUduEw4oLFvzidCaRuTg,85478300,469000,1075
UCm2TEW6GMo-uUEnAuk-kyCw,369470758,2030000,3246
UCn-b8vE_SmleAm7mOkywgOg,23102626,139000,319
UCmY3dSr-0TOkJqy0btd2AJg,405680135,1310000,752
UCiWe-JhZJL3cGpFsZNyU7uA,18243164,1020000,142
UClb9SM2mbCewoqJrOvE0Hog,27296236,596000,1363
UCkSqEoAsHyojDwgzhOfZYkw,26938252,370000,187
UClozNP-QPyVatzpGKC25s0A,51470316,439000,353
UCmLl9rJUk_lRj0j7qJeWGZA,15686229,19800,1253
UCmbzthMYaX8FAe_cZSrGMrA,191925774,380000,3776
UCiQMYozSSTkJ2twtZM1bG9w,293033478,838000,2629
UCoJ4gzwVvGNH5GNqiJoQAAA,12715658,87800,361
UCok_yhjwg4WSx3s_2Yh8ZjQ,696802046,3160000,3185
UCovADuA7KBuMFORurTzL86A,68701362,425000,447
UCnPbAzy4QYglfOvjfFYy8RA,97959,77,44
UCnaSaz8xpxceLOm9XQYyonQ,262,3,203
UCo6hpY_BpeDt72PEJicyVOQ,40173904,191000,147
UCp1eJEyaEQTKjfz0ZKPx3JQ,10254897,56700,776
