videoId,positive_comments,negative_comments,neutral_comments
ohYAYQA4ATM,346,95,391
mAsp7a5uUQI,170,47,131
WClTmPoU_d4,60,21,76
4LdIvyfzoGY,327,105,374
QpUztkV1jI0,137,48,119
emHyQNfQKaw,573,149,345
oip7pyKZOyE,33,3,1031
oBkY9eHCQLA,41,12,29
NUw8jZl1hX0,195,47,222
FQ1AWSu004U,43,11,21
s2Kmd8Uu-YQ,47,20,28
kSppBK98Ios,389,49,645
J1h-Fxv_fLg,270,71,172
kp4Acofumyg,359,88,365
FVZCeQlNCoU,378,150,296
cy0r-jAlr1w,223,57,267
GMvtzMjSPuw,17,2,1044
zHky9TCfT68,290,84,174
R1CNwBzYqRs,564,156,353
PSrKsUeWHo0,274,73,210
iWVwhC_8aLY,119,36,126
1O-FajwO1Ng,374,129,332
4kmT3TuUA5s,152,24,70
lDvHdA_oCVE,305,92,278
WrR5KApQnsg,168,47,137
u7jo91fzK1M,17,7,253
GSUHgrjwBb4,88,28,91
O5Z-l-nSlN0,166,38,92
xAI6yIZI3rg,97,67,70
N6x_9qtrmos,3,1,284
dmaioTs0NH8,275,56,225
uBi0G7gtzKQ,123,10,69
NcK4upEvqHg,68,20,58
sUdV3fB3L8k,179,99,233
NCJX5en6G7Q,155,40,107
YWJYkaCpfeg,43,13,27
Vydw445XA_E,388,147,360
BRcHD3TenxI,202,53,87
ujLX6qO1R90,74,21,46
Ojs5fWmfCGE,54,16,976
TxWuVazPK-Q,7,0,277
VKxY9uCO3fc,318,69,335
Hd-I9NswW0Y,310,67,314
qgm4RaVUMfE,55,11,28
J4chKRBSwvo,40,12,28
uAZZZ35vb2I,37,8,23
Jj3w1g3poQs,439,114,261
yhLcApSKcvY,2,3,277
n8n05oYQzUY,24,12,21
3LR5obYCSKg,26,11,372
gs3yYvFuJ2E,57,18,19
eC8DYRtLCW0,190,46,164
tSSnBlyhau4,81,15,35
-cuk8Jxx7iA,29,6,32
RMPTZRCyXU4,56,28,53
s2k8y6s-IfA,8,8,181
QNWUaAvOQzo,109,20,87
hMk7wnybXLM,134,68,239
NWG5E75b3cc,27,8,337
p09dcpmcMG8,14,2,359
7-P3sI0WK8k,53,14,22
IRH5K3HgAw4,18,2,686
IFN7HG6xh1M,150,41,72
4zSVk8ZrR0k,58,8,24
JSX4fYaAZ_Q,100,20,108
P1I1MYsp488,2,1,225
X5jwpDzbqdE,2,1,78
EN8ngXP3NMU,594,147,335
AHo9221oXX0,3,0,64
7559edlsUno,114,30,55
uI23RItDDDg,233,55,101
1mqgRk_UbKQ,75,17,46
bNAOabRe_gU,91,21,78
g7_GaVQb4S8,11,2,386
ZKGVmxXFKzU,72,4,15
W5iLj0mt1Ec,59,20,74
Wq5IdjUiCyg,36,12,19
I8omPRVFYeU,17,8,28
dAzaLv7h9Gw,14,1,544
o0KFz8dilGI,248,115,185
2iFHn1n_1xc,78,16,67
sziTDnTWWgk,190,55,103
rXyjAxMIulo,442,62,267
sjLVH3W4YzI,150,65,136
vD0LL9bYC18,82,32,45
5-vytWsyGkk,109,67,99
SS5d7v6GHro,255,93,278
eW_X-Mtidig,14,5,682
AlG4VBz_2hI,161,33,98
jZSicAMikks,43,6,321
uPAg5xcnaTg,18,6,274
wGeIh_BtBVY,14,13,131
MOipBARTRVU,76,6,48
nAowV64-Oro,77,16,33
kDczwlW7buk,385,70,130
o-y6n82MSMM,116,29,134
omu82EAGFe4,1,0,68
9Pybi_OZVBA,181,92,153
