videoId,title,channelId,channelTitle,uploaded
ohYAYQA4ATM,Surface Duo first look: Microsoft&#39;s foldable Android phone,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-10-03T12:00:08Z
mAsp7a5uUQI,Microsoft Surface Laptop: Unboxing &amp; Review,UCmY3dSr-0TOkJqy0btd2AJg,DetroitBORG,2017-06-21T02:46:06Z
WClTmPoU_d4,Microsoft Surface Laptop 3 Unboxing - ASMR,UCHOMwu9rsESLsDNSB8XgCUw,Dr Debox,2020-02-25T03:08:04Z
4LdIvyfzoGY,Microsoft Surface Go - Classic LIVE Unboxing,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,2018-08-03T20:41:00Z
QpUztkV1jI0,Microsoft Surface Dial: Unboxing &amp; Review,UCmY3dSr-0TOkJqy0btd2AJg,DetroitBORG,2016-12-01T03:35:26Z
emHyQNfQKaw,Microsoft Surface Go - $400?!,UCVYamHliCI9rw1tHR1xbkfw,Dave Lee,2018-07-10T19:56:46Z
oip7pyKZOyE,Эксперимент от Microsoft - революционный Surface PRO X на ARM,UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2019-11-29T17:12:56Z
GoYFZ_znyyA,Microsoft Surface: Create Change - Russell Wilson,UCGS474QoP8SCnSo6hOCaayA,Microsoft Surface,2017-12-05T14:00:08Z
oBkY9eHCQLA,Microsoft China Event: Introducing the new Surface Pro,UCFtEEv80fQVKkD4h1PF-Xqw,Microsoft,2017-05-24T18:59:15Z
NUw8jZl1hX0,Introducing Microsoft Surface Go 2,UCGS474QoP8SCnSo6hOCaayA,Microsoft Surface,2020-05-06T13:02:23Z
FQ1AWSu004U,Microsoft Surface Pro 2017 Review: Should You Buy this or the Surface Laptop?,UCVlMUh4WsDQvOxCJJXmWwdw,Matthew Moniz,2017-06-21T19:00:01Z
Y7SWYEW_K_I,Microsoft Surface: Create Change,UCGS474QoP8SCnSo6hOCaayA,Microsoft Surface,2017-10-24T13:00:04Z
