videoId,videoViewCount,likeCount,dislikeCount,commentCount
-XsNms2uaWs,95462,1062,34,95
-cuk8Jxx7iA,325304,3217,95,291
-jQ5MriZg3A,503322,8,1,1
-ozFvl4PZso,0,0,0,0
0-XTcvBTWrg,79919,1698,102,187
0GiUggEZedI,23,4,0,0
0JqKpzHkdhE,7,0,0,0
0RhMnMiYLcM,0,0,0,0
0mJeYlK_u6M,30635,445,30,71
0yXpwdJuxZA,24437,493,8,128
10_BlhN_afI,41,0,0,0
180EU52FLe0,153705,2022,76,158
1GPq8SsY1QE,1,0,0,0
1KWrucSmoxI,137132,497,26,73
1O-FajwO1Ng,548726,10795,293,1239
1S76oMI_b7I,115797,1895,182,371
1VVv1ZtD4nY,116273,1964,90,251
1YTQlbC5NlM,19940,202,15,75
1hU39FPGalQ,190959,1111,152,175
1mqgRk_UbKQ,250444,3213,211,755
1xi2tCIk8Zw,38642,1510,136,175
2-2CqMIsUWw,18519,518,35,102
20cimx1fbLM,22,2,1,0
27W-NisMJTE,33341,1701,75,57
2K71t5yGyjk,69398,608,24,145
2LfDMu79cTY,1,0,0,1
2S4WjON889E,2258,176,3,27
2cvgCVxX3Do,55620,735,22,60
2eernqPtyOg,12391,731,1,74
2iFHn1n_1xc,223609,5127,864,291
3-fxJy0xB9A,139215,1724,295,228
3EyRRz-ySYs,121883,7343,346,725
3FqFaiZUCRw,32332,1584,23,183
3HC-e2Nsp1Q,102740,1450,73,192
3KFaIBKN5Zw,8229,212,13,31
3LR5obYCSKg,334335,12806,414,697
3fRPJWf21os,78016,1945,56,134
3qzxoTjWYno,30120,327,32,54
3tyBIimLTx4,29804,1290,37,113
3v1W3FHYJVQ,35057,552,28,64
4B4AMbDgI0k,2342,181,9,22
4LdIvyfzoGY,833741,12683,802,1338
4LiVX9jq8_U,12477,110,6,15
4YhHzN7Jp5w,75653,1206,77,198
4d9_KEEzy44,2788,190,13,23
4ilXsYx3Rl0,26526,363,32,23
4kmT3TuUA5s,546919,6013,212,753
4lIH_xBUFCk,0,0,0,0
4zSVk8ZrR0k,266766,2698,128,238
5-vytWsyGkk,213551,2621,472,481
50Ew6cgpJpI,173626,3851,80,343
53KJerdHkdA,109962,841,16,37
5Bui_wQYScI,97590,1339,143,195
5Ljn-PQgIbQ,145630,3408,199,419
5RVpIqEysVc,12611,286,33,198
613G91tPi2o,105912,1590,32,277
6A_ZK4U-wzU,20920,369,30,141
6C8f0HsAdTY,27881,288,26,78
6dZvhOwo9Vk,178772,665,221,210
6mu4syLlSck,171827,10300,94,273
6qAbUf034dI,86458,1093,75,159
6xELC-zSEa0,11451,226,11,49
7-P3sI0WK8k,275823,2749,243,296
7-VvFlwsWic,105004,1159,11,59
70x_AUNihp8,9863,251,15,14
71KwTqgjGnw,45138,1613,64,239
7559edlsUno,251051,5661,133,419
7Jr3-lnUjj0,15998,765,19,51
7S6aukjIdM8,70578,1156,167,201
7VAqmQ7Xv3Q,10905,174,10,35
7aO6XdkBpAY,1082,39,0,40
7n_YP33tua0,43412,1026,18,111
80DbUN3Of3Y,86223,968,31,77
8VJibjmfya8,58482,1201,68,146
95R3GNLSClE,111255,1065,46,202
97iGu02Mx3w,113239,1985,34,208
9Pybi_OZVBA,190492,3394,167,654
9YaXdre3GoQ,134280,3653,88,459
9nQQvAYDPEo,8803,112,9,50
9xxmm6veIMo,105228,1436,212,156
A4cre5ghAIs,2,0,0,0
A87HE-BQPI8,16736,334,29,68
AHo9221oXX0,252291,1914,110,165
AKl744m5xok,61100,733,19,166
AY466sK5oZY,121472,827,159,62
Aex6p6IwrDA,40760,701,23,73
AlG4VBz_2hI,209466,4563,266,569
AnmUSnxsxH8,47773,151,58,41
BPbHrVVwTbA,83659,663,39,96
BRcHD3TenxI,433269,7254,215,694
BVUI5Yqq0AQ,61571,576,47,98
BXXI4VcWacM,31,0,0,0
BZx3MUGuyoA,75572,2214,82,464
BeJFs_tA2J8,24432,808,21,100
BzCFKIdIfMs,220875,1377,132,201
C57kb28dQYQ,195752,1746,57,140
C5nnBVh6csk,81368,1343,81,292
CLa3aLhPHkM,29123,434,48,163
CnEEmWXGdSQ,37761,375,57,63
Cxbufxy8nrs,0,0,0,0
D9876CnEH7M,86007,1511,69,96
DELQDIxaj98,20862,191,9,11
DHPhxdU0D_s,178748,5631,395,480
DOo5lyGSa2M,129318,9659,163,236
DRQaM45HmqA,37917,921,41,157
Dh-ID6Xnrok,47613,583,49,116
E-IxYH1P4fc,44510,884,46,106
E-jwrzcoWY0,15,2,0,3
E7gFqp5Ta98,42043,789,20,114
EEAWhx5OV00,136,13,1,2
EN8ngXP3NMU,252879,11224,360,3199
EaiBuCgGVIU,75197,1862,59,363
EyHrLSjaUGQ,11467,739,8,140
F6ZeGH4Fsjg,8163,101,12,12
F9w8fW2n5-k,0,0,0,0
FG02_0YDQf0,3,0,0,0
FQ1AWSu004U,692790,4761,273,417
FVZCeQlNCoU,604643,22199,1575,1352
FkeGEzHu9PI,10103,74,14,8
Fl9DIsY2aQM,1,0,0,0
G3WjJY3H7iE,56,5,0,0
G7q3cGYKDFw,67235,1355,58,282
GMvtzMjSPuw,604837,45848,1024,1740
GSUHgrjwBb4,512090,7388,313,402
GdW7D7QKzAQ,36803,234,21,45
GmvFzRsKlLg,97831,1771,158,178
GueuBXUn9P4,71601,1254,33,72
GyEvKCfWAaU,17589,295,7,22
HIxCj6lJBjs,58106,509,39,58
HWtQ5P_d0w4,13388,313,15,48
HbvOCjt4GHg,26938,1090,32,203
Hbxgwt-cTDc,154059,1411,60,142
Hd-I9NswW0Y,403133,12621,451,995
HeGhs94y69s,45937,789,44,131
HmzAUF-5FO4,37614,1444,27,179
HpQLqDPDTmA,35544,989,28,234
I8omPRVFYeU,232278,2542,125,171
IBuU2_qzYtM,65314,932,49,143
IFN7HG6xh1M,269421,4694,172,649
IRH5K3HgAw4,270594,14842,789,982
IdhnRJIK7ec,175753,3469,101,449
IgF1qx4WKdo,26702,373,17,84
InihYXHV6Go,1,0,0,0
IwC0WLH_NOQ,22942,310,56,48
IzmEwT3OSzg,81588,1184,182,300
J1h-Fxv_fLg,624142,10742,595,1069
J4chKRBSwvo,399237,3569,162,491
J8Gi5FIuXEg,27293,647,49,155
JSX4fYaAZ_Q,264718,5138,276,424
Jj3w1g3poQs,386032,10356,506,1015
JkWTs1LG3DM,85487,1207,120,70
JtdJrNVlgdA,65134,660,30,62
JznvSXItOAM,131191,2001,154,218
KEQAAedOuQw,147686,3491,91,410
KFyEGUFY3eg,93020,4053,151,244
KPPzMRZmj0g,26547,430,8,56
KX1S6jw80lk,2,0,0,0
KZgchtPt4P0,122159,1206,83,156
K_XnCiVss74,69723,786,63,47
L7pZ0duX6dE,78853,2283,336,362
LEOATpJ2OXA,11472,172,10,43
