channelId,channelViewCount,subscriberCount,videoCount
UC4BjPS6IU1KKnuK5p-1cc5A,7284,5,24
UC-perPenLfqpxwoUIlK-oVg,2791025,29100,670
UC1Q7JJyjGir7tkL4msXtYvA,323466,3400,123
UC-kFCSJLpxuJdgMnQz8Dvrg,134242351,476000,2929
UC-x6VSY4lsCZXmLzR1n6B6g,1553285,4900,502
UC3yj0LZxzJVwXOpP5ui8SIw,5466609,16600,502
UC1xRLdaC29Nj2KwDGZeCD2g,31521,336,22
UC0ahvsikUQZ_1fLsV4v5NSw,737355,1550,6348
UC-6OW5aJYBFM33zXQlBKPNA,379639013,1170000,5292
UC-pXSF6kp83ZzYJrKXUJWuQ,123588,184,7
UC0IqRM2Mwybj7XV9YPnJn1Q,4946325,50700,357
UC1xCju8o7T7MFCbHR9D6Jww,395449,4610,154
UC2Iw_vF_6j2KsIAz9KNXSXg,1456533,5800,768
UC3R7hOSH0zB4CrkZBY6ZA9A,9610,9,10
UC4aEEybtqcPTdPKS5vXtMMQ,2788587,7720,336
UC4xKdmAXFh4ACyhpiQ_3qBw,71072125,904000,226
UC60o55QG_Yabb1nelfSGO0w,52892672,137000,2371
UC7thxuLqRWDD7Rqn_F4JwvA,497656,693,21
UC7CVRfla-wJSGGBP8_d-_PQ,4534,120,8
UC5j8-2FT0ZMMBkmK72R4aeA,331646332,879000,23430
UC4GnGTbo4yod_nDDf_nol6g,555715,3410,71
UC5yXB_ThsufRJYMRlzIGoeQ,432057427,1080000,2461
UC4ObynqO_G9VBOW4WZ2zzyQ,4312171,11000,429
UC5i_-pE1CH9R9klmqTQxasw,807469,3300,20
UC6Bz4kEJkVoXeP4dc5t9Aeg,1521519,2340,572
UC4ldThZaEDRYYoZ4VCKMb-g,1528,3,2
UCBWlVdMjubd2k5NwS_F8TnQ,21723206,33300,1366
UC8TENxiHgZlGo6nqpfyYVgw,14009978,15100,2275
UCBqf3jpVtRDjctmsOLK1rIA,102564,640,419
UCA38IRxXNLfmtcNo3goPPag,3726182,10400,323
UCCATREutrh2mAR--ZiKT53A,61225076,49600,138
UC7unIoIzVRmd-Yxri2f5_3A,6890,54,10
UC9-EE_9NTDDW0lHad0YOlzQ,36427704,128000,891
UCAY_M9HyJb8oMKPV1utQQyA,139886865,387000,2222
UCBieDycFNxFmCGVWwwdCexw,1352090,11600,426
UC9FIdlcI8jJjOPFLHcWf6aQ,13710,106,33
UC8wXC0ZCfGt3HaVLy_fdTQw,245155628,703000,6446
UC8Su5vZCXWRag13H53zWVwA,417520604,947000,11693
UC9sw9ejqN7OfOOWaOAeSFkw,1245014,8860,60
UCAl07YZamCkD9BU4GXUMocQ,44035373,163000,535
UCDC1Pas1aocEA5HBl7jp0ew,56661740,241000,1903
UCD3c_vN5ArUOw86kNfuQaZw,168954,1060,141
UCDGqNf14HSF9v8e-Qmp7VXA,14750640,41600,475
UCCkfyV7kP1XvtWJqvIth4WA,676133,7740,175
UCDjmkaaB8oylLpjfrFa2MZQ,4386992,41600,55
UCCHGYoGcV0nApI4Pi4gGheQ,17253207,35800,861
UCCDU1fsmgvWljcW2aodfJsA,44966201,297000,769
UCDCtVLkmePMjNlE3mt0D8Fg,92613617,237000,1680
UCDMmGEHXshu53quc4doJy3g,14621341,27600,994
UCD5mNFNXXs6wsA6VOEKBr4g,2708135,42100,129
UCDxbskdGPBD_Joce3EfkOcw,217109,386,202
UCCwN4La-AS1v8TrnIMNTFZw,1452,5,1
UCCjyq_K1Xwfg8Lndy7lKMpA,142802082,486000,8712
UCEAMLkMKtq6YhmaZdUT1ywA,12461091,150000,124
UCHxEl1YkDIjbWmYuKEm6jow,285459809,1210000,3119
UCEkAFPjDXi-vQNl2phSOktA,283252,192,9
UCEXSlrrRZ9tQ-2NLVH-zJPg,195274,127,272
UCEAZeUIeJs0IjQiqTCdVSIg,133303432,462000,10409
UCGSg5IDHT6TF3VZft2Tm_ZA,2244560,3300,1834
UCFP9Euhwi3GqbQmWS-M-0hA,1726969,29800,197
UCEHbr1RtdveSNdZJh9Oi-VQ,7320967,72200,351
UCFAlrkqYDb18KwyjSB587ZQ,318908,352,88
UCFduc8vLZuz-6tkOm0LDVJw,5362754,24500,463
UCFw4yk9SU6ASEYOvWDuoG3g,103978,493,41
UCEOPITe6tJoUQRzFdcAm5EQ,6107784,11700,2409
UCG1sONygPz7wcjYj2QVX46Q,35037,36,13
UCEE0jezQmiio991UF8lXvQQ,500455,3710,202
UCKJek_bXtJfh72WyxWQ329g,100458,153,106
UCLBl8Uklg840lcSrk-l2Niw,1705149,3790,322
UCIdYIrInVnUwHVbogLj6bqA,2861474,50600,162
UCJsnFWs9VcKWTIi7WlptCGg,128839859,343000,4021
UCKoD43fGBjaenm8SJmd-M4Q,3769934,7850,865
UCJLm3QqBsdBpzDzzEy4a-Ww,2768,36,124
UCIG1k8umaCIIrujZPzZPIMA,231777098,1130000,352
UCK8sQmJBp8GCxrOtXWBpyEA,2523956523,9540000,2360
UCM960Boy8SsJwhApqOwV0Bg,5487425,18700,359
UCLn2cHAxOdQOBtdVsQe3BYQ,555022,3810,723
UCI9syw9doBbaQzZ3b4WT6rA,72946,314,862
UCImyteqPrMuNoAqaD8qX-cw,152907,2130,393
UCLAlC1bodxQ94uaiZSLWGGw,2,0,6
UCJotajYGoCKcnpOBmBKZxkg,2064515,7970,207
UCO5VaBg-ahdvx1MY6-9uHtw,63513,56,8
UCMzCkUN-w0nfDC8JlKaCEfQ,10731,63,21
UCO_vmeInQm5Z6dEZ6R5Kk0A,731555554,1790000,7329
UCOrMIQ3PlIFdYZB71W0TbtQ,3985782,2990,318
