videoId,positive_comments,negative_comments,neutral_comments
tK2xwdSsN_w,41,5,23
mj21jfvs1q8,95,19,35
IMONuB-Y-5I,32,18,19
Gl1hTaybzqA,257,151,155
3D48hpYX2iM,45,11,40
U1C1wyO-hLY,102,23,85
v8A9REps8Jc,39,8,26
SdEVRbiwjVA,53,14,34
_vrjGYtZIMw,72,42,50
id2vwFfNbMY,158,22,257
qtSYD8Ne3gE,41,13,24
iDV3bkWfxnU,71,14,28
hRuhi5_NBYE,37,17,32
IJZICFUQzCw,9,2,83
CYOqawQ3rWo,126,37,95
n8g8X_knZpE,2,1,64
Z8-dqvMC0n0,41,7,21
8C7W89vM2ic,79,39,44
YlPBrOI3-Qk,9,4,38
5hoaHbJBnQ0,21,11,24
53kIEaCD2T8,110,16,309
D6EpDyXE4M0,73,22,42
-iddsg3Wo44,53,6,48
uU_WuAgy5Mg,52,5,22
nmqReKelHkw,36,5,15
kgCU3ICA0YI,0,0,62
QOUKPUv8xe4,10,0,132
hNVhqWe9ofw,132,48,124
INSw-pBSCVo,38,10,21
lc_W0jHtaaY,0,0,94
WsG8Ww1cg-g,38,11,15
ky6fS9rY1CM,49,7,22
nXqUSpD-t3Q,12,1,52
JBq1f6DE96Y,56,17,31
YTRHJDdxRo8,57,13,46
ZMK5JDCUOsU,46,13,43
fp_3EjV7axw,41,7,21
rC2a5-30ro8,46,7,20
Y7Yr6koOIBE,32,8,13
_3hgnK3JYSU,11,0,40
h_VlGuRva8Y,44,10,26
psBoHWVSids,46,8,16
dfivsfMHwjU,39,3,16
SPStXH8m34M,68,18,52
