videoId,title,channelId,channelTitle,uploaded
tK2xwdSsN_w,"Pixelbook Go Setup &amp; Review, What a Chromebook Can Do For You",UCjMVmz06abZGVdWjd1mAMnQ,Tech With Brett,2019-10-26T16:45:51Z
mj21jfvs1q8,Google Pixelbook One Year Later: Still Worth It?,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2018-11-19T20:23:29Z
IMONuB-Y-5I,Google Pixelbook Go review: Function over form,UC-6OW5aJYBFM33zXQlBKPNA,Engadget,2019-10-25T07:43:06Z
fYS6nvSjA8Y,Introducing Google Pixelbook - Chromebook,UCp-kwKlknwsPu4diieeFz1A,Chromebook,2017-11-22T23:49:51Z
Gl1hTaybzqA,Google Pixel 2 rocks! The Pixelbook impresses &amp; more - Pocketnow Daily,UCO_vmeInQm5Z6dEZ6R5Kk0A,Pocketnow,2017-10-05T02:44:19Z
3D48hpYX2iM,Pixelbook Go Unboxing,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2019-10-19T00:53:33Z
U1C1wyO-hLY,PixelBook Go Unboxing // A More Affordable PixelBook!,UCVlMUh4WsDQvOxCJJXmWwdw,Matthew Moniz,2019-10-16T19:30:01Z
v8A9REps8Jc,Google Pixelbook review,UC-kFCSJLpxuJdgMnQz8Dvrg,Android Central,2017-10-26T13:00:09Z
SdEVRbiwjVA,Google Pixelbook Go Review,UCW6J17hZ_Vgr6cQgd_kHt5A,MobileTechReview,2019-10-28T22:49:44Z
_vrjGYtZIMw,"Google Pixel 2 leaks, Pixelbook, Home Mini, Galaxy S8+ deals &amp; more - Pocketnow Daily",UCO_vmeInQm5Z6dEZ6R5Kk0A,Pocketnow,2017-09-21T01:00:01Z
id2vwFfNbMY,PLAYING ROBLOX JAILBREAK ON GOOGLE PIXELBOOK! *RARE ITEM!*,UCxsk7hqE_CwZWGEJEkGanbA,KreekCraft,2018-05-27T18:04:42Z
qtSYD8Ne3gE,Pixelbook vs. Pixelbook Go: We Pick A Winner,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2020-02-06T17:01:37Z
iDV3bkWfxnU,The 4K Google Pixelbook Go: Is It Worth Buying?,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2020-05-04T20:16:15Z
FUg9nY-U7yI,HP Chromebook X2 Unboxing and Review: is it better than the Pixelbook?,UC_XCVMWveUn-ZDQJhNxSdMg,Dad.0,2018-06-06T20:04:11Z
6u2qjbdo_1s,Google Pixelbook Go Review!,UCbR6jJpva9VIIAHTse4C3hw,Tim Schofield,2020-01-23T23:31:52Z
hRuhi5_NBYE,Google Pixel 4 and Pixelbook Go event in 15 minutes,UC-6OW5aJYBFM33zXQlBKPNA,Engadget,2019-10-15T16:24:03Z
IJZICFUQzCw,"Con il PIXEL 2 vi porto al PARTY GOOGLE. A scoprire Pixelbook, home mini e pixel Buds.",UC5yXB_ThsufRJYMRlzIGoeQ,andreagaleazzi.com,2017-10-07T09:08:49Z
SB039KeeW8c,Google Pixelbook and Pixelbook Pen: Pros &amp; Cons | Ars Technica,UCCDU1fsmgvWljcW2aodfJsA,Ars Technica,2017-10-26T13:00:31Z
CYOqawQ3rWo,Why the Google Pixelbook is Trash,UCa962e5dqRMO1nUldwaaRMw,Tailosive Tech,2017-11-16T15:18:59Z
n8g8X_knZpE,Pixelbook – лучший ноутбук в мире за 300$,UCHxEl1YkDIjbWmYuKEm6jow,ROZETKA,2019-07-18T15:03:33Z
Z8-dqvMC0n0,Google Pixelbook Revisited: Still A Top Chromebook!,UCbR6jJpva9VIIAHTse4C3hw,Tim Schofield,2019-06-19T20:20:19Z
8C7W89vM2ic,Google Putting Windows 10 on the Pixelbook?,UCa962e5dqRMO1nUldwaaRMw,Tailosive Tech,2018-06-28T00:56:29Z
s9mrR2tqVbQ,Running Linux Apps on the Pixelbook In A Container Via Crostini,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2018-04-23T18:57:39Z
YlPBrOI3-Qk,Test exclusif du Pixelbook Go : le Chromebook Made By Google !,UCrs2S-Ilj6R6qhhXCiV5hsQ,Tech Live,2020-04-02T17:20:40Z
KaHeF72rdlc,Google Pixelbook vs Premium Windows Ultrabook Running Chrome OS (CloudReady) + Pixelbook Review,UCerWGX7_E2fR2spWSxAPwog,Alex Bass,2017-11-01T21:15:26Z
5hoaHbJBnQ0,Pixelbook first hands-on: Google’s ultrathin Chromebook has serious build quality,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,2017-10-04T18:43:49Z
Gz2L0YBV9z8,Google PixelBook Go Review | Best Chromebook for 2020?,UCVLN0tY51ewH44wUtx3YZTA,Tech Spurt,2020-02-06T13:15:00Z
53kIEaCD2T8,"technews # 83 Google Home Mini,Home Max,PixelBook,Pixelbuds,Googleclips,Honor 9i,Mediapad T3",UCb-xXZ7ltTvrh9C6DgB9H-Q,Prasadtechintelugu,2017-10-05T16:02:48Z
D6EpDyXE4M0,Pixelbook Go Hands-On and Initial Impressions,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2019-10-15T21:12:17Z
-iddsg3Wo44,"Chromebooks (Pixelbook):  What is it? A promising, critically flawed laptop/tablet.",UC4xKdmAXFh4ACyhpiQ_3qBw,TechLead,2018-08-30T23:44:39Z
uU_WuAgy5Mg,"Pixelbook Go - Unboxing, Setup and First Look",UCiQMYozSSTkJ2twtZM1bG9w,zollotech,2019-10-23T13:44:45Z
E38O9sEjixw,Google Pixelbook unboxing (live),UCZ1DBQVjGGDH_VmapCZ3b6g,Mobile Tech Podcast,2017-11-03T00:54:44Z
Ye5tkisOQrA,Google Pixelbook Review,UCzIO0iX4yKW2P4NkmmKq1PA,9to5Google,2017-10-26T21:13:24Z
e_jBSTaf4ZY,Что такое Chrome OS и кому может пригодиться Google Pixelbook?,UCxspNrAzV28nA0f76hbn5eA,Канобу,2017-10-12T15:15:00Z
P0x5rXLAWgg,Learning “what architecture really means” with some help from Pixelbook,UCK8sQmJBp8GCxrOtXWBpyEA,Google,2018-04-24T21:32:37Z
CAlyD5aVq-0,Google Pixelbook Review - Real Life Test And Comparison vs iPad Pro vs Macbook Pro,UCdX3TStoThwG3qQ1Ic31ANQ,Sander Saar,2017-11-10T07:11:26Z
nmqReKelHkw,Pixelbook VS Pixel Slate: The Best #madebyGoogle Chromebook,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2019-03-18T16:37:37Z
kgCU3ICA0YI,"ПРЕЗЕНТАЦИЯ GOOGLE PIXEL 3 / 3XL | Pixel Slate, Pixelbook и много других новинок от Google!",UCSpU8Y1aoqBSAwh8DBpiM9A,Keddr.com,2018-10-09T17:10:28Z
QOUKPUv8xe4,"GOOGLE Pixel 2, Pixel 2 XL, Pixelbook и много разной дичи!",UCSpU8Y1aoqBSAwh8DBpiM9A,Keddr.com,2017-10-05T08:28:16Z
hNVhqWe9ofw,Apple Sheep Unboxes the Google Pixelbook,UCa962e5dqRMO1nUldwaaRMw,Tailosive Tech,2018-08-07T02:07:44Z
L96UnetyDWA,Pixelbook Go: A Worthy MacBook Air Competitor?,UCaFGDBmGK_jw66u3av2Ysjw,MacRumors,2019-10-25T19:23:33Z
