videoId,videoViewCount,likeCount,dislikeCount,commentCount
-5xh0MvuJ8U,20788,624,20,85
-JEmCyPcU_A,11406,241,40,72
-LwbD8E2CQ0,2318,21,4,2
-iddsg3Wo44,46330,976,120,207
03kT0V78SnM,36275,370,39,80
06jiIi4-wmM,5805,50,27,13
0ZE6Q2LL86A,16031,193,9,48
0a4P0h79v0Y,469,8,0,0
0cKQyexdT_Y,2253,66,3,20
0jPBKgPVxfE,5548,82,8,5
0kUnDoNTcJ4,977,10,0,1
0mYfxgs5dB4,2656,31,4,7
0zYjXJA1DQk,10227,133,2,26
12wkZ0tXSNQ,1962,51,6,24
1WGFv3O665w,9126,120,14,41
1b_y8aejF44,837,6,1,9
1cicyXxDLr4,6741,86,8,33
1iNPAkDHOLU,2950,88,1,17
1ng0jzF350w,1319,3,2,8
2EACw663HWg,16082,91,16,35
2FTrCimCb4c,34143,253,25,84
2U3My8NSaS0,1022,56,0,36
2hHCJexJRw8,19584,82,7,20
2m4hoo8pVlc,167,3,0,2
3D48hpYX2iM,78315,2212,73,186
3EBKA8JP1Ec,1651,20,1,7
3EzylDKy_kc,22451,309,14,25
3JMZyvOpPnw,7006,327,21,67
3VkEITJMI18,6714,66,5,4
3h56lpvI7T0,727,7,5,2
3mHSnocvQ_g,6265,86,4,5
43P_IIx1X3Q,1109,1,0,0
48Eup9lSn1s,7875,168,4,27
48gLZ0tRpXA,15331,509,14,67
4C6IrzjP_u8,3455,130,11,19
4Nwt3TQxq00,1130,42,2,9
4SEt_EFGclU,5355,98,17,20
4fOXqPLVWG4,1243,41,5,16
53kIEaCD2T8,47659,2320,45,529
5881V4aExlA,10592,125,15,14
5H2OxdPESyY,458,2,1,0
5L_pa0ra62I,1201,18,3,10
5LtCBKFn5ps,4353,155,8,36
5Ny5y7qEofs,12873,466,18,64
5hoaHbJBnQ0,49962,428,26,115
5i_smhjiHFk,6952,102,7,8
5ke-s9gjHFQ,4773,232,13,44
62cA0GquXz0,7467,154,8,30
6u2qjbdo_1s,64385,1256,62,112
6x1OrA4IsIE,27616,362,63,50
75n11W5P_7w,22800,1138,19,61
7GUmmZED8dM,19637,81,1,16
7cnHBThApuU,3144,100,2,15
7j32EbubzV8,959,15,1,2
7sq3kZWpYDM,1233,21,0,9
8-jUIFwkDFk,5370,61,34,20
8C7W89vM2ic,54204,1156,285,356
8CqKZIW_LJM,942,4,20,1
8EOY_KTW6GI,7206,118,7,25
8NGYlDB8nlE,1074,60,4,38
8QRB9mdPasQ,1025,22,1,2
8Ui4uPFgoGE,14182,104,5,12
8dnKkU89Qts,3579,84,7,9
8lhrwjTfVLA,2675,36,8,5
96B1w_Y0WsI,2161,54,5,20
9NFjjo7JIlk,1307,20,0,6
9ZVXd_6nr3o,1630,31,2,4
9ff5scwZsi0,12455,142,11,41
9j7PkVQoVnM,4218,59,6,18
A1iinlnDs6g,12106,85,13,20
AOXR5KXpR9c,723,23,13,6
Ae_uZz93AFY,10011,135,3,13
Ajdjd4EqGng,20421,323,15,60
AxcE48xg5Mg,245,9,0,4
AyAqKResu14,4430,32,3,7
B9Hryvw5ULc,2713,20,6,2
B9Xwnbgcyz0,4780,46,5,1
BOAs7IblviE,2890,30,3,5
C8_vg4rvGbA,21031,321,34,70
CAZxzuElUSE,12058,217,13,14
CAlyD5aVq-0,42750,688,79,104
CRxNZKrIIk8,4642,131,6,10
CT1wupsmiGs,917,13,1,0
CYOqawQ3rWo,55063,2500,582,846
CaS2iJIEDsg,7321,57,7,12
CfMfulELCbU,2518,28,3,2
CljUedTB-aI,22207,721,49,93
CvW_8Xyooi8,1057,26,4,4
CwXe7-x9KsM,3813,148,21,18
D6EpDyXE4M0,46463,1471,30,197
D9c8k5ZEdd4,945,7,3,6
DRL1bWGtpYQ,502,21,1,4
DfgsvmTBvBQ,3218,97,16,46
DgxHV4vgHGI,4420,137,3,47
DpSP9egFLL8,2109,25,3,6
Dqauy9g8kZA,303,0,6,0
E-7VvmKEPDE,291,15,0,7
E38O9sEjixw,45686,530,130,26
E9ak76rb9eo,1198,8,1,2
ESwx15VrXGA,5374,47,5,21
EgqjJPpTrAA,1023,21,0,4
EoTZS33yrhA,9,0,0,1
EqNKboMw20g,1572,14,11,6
Eshl3HHUNTU,7492,44,7,11
EzEQAAJ7p9Q,555,10,1,1
FUg9nY-U7yI,65002,741,42,121
FYlViHopHCU,8003,57,5,2
F_mZAnOQ2lc,332,8,0,0
FfS6EUZ_B74,1273,11,0,0
G5EqNvMqzGo,5297,52,23,38
G5WNYJ_Dpyc,7116,93,47,12
GH2JxepQNlU,2749,36,2,6
GIuNjK6oI9c,13108,99,32,17
GJELrl71fgg,453,6,0,0
GSItNzbH8Iw,742,20,1,3
GULhZ1iUrNg,22479,135,14,28
GXjSgLG_Ny4,1199,63,4,15
Gl1hTaybzqA,78227,3168,229,971
