channelId,channelViewCount,subscriberCount,videoCount
UC0vpTuj9t2jfTBNlLLqKb3A,12843500,165000,333
UC-vmClM9Ss9qi66kf1DR8Aw,396719,1960,26
UC0ImVPcE_Lu-y58NeBMEOwg,2889112,26300,90
UC-pM5xlisInSjUsZC1iNDMg,1507803,10800,39
UC0Wy5tgAHG0qLb-IBkREpjg,1079265,5290,5
UC-Tk9BPw9R_YuFBzgfuhTcg,18544039,188000,232
UC-gs6ml23jQKvLC86LzpQ0g,170372315,581000,2951
UC-PNIxulvuf0nNyvXXOO0FA,34937898,87800,2504
UC1DggK5BjCUPWNgZRy0esRQ,146613778,670000,760
UC2VBosNuCGhFEPLIBPZTnPA,54284513,219000,3024
UC1lPNcSCNSbaHseQeskfH6A,11008329,21000,1702
UC1sELGmy5jp5fQUugmuYlXQ,1096669791,6340000,502
UC28NhCvMistzR3YxZ9TqSEQ,619144260,7150000,1128
UC1qWaT8_iPHSBYgB4T2ltuA,117573819,1040000,319
UC0sQEECROLZ_UtPTOI_Vpvw,5356736,24000,389
UC1Kb5RbyjHq2uBby7Iogjgg,486539,15000,35
UC-M7f-ORAoF57HvgAn_Pg7A,10904491,37600,919
UC29O5AGMEVZfvYSulmU8WdA,861962,2270,228
UC0eqHbWhjJf1hylBEwy4fwg,8168014,85700,136
UC3aPRnneybmQcbEK-X-Qptg,12782091,72200,1032
UC3yaWWA9FF9OBog5U9ml68A,1221358,7080,253
UC3vxBxz3JJWDHhRTXTi-XJw,74318651,385000,642
UC4wj8LCLrOfgKrOVDLW4yOA,6766630,86300,193
UC3KD-lDlWOQbguC1q0dZfBA,883455,6150,132
UC2bGF8V_Pn2GMpFp5TET90Q,586804,6490,33
UC3glNE7atmIgxLGmftrLbJw,382668,471,39
UC4PoK4veFMou5CvYwGpTjCg,107513,1250,17
UC4zakkpp9l1qSDwStMTZN3Q,861908,12800,76
UC2bxMTfn49Ko3lNpIYXItWg,4531810,17100,695
UC4WC-mBUE6Hv51uHPmIQ9yA,5245399,50400,234
UC4uvTsGyeRqKGzRIdbZdC1Q,1938629,4910,227
UC2sFoS2-t9PLJiXYc5r5cUA,3321112,10800,647
UC3mrDXuAi_04rcIa60bUjSQ,26325229,322000,263
UC3luJi1p6cj9_eA-xtkutBA,56655,25,1
UC4Gumj80pOghE8G7xq4Yxjg,291644023,595000,272
UC2juvXALxuiVx_2gkGBy1mA,785900,16400,118
UC36xmz34q02JYaZYKrMwXng,146073201,1470000,311
UC3u4lhkrk_u9FVnhb1Anmeg,21811037,139000,301
UC6Q1V56EAY81TP8L7FgKHYA,43248,52,5
UC5xDNr5BvJCkewD7bY4KdCQ,3736043,59200,81
UC6dKEqjTmfrWHX7ylHGW8oQ,3260026,28200,69
UC8W7GTSBv4zYQLiN26-EKJw,87631,34,3
UC7FRPWLwRlhORhFHHywfqAg,368925,3120,51
UC6NVrqrnd0YOUkZYAa3__Uw,91410638,962000,848
