videoId,positive_comments,negative_comments,neutral_comments
LT52umh68us,50,16,682
nVy4GAtkh7Q,100,25,66
lL2YcrcO7Rg,1,0,70
9zqN-f3wm-Y,33,8,37
ZZt0ijE8HdY,2,0,109
vZxiI7AUUwg,3,2,114
E1Z2ZLMpmfk,21,8,206
RX160bcMFuA,128,19,86
bSoOeMD7hwo,20,4,73
GaaAC8y7TzQ,8,2,105
arZHYTJfB0k,66,31,794
Gc2Vqe6G_AQ,361,71,281
WuFr-XRIDb4,5,5,107
SoI3jSR3_7g,1,0,67
KrerZQILqJs,50,6,1002
vHS_3qi0kXg,138,29,58
vGN4aXCuGuU,43,9,26
Dls_oaC2BlM,32,9,818
97YHvBUohhc,7,0,56
MBnSzhR_bGE,23,4,253
3lEjuU-XFHg,264,42,149
Zm3Cb9RYF9k,82,6,427
duYxNbt4LcE,66,20,960
ctdy8TUgfe0,18,1,71
hnsSuJa871g,23,3,867
x27ebzuQcHM,102,32,877
xdDNWxTppVk,158,14,574
wVRjy1ihscA,62,5,251
FHDQMCWDXfw,33,9,25
VPQmIceszjk,5,2,238
GZy0siazLzM,37,4,319
0DjT9HsavrQ,194,53,275
QpudaicfzzM,274,82,584
ax01e4djxHU,36,4,771
iHMOfaOMzBU,319,88,650
hd3SBO7nlbE,26,11,739
XI9cRbYvN5M,34,6,38
x5MhydijWmc,30,7,18
FqbzGW8o6Hw,11,4,309
aUniGISO_lo,188,54,224
vIE_nwpeYP4,177,81,135
do06MPWf9E4,402,20,103
IvrNnVFT694,82,8,376
0aVlqo0rUCg,51,3,754
k9oQCXF8JUw,62,18,322
O9ychHR-2DI,37,4,101
VkYLgEJ-x9Q,62,4,21
0wNlmqqpZBI,23,4,30
3Q92ukFFcks,24,8,938
WEK7ECJ0bUQ,2,1,225
bD0jywkYCOI,284,96,276
t6yQwLuoO3w,257,31,129
qaIljpJ7dZI,30,4,98
6cUTV-h39To,22,4,33
dO30OnTsJhk,444,124,357
-gGRiI0Bkk0,7,0,56
oKP6gA6u_H4,35,5,156
Ij_CZlKZz24,84,4,629
R2SfgtTA0hc,253,68,252
siHezfz4bmY,11,6,137
Ht-zQ-IYeoo,0,0,160
ABY7w3kJiJ4,54,15,215
CWy99VMFsMM,244,13,393
8mb4UpB6Tu8,17,7,776
pVx91NfvLto,209,54,339
_1T-MQyP__Q,54,22,381
jjt_nDIZI0Q,42,8,165
AQPRPEPqwZU,121,28,640
yO3meGBLlgc,23,11,225
c_n1RnodKjs,12,10,212
n1AXJjpM0L8,76,17,60
_SdSeJEcXm4,70,9,190
bm3mLBJWBhc,501,148,327
5mhqHNufFr0,51,12,283
FS6GRiIOoCk,47,14,23
dYVnBw2p8cE,33,20,1047
hwdzzPmVeE4,177,67,772
4JSo0dnXdrQ,62,13,180
EtlB4rWZh4Q,3,0,71
UkQPEw4DgcU,92,4,253
JiLAwFpBap8,64,8,214
DCxVYb6Cj0U,11,1,236
TMdC6fg5dDc,60,8,226
42desNbe_Qw,27,2,633
HSfK-Xz2x7Q,17,5,103
_oIlLkSi5ZQ,12,1,79
c9gGIku_i-w,144,55,94
rmzZcjZ7IN8,31,6,134
7S8t0XGkuhs,2,1,91
KpEb8M23LsU,300,152,184
sLvOTFIHCG4,27,4,199
FH1DcL1pqn4,11,6,162
nDvjNYPcOd0,37,4,329
JLI5rkTyJWI,32,4,210
R5cxwwHJx4s,4,2,142
B6i44l9jHNQ,10,1,105
MyqeF2vVGnY,2,1,208
O-TdQDPkxbo,41,7,208
zEZbfww129k,26,5,174
HIFOHMxq7mc,209,78,222
-wcsf4tdx80,18,6,72
H5YnJ3EEojo,54,9,17
uZC2gPefm8E,44,12,47
tzYUbaJ7gdA,132,42,114
kI1FeDvcSFU,149,46,109
ka5TD8WVKJU,4,4,58
AC6vxB0r8Ps,46,3,117
bDgUFNdfa-A,297,46,610
j5AmFYTPnQ8,13,3,817
kMG0TGy9x4Q,39,9,232
g7Ng6ymCvVc,12,1,250
rn6cyiHl43c,65,9,772
Tukgxs9xIpQ,8,1,162
MAPcsU1Klt8,106,19,166
nYTow1-qp-E,35,10,207
jHwcaKjiDts,16,4,129
eObdJKzhB0Q,9,1,110
zegVevzqlm8,53,9,79
tNg3oYUZYNk,266,9,79
lMFZ9N58kMk,120,13,160
ZeXnlzeIOhw,8,4,121
2NY0I7wmIM4,135,42,709
qElLHQd3MMY,12,4,109
jaEwp8peONM,8,3,53
aSUy3My8sAE,3,0,98
NNC-Xl844s8,33,13,295
OHCn7esHlQg,20,2,66
RFI9M-QaOaY,99,20,91
tasVFt9-JeA,62,81,923
Nk5q0oEpZVA,14,4,84
MhuaGc6MQ_k,62,11,56
XRNRBRyjECk,10,1,144
JM8N7fpQ9pM,16,5,106
2-Fht-iU2NQ,223,63,392
YTL0i5XzS7k,120,35,80
gmuVeh8zv7Y,41,22,24
1b7-XJnh-KE,46,15,543
4c_q9mtaw5Y,8,3,54
v1dBud5Fie4,28,7,130
J8Zthspdh3M,87,16,67
ZJIV35wu__4,115,53,316
HFDnP53mZU0,23,0,126
B5oDG7bdRaQ,18,1,167
EPb4NF_T80s,6,0,275
wPJfFANr2RI,16,2,130
DnMjbeOyXFQ,50,13,228
P-5FYwJz22g,37,4,124
_eVwrr_tK7Q,24,7,227
JHf82bSGr-I,4,0,76
lznxClBzyL8,27,2,61
pgt5UOX6p50,94,37,196
c2L5rE3YO7w,76,10,121
rn5iTBipODo,30,3,723
b0WmZXlLbUs,87,11,346
NbcO2suildI,57,25,36
