videoId,title,channelId,channelTitle,uploaded
LT52umh68us,SEU COMPUTADOR FAZ ISSO! E VOCÊ NÃO SABIA! (Parte 2) - Windows 10,UCuxfOdbKQy0tgGXcm9sjHiw,Coisa de Nerd,2020-05-17T23:11:12Z
Ogf0kOmfCUg,cara setting windows 10 biar  gak lemot,UCOVzlZ-BzsG_Wq8zcqXGrng,asepfahadsultana,2016-09-19T18:55:58Z
f7m1J_YswBA,パソコンが重い! ! 根こそぎゴミを削除して快適なPCへ！Windows10　効果のあるTOP5+1（2020年版）,UCxVZZfv0KLUoG35RF1jiMFA,パソコンのプロ G株式会社,2020-02-17T09:49:44Z
JXlEUGX2I_g,TUTORIAL: Veja como atualizar do Windows 7 para o Windows 10 gratuitamente!,UCb2vlvWWwJP9YquvIV3NhpQ,Mundo Conectado,2019-11-09T17:00:03Z
nVy4GAtkh7Q,"Setting up the perfect Windows 10 Installation | Faster, Lighter, and Functional",UCg6gPGh8HU2U01vaFCAsvmQ,Chris Titus Tech,2019-04-06T13:00:07Z
lL2YcrcO7Rg,НАСТРОЙКА ПК ПОСЛЕ СБОРКИ / ОПТИМИЗАЦИЯ WINDOWS 10,UC7P_QtQF464xU9iJRrh9ZpQ,Welson,2020-04-14T08:56:29Z
HFgNbJl7gSo,"How to Fix Laptop Keyboard Not Working | Windows 10, 8, 7",UCISLGIU-F-ipp_E1JfY_lOA,EasyTechs,2019-07-13T18:53:17Z
IAhe98vo5MI,Dicas para deixar o PC com Windows 10 muito mais rápido,UCzHVdOZqt5JfOAyP8v0yCXQ,PH Tutoriais,2018-07-28T17:56:39Z
9zqN-f3wm-Y,If Apple Created Windows 10 (Concept by Avdan),UCd3aWvyGFbNjsJV0S7G-tgw,Avdan,2019-12-28T18:30:57Z
ZSBG0yp4LTU,왕초보 윈도우10 설치 교과서/USB제작/설치방법/최적화/최신 드라이버/정품인증,UCpkuHhh_-c1uwtivwen400A,세다리TV,2019-12-01T04:00:52Z
YpW87I6XcSI,Скачать Windows 10 БЕСПЛАТНО с официального сайта на русском,UCCYEcYDdem4Xx5O0c0G3wgA,Компьютерные курсы Евгения Юртаева,2018-05-13T14:00:05Z
ZZt0ijE8HdY,شرح تحميل و تثبيت ويندوز 10 الأصلية (نسخة أصلية) بالتفصيل + عمل فورمات واعادة تقسيم الهارد,UC6NVrqrnd0YOUkZYAa3__Uw,احمد الجرنوسي Elgarnosy,2018-09-22T18:45:49Z
ViaMhbDAV80,HOW TO Connect Bluetooth earphones TO Windows 10 PC,UCmgWwuTTbTu0xu8N4E8yo3A,TechManZ,2018-02-08T20:14:52Z
vZxiI7AUUwg,"Установится ли Windows 10 на старый ПК 1998 года, спустя 20 лет? Часть 1",UCLf3xbgb3qAVExQqF6YpXOg,Ramtech,2020-07-24T18:12:57Z
tXLn9bugnGE,Personalizar Apariencia Escritorio Windows 10 (FRESCO y ELEGANTE) en 2020 *GRATIS*,UC5xDNr5BvJCkewD7bY4KdCQ,TheFlacee,2020-08-22T17:30:02Z
Yrc-kUdTnAE,How To Activate Windows 10 For Free | Activate Windows 10/8.1/8/7 for free 🔥🔥🔥 | Tutorials Buddy,UCiUVVsSerlm6YcPfjy5oUuQ,Tutorials Buddy,2020-01-21T08:42:17Z
l9GnWYKyyYo,How to Download and Install Windows 10 from USB Flash Drive Step-By-Step,UCk8WU5lvn-JNtGyUxhHm5dw,HelpCloud,2019-11-15T00:25:32Z
E1Z2ZLMpmfk,Personalizzare Windows 10 in modo PERFETTO! (Clean Setup) - Ecco come ho fatto! [ITA],UC9pIBfN8yHbw6WRzvRlFLKA,FeDeTutorial,2018-01-08T13:00:01Z
RX160bcMFuA,Windows 10 Tips &amp; Tricks You Should Be Using! 2020,UCaSM4GqhbaVmRT7fmmFmR1w,TechGumbo,2020-03-20T11:16:35Z
X-94wBoczlQ,How to format and install Windows 10 step by step || सीखे windows 10 कैसे डाले pc या laptop में |,UCZ0CFlWYZ-lG9lpXex2AnZg,Digital Bihar In Hindi,2017-12-15T14:46:28Z
hbgJ-Zkpwvw,Windows 10 De Graça! Como Baixar e Instalar!,UCQdVo2OZOxMLno5Qe59_c7g,Omnia Tech,2019-07-11T17:19:22Z
bSoOeMD7hwo,"11 versteckte Windows 10 Tricks, die ihr kennen MÜSST!",UCxzAgP3LiHKki4OAy0le9sw,WindowsArea.de,2019-07-03T14:31:51Z
