videoId,videoViewCount,likeCount,dislikeCount,commentCount
-Dw-yKO9qLE,31731,2829,51,130
-F32UTNBdtA,37281,791,16,357
-JFQ9GVOvNQ,38703,2652,33,207
-f8N4FEQWyY,243804,2738,179,56
-gGRiI0Bkk0,296908,7482,360,375
-ii3UmgmzKE,106414,2666,92,142
-mwkqcRTFrw,26141,172,9,50
-wcsf4tdx80,144789,4318,230,719
06_gk4AKvoA,747542,9687,437,2484
07VGUCIhAT8,4179,5,5,3
094JkIJuy2c,27033,611,18,94
0DjT9HsavrQ,519201,17966,627,2051
0JCWxPweU80,10112,982,13,99
0Vbn4GWXfag,865240,25759,715,3423
0_-WJDWNEGE,4650,353,21,39
0aVlqo0rUCg,411223,43853,2784,1481
0ozWqNLMgyk,4330,408,15,31
0wNlmqqpZBI,376234,7998,312,1539
0zx_eFyHRU0,256314,4113,153,367
1-oK2xit-sw,145,30,0,0
1LgG7eU5KYI,43427,891,58,19
1O5I5jM1h9M,68,8,0,1
1b7-XJnh-KE,59507,7569,93,804
1jCC2w3HYsA,7246,349,19,65
1jufEu2LJ7U,92,26,1,50
2-Fht-iU2NQ,83536,6759,200,980
20EwK-7UIUY,383,41,2,2
25B6NJTsLWI,841,89,1,41
2NY0I7wmIM4,86239,5458,92,1226
2R5QGPJ5HZg,16491,757,56,138
2k9LgkaGyFs,19999,1056,15,215
2vPcdCOVReQ,72000,1590,22,643
2xvaYaTGwHI,8914,534,9,50
3Q92ukFFcks,394966,25195,509,1479
3Uy0E3cW7LY,5943,19,1,2
3lEjuU-XFHg,699654,5606,370,795
3se1fGYOJk4,58666,1203,31,267
3xurm2qlgFQ,153,9,2,3
3ycQWUZVnEI,14398,15,6,1
42EEJh5YIk4,946155,6903,960,647
42desNbe_Qw,186303,16057,825,950
44-wZM3ZI78,57111,894,62,33
4JSo0dnXdrQ,208956,10640,150,699
4QkDy-zGvEI,78,14,1,2
4bz7vSVX2Nw,198196,1698,186,86
4c_q9mtaw5Y,59736,2069,66,135
4g9dyxFyZy0,8001,207,19,59
5mhqHNufFr0,210177,4157,136,992
5t4NIvrsxYA,1985,380,6,24
6HLpNBNF7vo,160633,2610,337,277
6_NcEhW51No,6924,1065,9,62
6bqEPSpGwos,498376,3237,209,86
6bybv5is7No,126,15,2,11
6cUTV-h39To,308806,6075,495,583
6i6-LfPBqls,63094,1347,45,67
6mzs90-KlMg,832,67,3,8
6rQ6ACzX5k8,857562,6178,707,630
6xuX_-f3SHM,2232,30,0,6
76SK9WVFfTI,13673,716,19,168
7D8KlDkOhVA,38498,1919,69,141
7RoFPWARD2A,6,2,0,1
7S8t0XGkuhs,174283,3705,56,874
7VUp6Q5OFE0,57513,756,111,95
