channelId,channelViewCount,subscriberCount,videoCount
UC0oI44ZUVCqq4meNOOaKPTQ,6568516,43300,59
UC-pdFydi9ooxEfATh3KoiIw,152196833,902000,1385
UC2eEGT06FrWFU6VBnPOR9lg,96126597,1130000,79
UC-867iftJqBGr0mQ83xqyKw,36783604,115000,758
UC1Ze81XDuhJOGbaNq-CZXUA,20196081,72000,1256
UC0thds55Zx_icfe2QyO5eIA,571145702,2140000,3938
UC-V5YJX0D6elwUrsxAoZkGw,99016251,420000,1489
UC-ThWdmPIlKQs-1zIRUiDwQ,21978770,101000,333
UC1ERi1EP-xyCB8pruCepYBQ,33779030,106000,5170
UC0SxtynV4Dc9uw2P05didBA,23657299,137000,440
UC2Pwzek4sJNntKkokSId3uw,3456889,15700,743
UC1DpUjuaRly6SWCcWaYd7eg,32735,163,209
UC0bC92gFO25qcJcECTQNN_A,1079355688,5860000,1211
UC0pJQS5Y6f0SJSv9djIp3-Q,506361,2630,85
UC1TATumw319yec1_yyTIaTg,15205291,67700,2313
UC2zlOSODukD_F5zvM4ZW5IA,414554,1080,64
UC4STOuaIY9iqh7Lzrq_EVYQ,14309458,94700,835
UC4JIoVmdrzonYMkl9o077nA,295370,2030,152
UC45NqhCJKpUzj6vkP6buBYQ,59212266,153000,6277
UC4Bf3WKRaNAu1U-KaEaIZeQ,68807687,611000,951
UC3q_KTjxJnbRUNMVTrvyGmQ,10482804,137000,155
UC4_bwov47DseacR1-ttTdOg,895028174,4280000,2327
UC5-lJbOj_q-sdF5-dvOccLg,15488125,131000,1292
UC56nLb00cLwLY6afw6JaLlQ,311062077,954000,156
UC4JbHDcSCpK3TTcdvQYa-OA,40651824,86000,9141
UC4c-wTOqEID-_vH4MhNs06w,259665388,499000,11962
UC3glNE7atmIgxLGmftrLbJw,382663,471,39
UC4BEiuqPdmsRHjS8LbhUmWg,84449614,539000,493
UC5GSO2hiHevgZUhSQIJNd2A,374940933,569000,4991
UC5dZAWKKI7k3zMYGAXMi48A,191885900,1140000,651
UC6haqlR_OBveu10B-7_AR2w,303682,795,136
UC6uFoHcr_EEK6DgCS-LeTNA,97558603,564000,858
UC6C1dyHHOMVIBAze8dWfqCw,1000591905,1280000,10627
UC6PuUXeLWjtXP6taLnRe6Tw,652681,4610,70
UC5sH13lexzcdeMI0TcC6s6A,84688,189,257
UC8vK6S6O8UpqUUcEitIFfHw,13293069,18300,78
UC76fP7T-H7owwaQq2EctlJQ,6450617,19800,951
UC8AIS0LqveN3AOtYzxD8Uxw,3474351,20300,1694
UC8hJHaPDL-6pKmVNbczjOnA,7887736,38300,227
UC7FFfS8Gaz0YSB8Gg0-VRew,77339918,613000,248
UC5yXB_ThsufRJYMRlzIGoeQ,433530466,1080000,2466
UC7WDD6yHgzdqijHluCi1z-Q,165954315,983000,195
UC6ZksIzSek1bWYHPoUvFWZA,44505330,464000,1318
UC6OvFA26wgPYJ-W6pylNB7A,33466104,269000,375
UC8GI5pTnHATgRK6vgWhu_-A,132236285,472000,1760
UC6NpRkanSBgQVdPZs_y3aKg,22735183,146000,673
UC9qRLbByoMzfM-MrKryYT6w,17885,43,11
UC9fSZHEh6XsRpX-xJc6lT3A,402441988,3040000,900
UC9WJo5ZJVXMZiA5XV2jLx5Q,238613331,708000,358
UC9eM3jqq5IfxbGHbuRR_jRw,127616506,985000,609
UCA8RylKj3lLOH7tTPkJg4OQ,17572186,132000,161
UC8yOoFdxxhUXmgYtyXpbr3Q,3061834,60600,65
UCA5RGaQc-a8tIX_AqTTmWdw,95798939,355000,1502
UC91UlBC3894upu3ZlzDxpWw,15452741,37100,2379
UC9WiXJEyHMGRqL-__3FIBEw,48785137,219000,887
UC90BoNcD4sBLNr6isweUExQ,22925390,74500,1445
UCB3Vqxt5hVRKKWivG_OI4DA,37083764,294000,156
UCBARNwDTugXF69KM1MX7Vjg,179868,1210,63
UC9PBzalIcEQCsiIkq36PyUA,433403704,1090000,3175
UC9sw9ejqN7OfOOWaOAeSFkw,1261079,8950,61
UCAQmUESq4GxO1b_iBCrYlTA,13839096,63500,426
UCA7bPwBQFCzVlTavNy5U3_g,2837922,37200,136
UCD9cMUkHNW380sh3_YedolA,506907749,2880000,2062
UCBebjCwRBWW15DogPrgXzig,23923091,81900,1758
UCC9ZIpLRneyc3gyoCrEj1uw,121441428,323000,1040
UCBERF7Bp43yKWe-9e3fqoqw,68757204,191000,964
UCCLrJDcdw2CeJVpTIOSudtg,31455638,218000,235
UCDF_NIAEkcAUvzxe1DUzaQA,287316616,1240000,905
UCB_N6QCmGHEnzabAGEO78iA,181273,421,65
UCCV8Mj59PZkf3ON_U8q4n7g,265037064,397000,4042
UCDmYblK8ScOM4LEfXCQNzCw,61769681,223000,2082
UCDTV8DckMvn7mlgtdxTyR-g,12759317,103000,163
UCD3rfp47a3xZuqHhllcIvIA,94358163,84400,2938
UCDeRsDqcB8zdkzErxrdHCOw,48183715,365000,311
UCDGmZYT5QfvfEXgzaEAYNpg,12408238,92600,700
UCCAVuOGROARCC8X-EAbwPrw,44707488,192000,156
UCCzKM7UMxGCPAgUDXmFw5Gg,471878151,595000,13840
UCBZHpoe1kzuE8VOnj2EECGA,918070,1680,15
UCGH4Wx-WL10iB4ZAdewkuDw,145085700,851000,3017
UCG25HCIwDM-E_uhbbx0YFNA,18371267,103000,2641
UCFOSg71CRAJ58IPuV_-jMbw,723138200,6250000,1218
UCIAbuzOWxEgpCjcwo1-E3HQ,1935417,8210,488
UCEFymXY4eFCo_AchSpxwyrg,186637519,804000,792
UCG5Bffm1Oa8mzUt7nM3hwCA,267791,590,731
UCHXx0Huxc1jMZL9y5IvCP8A,11046182,64200,194
UCHIm4Bk83-0f9pXLK-zfwMA,39085341,216000,1104
UCF3Ez6QwZwwr_E7RZGJMW0A,213236862,357000,3374
UCH7vazfQkjRfpCa7ShQH7lQ,152881576,1070000,298
