videoId,positive_comments,negative_comments,neutral_comments
vCM3Z-AVQrA,44,4,215
TqVD0JNkID0,154,31,914
oC3xJtLRlNc,300,62,734
852YROy83gU,7,7,1085
PslqS_MqsQo,25,4,1040
DotMLYNkS_c,450,172,420
yhj4qlItES0,326,377,397
mP1De2Jq-_4,31,17,1052
UGAjhjp8dnI,540,129,430
y6wCMIREZgc,422,138,470
KUDibq_GDe0,373,168,345
OLK-QDmSPx0,62,31,1007
sMCcsSzSMws,65,40,994
-Jb3-V3nAWE,550,139,411
psTunlgKOMM,484,123,490
smcND3jBtvo,36,19,27
fYtJWIxt3-M,364,98,562
ngM3DCVHXBA,85,29,985
RnZAN91pUiw,535,250,313
cFcWL4W34QY,20,15,1065
FsRPZEIlUMg,518,177,405
SlFIpftMxMU,61,30,1009
TpsIlhV1L1g,64,41,995
KWgZgBVaRc4,229,78,338
Xh49Nto6qLo,319,92,228
z_ZQIP2uR4k,18,88,994
3ZqgINu1vxE,111,14,269
AOE0tlyZhgE,39,11,1047
kGXrNDIDuIY,619,128,284
tik4yT3SIGw,99,10,360
jGZzpr4BtAM,531,105,464
ts8nOCgDJUs,49,39,1012
tcohQJH_WJU,19,11,981
OfILILPjjEs,451,188,460
Eh8XmDvASUg,89,47,964
pxyenY-PRGw,37,43,851
YRpFktvTO0w,554,155,295
sdBZ3nqn6vw,40,16,1043
6iezZjfWZas,239,84,199
CySxB1oJ90c,16,25,1059
SUPc2UZX1tY,8,12,533
k51sfZeKgPs,62,30,709
5zxyQ8Gp-OM,81,20,999
nDhVZlOJJvo,191,90,368
r1HbGf2R7yk,510,287,302
HczdLEXA4M0,38,26,1036
AWNW9npvYTM,209,65,320
cxfisL2wef4,56,27,41
i_-e01faXno,50,11,40
FlIC4Si5320,107,35,958
frzbboh194w,104,19,627
czSJxQ9O-BA,64,19,65
7zMIzid5bQY,299,119,369
05KSeKWukUo,595,196,309
iiJ7lOnf6uQ,59,64,977
S1IcJW7MbFk,43,32,1020
SsjTj006hr8,151,25,597
PIGbvnPV8T4,25,11,19
