videoId,title,channelId,channelTitle,uploaded
vCM3Z-AVQrA,Mogács Dániel a veterán gamer és az Xbox Game Pass for PC - Konzolvilág reklám,UCBZHpoe1kzuE8VOnj2EECGA,Konzolvilág,2020-09-18T12:53:03Z
TqVD0JNkID0,"La PS5 est arrivée à la maison 🔥 Unboxing et comparatifs Xbox Series X I S, PS4 Pro, Nintendo Switch",UCRXcryyD7dzNQzd0Zkbj3ug,Julien Chièze,2020-10-27T11:59:45Z
oC3xJtLRlNc,Xbox Series X Indian Unit Unboxing &amp; First Look - Exclusive #PowerYourDreams🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-11-05T08:15:22Z
852YROy83gU,PS5敗北…誰も買わないXbox Series Xを買った結果、最高説ある,UC9WJo5ZJVXMZiA5XV2jLx5Q,吉田製作所,2020-11-12T10:00:12Z
PslqS_MqsQo,Впечатления от Xbox Series X и распаковка Xbox Series S!,UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-11-05T16:15:27Z
DotMLYNkS_c,Console Wars: The Xbox Strikes Back,UC7WDD6yHgzdqijHluCi1z-Q,The Act Man,2020-10-16T18:45:01Z
yhj4qlItES0,Cyberpunk 2077 Gameplay On Xbox Series X / Xbox One X,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2020-11-17T17:49:08Z
mP1De2Jq-_4,FINALMENTE! JOGUEI FORTNITE NO NOVO XBOX SERIES X!,UC0bC92gFO25qcJcECTQNN_A,Flakes Power,2020-11-12T13:05:14Z
UGAjhjp8dnI,The $299 XBOX Series S is an Emulation Beast | MVG,UCjFaPUcJU1vwk193mnW_w1w,Modern Vintage Gamer,2020-11-23T12:45:01Z
y6wCMIREZgc,Call of Duty Warzone running at 120FPS on Xbox Series X!,UCw7FkXsC00lH2v2yB5LQoYA,jackfrags,2020-11-14T17:49:47Z
KUDibq_GDe0,Forza Horizon 4 - Xbox Series X vs Xbox One X - AMAZING DIFFERENCE!!!!,UC4BEiuqPdmsRHjS8LbhUmWg,Don Joewon Song,2020-11-05T15:59:21Z
OLK-QDmSPx0,PLAYSTATION 5 o XBOX X → ESTO SE DEFINE EN EL FIFA!!!!!!!,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2020-12-04T21:30:02Z
sMCcsSzSMws,XBOX series X REVIEW + GAMEPLAY -sobredosis de TERAFLOPS-,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,2020-11-05T20:30:03Z
-Jb3-V3nAWE,Should Your Boyfriend Get a PS5 or Xbox Series X?,UC2eEGT06FrWFU6VBnPOR9lg,Girlfriend Reviews,2020-11-25T17:33:11Z
psTunlgKOMM,PlayStation 2 Games are running on the XBOX Series S | MVG,UCjFaPUcJU1vwk193mnW_w1w,Modern Vintage Gamer,2020-11-30T12:45:04Z
smcND3jBtvo,"Top 12 Awesome Upcoming Games of 2019 (PS4, Xbox One, PC &amp; Nintendo Switch)",UCbDuARPGsQJBG8dELL-37zw,GAMEOST,2018-11-20T14:15:54Z
fYtJWIxt3-M,Inside the Xbox Series S,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,2020-09-09T13:00:11Z
ngM3DCVHXBA,8300 LİRALIK YENİ NESİL KONSOL ELİMDE: XBOX SERIES X,UCXin0u5SrVEBjn5LhOoG97A,Enis Kirazoglu,2020-11-01T12:03:11Z
RnZAN91pUiw,"COD Black Ops Cold War: PS5 vs Xbox Series X - Ray Tracing, 120Hz Mode Tests + Series S Analysis!",UC9PBzalIcEQCsiIkq36PyUA,Digital Foundry,2020-11-23T20:55:45Z
cFcWL4W34QY,Полная хроника 8-й войны консолей [PS4 против Xbox One],UCq7JZ8ATgQWeu6sDM1czjhg,StopGame.Ru,2020-11-21T18:00:57Z
FsRPZEIlUMg,My NEW Xbox Series X was Broken ALREADY?,UCuJyaxv7V-HK4_qQzNK_BXQ,BeatEmUps,2020-11-12T17:11:03Z
SlFIpftMxMU,Asi Luce el Gta San andreas en Xbox Series X !,UCiCEpAj4fGMPtpnPtapsgGw,Trolencio911,2020-11-15T00:46:33Z
TpsIlhV1L1g,COMPRÉ LA XBOX SERIES X 🤔 UNBOXING Y PRIMERAS IMPRESIONES,UCHvF0weGdYOYqFO1oy5cWZw,YANPOL,2020-11-16T02:14:24Z
KWgZgBVaRc4,*NEW* NEXT-GEN Warzone GAMEPLAY! (PS5 + Xbox Series X),UCgdywGAij6Nob5WealtDKXQ,Ali-A Plays,2020-11-10T22:41:00Z
