videoId,videoViewCount,likeCount,dislikeCount,commentCount
-8wO05SbQ6E,97057,5685,221,580
-Jb3-V3nAWE,645334,47209,945,2827
-NKB2ZQKUaI,31814,3873,226,612
-Ns6yMD3BVQ,219447,15206,471,2879
-YdBLYJjRmU,300438,38643,1238,2403
03la3SnXAb8,17916,201,53,24
05KSeKWukUo,343366,8950,11284,5842
0BBNw6Y2zsk,26890,555,59,106
0HqOkUsLnDw,101702,1859,157,341
0JLNKuEl4Bg,76987,7542,108,472
0TVec-kNYuk,10266,370,28,112
0W36gBvn9JM,57603,1009,162,252
0Z386HUNAa4,9734,406,12,80
0cm8YPqasVk,6145,324,136,306
0duvlbro4Gk,105438,4249,98,1106
0eQmhKm8duQ,255612,6390,442,759
0vTjCU4_ipM,252605,31526,310,677
1K0HorZx0Nc,23200,2182,138,643
1eOCDaMRJZc,49045,529,63,884
1rvvre0ZFb8,284752,6252,94,492
2-sAqf5RKqw,18267,779,234,349
26LZsXIGInA,28960,1447,82,1007
2GWPoB3S4BY,41274,1977,117,997
2HWI5gpMpWI,297248,26982,392,1328
2ObLAzxxzF8,96658,7422,190,758
2PHuS0f0EfU,66371,3425,276,178
2hZAL2R1P98,22938,324,32,379
2wPLZXrGpPo,40528,3245,47,433
2yEpKsH8jnw,225624,5611,326,1662
33zTHjLr4I4,36126,1500,139,1063
3GQp4HUyP3A,223874,10891,299,915
3I_Z7iO-waI,23670,191,20,150
3TSzCG4CpSQ,278534,6351,770,1022
3ZqgINu1vxE,455368,12170,149,611
3j0ZzVmfEyI,100291,4642,557,1441
3yGJs8baJV8,14510,110,13,31
40mAECu-pcY,96309,3221,100,529
45oaxGHqwRo,60564,3645,337,531
4HMFiyTNbAI,35883,271,72,71
4K24Go2pGS0,17116,1195,61,286
4P8W-leKKn4,149898,5777,132,946
4VMYpJFGQYM,272500,9525,1008,333
4VP-ss-kNMA,304200,5727,896,3019
4dTKh1OYQbs,62724,4443,102,859
4vGfYqiypQY,220310,20837,381,2019
4zHAFzeBSP4,123746,7153,101,787
5fKLyetRNkI,62931,2420,132,587
5fNUvV1brXo,65181,5497,296,487
5zxyQ8Gp-OM,369198,20146,395,2378
68ZNmqlJIOI,67890,2145,245,929
69a4Ea_F1Cs,141544,13263,301,1471
6PPURBqoJx4,62622,8906,111,651
6Wieiy9LlLs,107583,8135,119,898
6YXGUoVfMN0,135494,2417,5251,1211
6ZWj0WbxCXA,27424,1191,138,212
6cmjiw0p2wk,23513,328,36,108
6iezZjfWZas,397444,6057,302,1188
6wogDKQiFCI,37192,2203,35,330
70LBx2vPqNM,15889,1459,60,442
74cPF6KcIB8,23198,713,18,119
7MjimMUG_Yw,19256,109,22,81
7__uoFZBlf0,255375,7259,4738,1651
7pK5dVpgVo4,91448,8506,292,533
7zMIzid5bQY,354025,6006,455,2416
852YROy83gU,747536,12258,2008,1717
8FCZ0bII-Js,18526,1364,229,244
8buQXF6rn2w,75528,3906,135,717
9R0AqmwYvzk,247980,22274,477,2802
9UGPLt49LSA,51566,3513,294,1191
9UIN72jP0CE,27092,318,22,39
AHsElRowKZM,13779,1389,20,319
AOE0tlyZhgE,441223,40309,570,2316
ASuOXih6s2U,35779,106,11,25
AVcHXTXKd7w,160498,3775,276,386
AWNW9npvYTM,353406,17338,468,1021
AcZrrjJYkq0,105962,4351,245,680
AfG29OGCz54,231616,17458,811,1649
BCyz4rCHoT8,27780,1276,73,316
BalKQ12atHI,20305,772,477,210
Brts-pWpV3Q,135068,5166,236,771
CJMhyR6CBMk,41299,1721,319,579
CJxih1KSMUg,17860,212,11,45
CKj6vXPq72U,275777,14089,417,2063
CQVQ7GjebbE,273041,6504,464,2598
CUXu871S5iY,47046,2925,187,725
CVGxBS0HgUI,32072,1774,50,287
CZYSMKEfrjg,25552,4140,123,356
CjetFxBA71M,119329,4686,753,1190
CmIjrB7HLAE,94693,8496,427,4054
Cy0XKonBSuo,12836,123,13,47
CySxB1oJ90c,396662,40056,776,2246
D37ScYeCrFg,18887,1609,1147,1294
DAiLnLXvDGM,37908,1051,45,266
DLRCz69m6vA,41817,1729,100,627
DapiacYufcA,130625,5242,154,847
DebfPZgMsCI,148182,8581,270,566
DjGSlE8LdOQ,35030,649,36,138
DotMLYNkS_c,728624,46678,1752,10426
Ds7alBSL8I4,22046,235,51,83
E2MYeIDerGg,9650,75,10,3
E8Vq7o2MndM,40787,541,103,316
EIjOJrfU77k,34734,1547,65,625
EKTRzQ62FZ8,5543,683,26,151
EKoF5mS-L3k,23029,1348,32,217
EXwTmE01yXY,242357,12115,2885,1478
Eh8XmDvASUg,406314,31915,422,4270
EziUiWkW_HM,73507,4671,194,1789
FPn2_Ae0tV4,36033,1112,217,825
Fal_p_c_frI,15592,874,191,134
Fckak8zhr-M,9392,1031,51,236
Ffh-heitUYQ,9503,1751,22,450
FlIC4Si5320,353514,24354,1133,3012
FsRPZEIlUMg,529427,28605,3404,2384
FzBxe4xUiNM,129916,17682,149,665
G4Du6ad0eVY,38258,560,20,131
G4QfHfhgsEk,56786,3141,134,523
G6QOEDZZz6Q,63374,1867,41,375
G9JLK5y0iAE,66084,13112,552,505
GHsCBa2D4Qc,102756,5360,77,730
GRa7UiFR9QA,63819,3111,163,497
GRbl8zknncM,74425,3119,789,638
Gx1BtFG85k0,10620,1038,92,306
HFDZxu5m7II,15044,921,132,557
HHcCyF7oKLw,230667,11312,309,1026
HLBNneJRqXs,106017,3001,93,484
HQ1VYPGE_zc,127492,5658,177,981
HarDsCXn7i4,76193,8260,98,1043
HczdLEXA4M0,359718,19991,866,1525
HfnOWar3CpI,7746,367,48,425
I5XastHpi9w,238548,20153,213,989
I6cuq-P1xeE,51742,4043,1353,1416
IEMRmGrIuI8,26642,1923,824,999
IIrf83fvcyE,31699,1695,390,936
IPmjxBh3LcA,92931,3020,228,488
IWicUud_clI,107911,5001,472,1466
If1Lz0Axnxc,9194,481,16,105
IjTbUa1-DnI,29576,2064,586,1348
IzRotSBhMz0,330725,15506,1182,3872
J6n1TSQw73c,17690,1123,74,1077
J78ATanyAAY,25958,1238,59,139
JNl5Poj8Ysg,102918,3775,138,866
JaX35TbtLeY,17391,912,36,243
JkYGf-4i6aY,17343,933,63,187
Jq5R1yd63QU,38901,2877,543,1711
JwUdH6qKKwc,77396,3766,155,418
KCGhjF6_52c,8252,618,54,197
KORfrA_GhZ4,38075,852,25,206
KUDibq_GDe0,655506,15530,669,1479
KVHrZ0iwJm4,89823,540,150,247
KWgZgBVaRc4,462908,12831,1134,1168
KpXV2mwL9b8,143952,514,44,46
Kto60aGe6gU,100780,6037,104,1129
L0n_WLAa8CU,231724,30800,375,1268
L8uOufx95cQ,15623,2162,37,334
LUcvuPariQ8,60962,2363,200,541
LrOSAl7IXjY,258538,15820,177,868
LsxMjttRA7s,49035,2920,86,721
M1fjUMH3ogQ,19436,450,25,99
M4yW4MHtvpY,205394,12562,2027,691
M806vU885qo,91600,6147,95,1036
M9LcX3T2-aQ,36285,3510,79,509
MKrA9omRSG8,269214,20040,1159,8013
MLC0661y-o8,97724,2594,328,663
MLbL6_UQplQ,30114,603,315,183
MM0IDIkfcLo,22201,1336,13,233
N03lTxBBQhE,242734,18451,228,2597
N1ZQklijO4M,40825,511,40,171
N5J2G45lvJ4,36131,1272,188,643
NCKHS1pVWww,246227,4432,243,1851
No3Lc1Ereyc,95286,2688,59,443
OGNgWT3ZEHI,139587,5938,116,1356
OH8fz9pnE64,126429,12106,292,1343
OLK-QDmSPx0,619780,34650,891,2339
OfILILPjjEs,437406,45619,746,7254
P7nEyYpoK0I,116982,1943,63,643
PABKYAVRQ4E,54149,3452,65,388
PIGbvnPV8T4,318307,2108,149,127
PS7W-vdJo5M,107808,2877,181,1832
PWUGA_YRKHw,80952,7344,150,674
PslqS_MqsQo,735465,65202,2506,59477
Q1EfXA-4W6I,28312,2030,134,624
Q5guYjQh6uk,65922,3102,134,564
Q79XAUrFD1o,17996,1946,41,328
QBiBC_HOTXk,71283,1517,92,554
QPJa4F1GZH8,24971,284,14,270
QfxExB-l-2k,283315,4838,313,463
QiCwI6ksQdU,309948,23573,182,2259
QkzT5EwEAG4,20112,1332,319,782
QrM39Sp80MA,233975,12744,931,5071
R3hrk6T5yaY,114426,3286,189,732
RR9m7MLDQNo,224417,12602,318,569
RTlo6NbOhXw,238444,14087,470,1322
R_3shKx11Y8,295905,14648,148,1005
RlwWo0mqRWU,29813,92,6,5
RnZAN91pUiw,536381,17773,629,7717
RrODwo8EgSY,9163,197,3,43
RvmRgL89TuA,42233,3495,153,322
RyoUt64IaSU,234864,13748,417,1110
S0v0SbOHJMo,29354,2556,35,861
S1IcJW7MbFk,334282,17925,489,1909
S3fv1MtdAjc,455839,7595,513,4562
S6vDrQXVsZw,40621,2152,211,456
S73acBiJnhs,123435,5000,168,1258
SUPc2UZX1tY,376287,10994,1818,1830
SWkc76zT10Q,39201,1351,89,277
SeGlbtmPwCs,23628,858,25,246
SlFIpftMxMU,476305,55612,1586,3210
SsjTj006hr8,319795,16486,682,1433
SuggA_q21IY,10104,379,18,144
T10Ie-94PS8,23452,1019,81,225
TESRnDl1KlM,66353,5650,85,429
TIf4f1VjwEw,57527,1439,67,346
TOJfFcIQ9Es,21067,375,16,290
TQsA2-xMk4E,23378,650,291,414
TpsIlhV1L1g,474054,45308,3155,5294
TqVD0JNkID0,744555,35840,1997,4644
Trlnern7VrQ,297266,3300,232,810
TsX7iz15hmk,77020,2071,172,229
Ty3leTuWmIQ,60084,4827,411,659
U-NM9YdWG-I,19477,2238,820,515
U4-plZFX2pQ,54259,780,43,254
UGAjhjp8dnI,665689,33524,402,5457
UztANhWIob8,293191,5334,455,1911
V4qOe3VK1Eg,141041,3637,136,617
VBj50u653U8,213216,6514,348,1720
VOF2mJI9LcU,53522,2426,1289,1401
VVMieddBCk0,15877,396,24,208
VeMfGpcD0xs,12043,156,37,80
VqvqdAoPkNQ,53049,870,48,275
Vrg3bndWtWI,16313,391,28,125
VxPUXRUYshU,129475,5980,183,895
W4jvm1rSXEQ,107678,2016,137,334
WG9gog0VywE,88665,3568,321,1141
WOy303gYo-A,41532,376,109,64
WXPdlWLQ5PY,120885,2869,52,517
WXf1iLnAniw,18056,1559,37,473
WfjgpcWCfWk,106421,7666,177,1010
WsZV-usiBnI,269257,8549,761,875
XNQYhdCiZug,52372,3373,72,436
XOtLfNO18Ws,40230,2664,285,671
XSTI6rC2DDk,8181,1163,117,235
Xh49Nto6qLo,468894,10765,370,1475
Y3wQxh4sQxc,20754,73,5,143
Y68sN0urIcY,88045,3875,64,564
YM59KURQHq8,20450,561,9,129
YQlP9I7FBdM,213645,18693,363,1733
YRpFktvTO0w,394483,3761,733,2696
YVsqpsf3BCk,217208,5107,864,1015
YbbeQyKg4No,83338,3644,54,357
YeCgdwUf5-w,56597,3603,427,383
Yj4PHRL9Ja8,126922,10648,922,1657
YkGNlVfQvNs,140319,2514,227,563
YofkHyuqoYI,69201,3620,146,502
Yr_FDVqawV4,13350,245,29,77
YuDwOlT1bvk,136122,1077,97,260
Yy2t3TP_3Ic,21897,1367,55,350
ZPM_fVMDxYQ,94842,4083,199,727
ZTUk79oTT4I,39528,2796,266,761
Zet16NGoUWc,96177,256,14,114
ZrP_gMXGXiU,108762,12291,256,985
_CuesRl4drU,287444,13339,396,2038
_FjUYOmEwKQ,26084,2346,44,580
_HyMtf2LPnA,104218,5035,2606,1511
_PZsf__wr9U,50636,819,61,141
_v1dfZJoXsE,51717,1296,71,472
a-qOlYANero,24270,1475,38,339
aVAI8uuWuAo,30204,777,35,127
aoefZOW3Qt0,14554,492,28,258
b1rguECjPa0,80899,4831,510,1157
