videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
ohYAYQA4ATM,Surface Duo first look: Microsoft&#39;s foldable Android phone,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-10-03,896468,10415,441,1717,873231170,3070000,3948,346,95,391,132.78668212890622,2019-10-02,136.32701110839844,2019-10-09
J1h-Fxv_fLg,Surface Go 2 review: don&#39;t push it,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-05-15,624142,10742,595,1069,873231170,3070000,3948,270,71,172,179.12551879882812,2020-05-14,182.5098419189453,2020-05-21
zHky9TCfT68,Surface Book 3 (13.5-inch) first look,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-05-19,586555,10422,581,992,873231170,3070000,3948,290,84,174,183.471435546875,2020-05-18,182.5894317626953,2020-05-22
1O-FajwO1Ng,Microsoft Surface 2019 event in under 11 minutes,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-10-02,548726,10795,293,1239,873231170,3070000,3948,374,129,332,135.1732177734375,2019-10-01,133.79257202148438,2019-10-08
lDvHdA_oCVE,Surface Go 2 first look: 3 big upgrades,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-05-06,541055,11890,336,1127,873231170,3070000,3948,305,92,278,179.35372924804688,2020-05-05,181.0901031494141,2020-05-12
WrR5KApQnsg,Surface Neo first look: Microsoft&#39;s dual-screen prototype,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-10-02,519835,6764,201,608,873231170,3070000,3948,168,47,137,135.1732177734375,2019-10-01,133.79257202148438,2019-10-08
GSUHgrjwBb4,Microsoft Surface Hub 2 hands-on: a $9K PC on wheels,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-04-17,512090,7388,313,402,873231170,3070000,3948,88,28,91,118.26570129394531,2019-04-16,122.8388671875,2019-04-23
O5Z-l-nSlN0,Microsoft Surface Studio PC first look,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2016-10-26,497332,5413,166,565,873231170,3070000,3948,166,38,92,56.798805236816406,2016-10-25,55.69057846069336,2016-11-01
sUdV3fB3L8k,Microsoft Surface Earbuds hands-on,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2019-10-02,459852,6605,298,839,873231170,3070000,3948,179,99,233,135.1732177734375,2019-10-01,133.79257202148438,2019-10-08
NCJX5en6G7Q,Microsoft accidentally made a great Chromebook,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-01-28,455058,11282,531,555,873231170,3070000,3948,155,40,107,160.57888793945312,2020-01-27,172.5520477294922,2020-02-03
BRcHD3TenxI,Microsoft Surface Studio review,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2016-11-17,433269,7254,215,694,873231170,3070000,3948,202,53,87,55.92616653442383,2016-11-16,56.62934875488281,2016-11-23
Jj3w1g3poQs,Microsoft Surface Duo review: double troubles,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-09-10,386032,10356,506,1015,873231170,3070000,3948,439,114,261,210.7382659912109,2020-09-09,204.5145721435547,2020-09-16
bNAOabRe_gU,Microsoft Surface Headphones hands-on: noise-cancelling and Cortana,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2018-10-03,245963,4587,179,345,873231170,3070000,3948,91,21,78,111.79973602294922,2018-10-02,108.99381256103516,2018-10-09
