videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
TqVD0JNkID0,"La PS5 est arrivée à la maison 🔥 Unboxing et comparatifs Xbox Series X I S, PS4 Pro, Nintendo Switch",UCRXcryyD7dzNQzd0Zkbj3ug,Julien Chièze,2020-10-27,744555,35840,1997,4644,166498578,549000,1655,154,31,914,209.53143310546875,2020-10-26,201.8016662597656,2020-11-02
DebfPZgMsCI,"Des milliers de joueurs PS5 bannis, Xbox + Sega teasing, Silent Hill et Metal Gear bientôt sur PS5 ?",UCRXcryyD7dzNQzd0Zkbj3ug,Julien Chièze,2020-11-30,148182,8581,270,566,166498578,549000,1655,83,23,282,215.22999572753903,2020-11-27,214.3600006103516,2020-12-04
-8wO05SbQ6E,"Jeux PS2 sur Xbox Series, Uncharted aux Game Awards ? Xbox tease une annonce, Kratos dans Fortnite",UCRXcryyD7dzNQzd0Zkbj3ug,Julien Chièze,2020-12-03,97057,5685,221,580,166498578,549000,1655,38,44,172,215.3699951171875,2020-12-02,214.2899932861328,2020-12-07
2ObLAzxxzF8,"1er bilan Xbox Series XS France 🇫🇷 Game Pass &amp; co avec Ina Gelbert, directrice Xbox France",UCRXcryyD7dzNQzd0Zkbj3ug,Julien Chièze,2020-11-24,96658,7422,190,758,166498578,549000,1655,223,35,313,210.1100006103516,2020-11-23,214.07000732421875,2020-11-30
jHb0v5VmwvE,"GROSSE rumeur Xbox, Dragon Age 4, Oscar Isaac sera Solid Snake,  des milliards pour Call of Duty",UCRXcryyD7dzNQzd0Zkbj3ug,Julien Chièze,2020-12-07,71409,5028,183,548,166498578,549000,1655,49,37,179,214.3600006103516,2020-12-04,,
iyxZiqMxuSY,Gros COUP DE COEUR pour ce jeu Xbox Series et PC 🌟 Call of the Sea,UCRXcryyD7dzNQzd0Zkbj3ug,Julien Chièze,2020-12-07,67782,2606,179,125,166498578,549000,1655,18,3,54,214.3600006103516,2020-12-04,,
oC3xJtLRlNc,Xbox Series X Indian Unit Unboxing &amp; First Look - Exclusive #PowerYourDreams🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-11-05,741233,79475,2060,7773,2381324396,20200000,3447,300,62,734,215.824951171875,2020-11-04,215.9845428466797,2020-11-11
852YROy83gU,PS5敗北…誰も買わないXbox Series Xを買った結果、最高説ある,UC9WJo5ZJVXMZiA5XV2jLx5Q,吉田製作所,2020-11-12,747536,12258,2008,1717,238613331,708000,358,7,7,1085,215.9845428466797,2020-11-11,211.0800018310547,2020-11-18
PslqS_MqsQo,Впечатления от Xbox Series X и распаковка Xbox Series S!,UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-11-05,735465,65202,2506,59477,2194043076,9790000,2508,25,4,1040,215.824951171875,2020-11-04,215.9845428466797,2020-11-11
z_ZQIP2uR4k,"Новый Xbox Series X - тест шариком и смотрим AC: Вальгалла, первый Next-Gen...",UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,2020-11-17,457863,34189,2086,21604,2194043076,9790000,2508,18,88,994,216.6627655029297,2020-11-16,210.1100006103516,2020-11-23
DotMLYNkS_c,Console Wars: The Xbox Strikes Back,UC7WDD6yHgzdqijHluCi1z-Q,The Act Man,2020-10-16,728624,46678,1752,10426,165954315,983000,195,450,172,420,219.08642578125,2020-10-15,214.3288726806641,2020-10-22
yhj4qlItES0,Cyberpunk 2077 Gameplay On Xbox Series X / Xbox One X,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2020-11-17,747483,15938,1551,4896,11375349751,14500000,140399,326,377,397,216.6627655029297,2020-11-16,210.1100006103516,2020-11-23
4VP-ss-kNMA,Xbox Fires Back On Halo Infinite&#39;s Visuals - IGN Daily Fix,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2020-07-25,304200,5727,896,3019,11375349751,14500000,140399,456,300,343,200.2902069091797,2020-07-24,203.9815826416016,2020-07-31
3TSzCG4CpSQ,Xbox Series X: 4 Things We Love and 3 Things We Don&#39;t,UCKy1dAqELo0zrOtPkf0eTMw,IGN,2020-11-14,278534,6351,770,1022,11375349751,14500000,140399,248,96,160,215.94464111328125,2020-11-13,210.38999938964844,2020-11-20
